"",,,"1958-1962",,,"1963-1967",,,"1968-1972",,,"1973-1977",,,"1978-1982",,,"1983-1987",,,"1988-1992",,,"1993-1997",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,
"4100.|Total area of the country (1000 ha)","4.|Algeria","World | Africa",238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",
"4100.|Total area of the country (1000 ha)","7.|Angola","World | Africa",124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",,124670.0,"E",
"4100.|Total area of the country (1000 ha)","53.|Benin","World | Africa",11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",,11476.0,"E",
"4100.|Total area of the country (1000 ha)","20.|Botswana","World | Africa",58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",,58173.0,"E",
"4100.|Total area of the country (1000 ha)","233.|Burkina Faso","World | Africa",27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",,27422.0,"E",
"4100.|Total area of the country (1000 ha)","29.|Burundi","World | Africa",2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",,2783.0,"E",
"4100.|Total area of the country (1000 ha)","35.|Cabo Verde","World | Africa",403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",,403.0,"E",
"4100.|Total area of the country (1000 ha)","32.|Cameroon","World | Africa",47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",,47544.0,"E",
"4100.|Total area of the country (1000 ha)","37.|Central African Republic","World | Africa",62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",,62298.0,"E",
"4100.|Total area of the country (1000 ha)","39.|Chad","World | Africa",128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",,128400.0,"E",
"4100.|Total area of the country (1000 ha)","45.|Comoros","World | Africa",186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",,186.1,"E",
"4100.|Total area of the country (1000 ha)","46.|Congo","World | Africa",34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",,34200.0,"E",
