"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Agricultural water withdrawal (10^9 m3/year)","Afghanistan",,,"",,,,"",,,,"",,,,"",,,,"",,1987,25.85,"",,,,"",,,,"",,1998,20.0,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Albania",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,1.0,"",,1995,0.67,"","[1]",2000,1.06,"L",,2006,0.5176,"L","[2]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Algeria",,,"",,,,"",,,,"",,,,"",,1980,2.22,"",,,,"",,1990,2.7,"",,,,"",,2001,3.502,"L","[3]",,,"",,2012,4.99,"I","[4]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Andorra",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Angola",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.365,"",,,,"",,,,"",,2000,0.21,"L",,2005,0.1467,"L","[5]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Antigua and Barbuda",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.001,"",,1997,0.0013,"L","[6]",,,"",,2005,0.0013,"L","[7,8]",2012,0.0018,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Argentina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,21.52,"",,2000,21.52,"L",,,,"",,2011,27.93,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Armenia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,1.94,"",,2002,1.14,"I",,2007,1.89,"",,2010,1.153,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Australia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,15.5,"E",,2001,15.03,"",,2005,12.24,"",,2012,9.587,"",,2013,12.97,"",
"Agricultural water withdrawal (10^9 m3/year)","Austria",,,"",,,,"",,,,"",,,,"",,1980,0.09,"E","[9]",1985,0.2,"E","[10]",1990,0.1,"E","[11]",1997,0.1,"E","[12]",2002,0.1,"E",,,,"",,2010,0.0771,"E",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Azerbaijan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,10.16,"",,2002,7.595,"",,2005,9.33,"I",,2010,10.1,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bahamas",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bahrain",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.135,"",,,,"",,2000,0.17,"L",,2003,0.1592,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bangladesh",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,31.5,"","[13]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Barbados",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1989,0.0548,"L","[14]",1996,0.0548,"L",,,,"",,2005,0.0548,"L","[15,16]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Belarus",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.568,"","[17]",2000,0.442,"","[18]",2005,0.409,"","[19]",2010,0.471,"","[20]",2013,0.489,"","[21]"
"Agricultural water withdrawal (10^9 m3/year)","Belgium",,,"",,,,"",,,,"",,,,"",,1980,0.3612,"",,,,"",,,,"",,1997,0.016,"E",,2002,0.0382,"E","[22]",2007,0.0369,"E","[23]",2009,0.0402,"E","[24]",,,"",
"Agricultural water withdrawal (10^9 m3/year)","Belize",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.018,"",,1990,0.019,"I",,1993,0.02,"",,2000,0.0684,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Benin",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.064,"",,1990,0.0823,"I",,1994,0.097,"",,2001,0.059,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bhutan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,0.318,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bolivia (Plurinational State of)",,,"",,,,"",,,,"",,,,"",,,,"",,1987,1.054,"",,,,"",,,,"",,1999,1.777,"L","[25]",,,"",,2008,1.92,"I",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bosnia and Herzegovina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Botswana",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,0.054,"",,1995,0.0638,"I",,2000,0.08,"","[26]",,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Brazil",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1996,33.43,"",,,,"",,2006,31.7,"",,2010,44.9,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Brunei Darussalam",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,0.0053,"L","[27]",,,"",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Bulgaria",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,2.225,"I",,,,"",,2002,0.743,"E","[28]",2006,0.8759,"E","[29]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Burkina Faso",,,"",,,,"",,,,"",,,,"",,,,"",,1985,0.23,"",,1992,0.303,"",,,,"",,2001,0.4207,"L","[30]",2005,0.4207,"L",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Burundi",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.064,"",,,,"",,,,"",,2000,0.222,"I",,,,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cabo Verde",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.022,"",,,,"",,2000,0.02,"L",,2004,0.025,"L","[31]",,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cambodia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2006,2.053,"",,,,"",,,,"",
"Agricultural water withdrawal (10^9 m3/year)","Cameroon",,,"",,,,"",,,,"",,,,"",,,,"",,1987,0.14,"",,1992,0.14,"",,,,"",,2000,0.737,"L","[32]",,,"",,,,"",,,,"",
