

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Agricultural water withdrawal",4250,1987,25.85,"","",""
"Afghanistan",2,"Agricultural water withdrawal",4250,1998,20.0,"","",""
"Albania",3,"Agricultural water withdrawal",4250,1990,1.0,"","",""
"Albania",3,"Agricultural water withdrawal",4250,1995,0.67,"","[1]",""
"Albania",3,"Agricultural water withdrawal",4250,2000,1.06,"L","",""
"Albania",3,"Agricultural water withdrawal",4250,2006,0.5176,"L","[2]",""
"Algeria",4,"Agricultural water withdrawal",4250,1980,2.22,"","",""
"Algeria",4,"Agricultural water withdrawal",4250,1990,2.7,"","",""
"Algeria",4,"Agricultural water withdrawal",4250,2001,3.502,"L","[3]",""
"Algeria",4,"Agricultural water withdrawal",4250,2012,4.99,"I","[4]",""
"Angola",7,"Agricultural water withdrawal",4250,1987,0.365,"","",""
"Angola",7,"Agricultural water withdrawal",4250,2000,0.21,"L","",""
"Angola",7,"Agricultural water withdrawal",4250,2005,0.1467,"L","[5]",""
"Antigua and Barbuda",8,"Agricultural water withdrawal",4250,1990,0.001,"","",""
"Antigua and Barbuda",8,"Agricultural water withdrawal",4250,1997,0.0013,"L","[6]",""
"Antigua and Barbuda",8,"Agricultural water withdrawal",4250,2005,0.0013,"L","[7,8]",""
"Antigua and Barbuda",8,"Agricultural water withdrawal",4250,2012,0.0018,"","",""
"Argentina",9,"Agricultural water withdrawal",4250,1995,21.52,"","",""
"Argentina",9,"Agricultural water withdrawal",4250,2000,21.52,"L","",""
"Argentina",9,"Agricultural water withdrawal",4250,2011,27.93,"","",""
"Armenia",1,"Agricultural water withdrawal",4250,1995,1.94,"","",""
"Armenia",1,"Agricultural water withdrawal",4250,2002,1.14,"I","",""
"Armenia",1,"Agricultural water withdrawal",4250,2007,1.89,"","",""
"Armenia",1,"Agricultural water withdrawal",4250,2010,1.153,"","",""
"Australia",10,"Agricultural water withdrawal",4250,1996,15.5,"E","",""
"Australia",10,"Agricultural water withdrawal",4250,2001,15.03,"","",""
"Australia",10,"Agricultural water withdrawal",4250,2005,12.24,"","",""
"Australia",10,"Agricultural water withdrawal",4250,2012,9.587,"","",""
"Australia",10,"Agricultural water withdrawal",4250,2013,12.97,"","",""
"Austria",11,"Agricultural water withdrawal",4250,1980,0.09,"E","[9]",""
"Austria",11,"Agricultural water withdrawal",4250,1985,0.2,"E","[10]",""
"Austria",11,"Agricultural water withdrawal",4250,1990,0.1,"E","[11]",""
"Austria",11,"Agricultural water withdrawal",4250,1997,0.1,"E","[12]",""
"Austria",11,"Agricultural water withdrawal",4250,2002,0.1,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,2010,0.0771,"E","",""
"Azerbaijan",52,"Agricultural water withdrawal",4250,1997,10.16,"","",""
"Azerbaijan",52,"Agricultural water withdrawal",4250,2002,7.595,"","",""
"Azerbaijan",52,"Agricultural water withdrawal",4250,2005,9.33,"I","",""
"Azerbaijan",52,"Agricultural water withdrawal",4250,2010,10.1,"","",""
"Bahrain",13,"Agricultural water withdrawal",4250,1990,0.135,"","",""
"Bahrain",13,"Agricultural water withdrawal",4250,2000,0.17,"L","",""
"Bahrain",13,"Agricultural water withdrawal",4250,2003,0.1592,"","",""
"Bangladesh",16,"Agricultural water withdrawal",4250,2008,31.5,"","[13]",""
"Barbados",14,"Agricultural water withdrawal",4250,1989,0.0548,"L","[14]",""
"Barbados",14,"Agricultural water withdrawal",4250,1996,0.0548,"L","",""
"Barbados",14,"Agricultural water withdrawal",4250,2005,0.0548,"L","[15,16]",""
"Belarus",57,"Agricultural water withdrawal",4250,1995,0.568,"","[17]",""
"Belarus",57,"Agricultural water withdrawal",4250,2000,0.442,"","[18]",""
"Belarus",57,"Agricultural water withdrawal",4250,2005,0.409,"","[19]",""
"Belarus",57,"Agricultural water withdrawal",4250,2010,0.471,"","[20]",""
"Belarus",57,"Agricultural water withdrawal",4250,2013,0.489,"","[21]",""
"Belgium",255,"Agricultural water withdrawal",4250,1980,0.3612,"","",""
"Belgium",255,"Agricultural water withdrawal",4250,1997,0.016,"E","",""
"Belgium",255,"Agricultural water withdrawal",4250,2002,0.0382,"E","[22]",""
"Belgium",255,"Agricultural water withdrawal",4250,2007,0.0369,"E","[23]",""
"Belgium",255,"Agricultural water withdrawal",4250,2009,0.0402,"E","[24]",""
"Belize",23,"Agricultural water withdrawal",4250,1987,0.018,"","",""
"Belize",23,"Agricultural water withdrawal",4250,1990,0.019,"I","",""
"Belize",23,"Agricultural water withdrawal",4250,1993,0.02,"","",""
"Belize",23,"Agricultural water withdrawal",4250,2000,0.0684,"I","",""
"Benin",53,"Agricultural water withdrawal",4250,1985,0.064,"","",""
"Benin",53,"Agricultural water withdrawal",4250,1990,0.0823,"I","",""
"Benin",53,"Agricultural water withdrawal",4250,1994,0.097,"","",""
"Benin",53,"Agricultural water withdrawal",4250,2001,0.059,"I","",""
"Bhutan",18,"Agricultural water withdrawal",4250,2008,0.318,"","",""
"Bolivia (Plurinational State of)",19,"Agricultural water withdrawal",4250,1987,1.054,"","",""
"Bolivia (Plurinational State of)",19,"Agricultural water withdrawal",4250,1999,1.777,"L","[25]",""
"Bolivia (Plurinational State of)",19,"Agricultural water withdrawal",4250,2008,1.92,"I","",""
"Botswana",20,"Agricultural water withdrawal",4250,1992,0.054,"","",""
"Botswana",20,"Agricultural water withdrawal",4250,1995,0.0638,"I","",""
"Botswana",20,"Agricultural water withdrawal",4250,2000,0.08,"","[26]",""
"Brazil",21,"Agricultural water withdrawal",4250,1996,33.43,"","",""
"Brazil",21,"Agricultural water withdrawal",4250,2006,31.7,"","",""
"Brazil",21,"Agricultural water withdrawal",4250,2010,44.9,"","",""
"Brunei Darussalam",26,"Agricultural water withdrawal",4250,1995,0.0053,"L","[27]",""
"Bulgaria",27,"Agricultural water withdrawal",4250,1990,2.225,"I","",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2002,0.743,"E","[28]",""
"Bulgaria",27,"Agricultural water withdrawal",4250,2006,0.8759,"E","[29]",""
"Burkina Faso",233,"Agricultural water withdrawal",4250,1985,0.23,"","",""
"Burkina Faso",233,"Agricultural water withdrawal",4250,1992,0.303,"","",""
"Burkina Faso",233,"Agricultural water withdrawal",4250,2001,0.4207,"L","[30]",""
"Burkina Faso",233,"Agricultural water withdrawal",4250,2005,0.4207,"L","",""
"Burundi",29,"Agricultural water withdrawal",4250,1987,0.064,"","",""
"Burundi",29,"Agricultural water withdrawal",4250,2000,0.222,"I","",""
"Cabo Verde",35,"Agricultural water withdrawal",4250,1990,0.022,"","",""
"Cabo Verde",35,"Agricultural water withdrawal",4250,2000,0.02,"L","",""
"Cabo Verde",35,"Agricultural water withdrawal",4250,2004,0.025,"L","[31]",""
"Cambodia",115,"Agricultural water withdrawal",4250,2006,2.053,"","",""
"Cameroon",32,"Agricultural water withdrawal",4250,1987,0.14,"","",""
"Cameroon",32,"Agricultural water withdrawal",4250,1992,0.14,"","",""
"Cameroon",32,"Agricultural water withdrawal",4250,2000,0.737,"L","[32]",""
"Canada",33,"Agricultural water withdrawal",4250,1991,3.991,"E","[33]",""
"Canada",33,"Agricultural water withdrawal",4250,1996,4.104,"E","[34]",""
"Canada",33,"Agricultural water withdrawal",4250,2007,2.322,"E","",""
"Canada",33,"Agricultural water withdrawal",4250,2010,4.749,"L","[35,36]",""
"Central African Republic",37,"Agricultural water withdrawal",4250,1987,4.0E-4,"L","[37]",""
"Central African Republic",37,"Agricultural water withdrawal",4250,2000,4.0E-4,"L","[38,39]",""
"Central African Republic",37,"Agricultural water withdrawal",4250,2005,4.0E-4,"L","[40,41]",""
"Chad",39,"Agricultural water withdrawal",4250,1987,0.148,"","",""
"Chad",39,"Agricultural water withdrawal",4250,2002,0.6722,"L","[42]",""
"Chad",39,"Agricultural water withdrawal",4250,2005,0.6722,"L","[43,44]",""
"Chile",40,"Agricultural water withdrawal",4250,2006,29.42,"","",""
"China",351,"Agricultural water withdrawal",4250,1980,391.2,"","",""
"China",351,"Agricultural water withdrawal",4250,1985,415.2,"I","",""
"China",351,"Agricultural water withdrawal",4250,1990,415.0,"","",""
"China",351,"Agricultural water withdrawal",4250,1993,407.7,"","",""
"China",351,"Agricultural water withdrawal",4250,2005,358.0,"","",""
"China",351,"Agricultural water withdrawal",4250,2010,368.9,"","",""
