"fao_ids.Area","fao_ids.Area.Id","fao_ids.ISO","X","WB_ISO","WB_FID","WB_NAMES"
"ARM|Armenia",1,"ARM","X","ARM",8,"Armenia"
"AFG|Afghanistan",2,"AFG","X","AFG",2,"Afghanistan"
"ALB|Albania",3,"ALB","X","ALB",4,"Albania"
"DZA|Algeria",4,"DZA","X","DZA",53,"Algeria"
"AND|Andorra",6,"AND","X","AND",1,"Andorra"
"AGO|Angola",7,"AGO","X","AGO",3,"Angola"
"ATG|Antigua and Barbuda",8,"ATG","X","ATG",10,"Antigua and Barbuda"
"ARG|Argentina",9,"ARG","X","ARG",7,"Argentina"
"AUS|Australia",10,"AUS","X","AUS",11,"Australia"
"AUT|Austria",11,"AUT","X","AUT",12,"Austria"
"BHS|Bahamas",12,"BHS","X","BHS",21,"Bahamas, The"
"BHR|Bahrain",13,"BHR","X","BHR",20,"Bahrain"
"BRB|Barbados",14,"BRB","X","BRB",28,"Barbados"
"BGD|Bangladesh",16,"BGD","X","BGD",18,"Bangladesh"
"BTN|Bhutan",18,"BTN","X","BTN",30,"Bhutan"
"BOL|Bolivia (Plurinational State of)",19,"BOL","X","BOL",26,"Bolivia"
"BWA|Botswana",20,"BWA","X","BWA",31,"Botswana"
"BRA|Brazil",21,"BRA","X","BRA",27,"Brazil"
"BLZ|Belize",23,"BLZ","X","BLZ",24,"Belize"
"SLB|Solomon Islands",25,"SLB","X","SLB",169,"Solomon Islands"
"BRN|Brunei Darussalam",26,"BRN","X","BRN",29,"Brunei"
"BGR|Bulgaria",27,"BGR","X","BGR",19,"Bulgaria"
"MMR|Myanmar",28,"MMR","X","MMR",127,"Myanmar"
"BDI|Burundi",29,"BDI","X","BDI",14,"Burundi"
"CMR|Cameroon",32,"CMR","X","CMR",38,"Cameroon"
"CAN|Canada",33,"CAN","X","CAN",33,"Canada"
"CPV|Cabo Verde",35,"CPV","X","CPV",42,"Cape Verde"
"CAF|Central African Republic",37,"CAF","X","CAF",32,"Central African Republic"
"LKA|Sri Lanka",38,"LKA","X","LKA",112,"Sri Lanka"
"TCD|Chad",39,"TCD","X","TCD",183,"Chad"
"CHL|Chile",40,"CHL","X","CHL",35,"Chile"
"COL|Colombia",44,"COL","X","COL",40,"Colombia"
"COM|Comoros",45,"COM","X","COM",41,"Comoros"
"COG|Congo",46,"COG","X","COG",39,"Congo, Rep."
"COK|Cook Islands",47,"COK","X","COK",225,"Cook Islands (N.Z.)"
"CRI|Costa Rica",48,"CRI","X","CRI",43,"Costa Rica"
"CUB|Cuba",49,"CUB","X","CUB",44,"Cuba"
"CYP|Cyprus",50,"CYP","X","CYP",46,"Cyprus"
"AZE|Azerbaijan",52,"AZE","X","AZE",13,"Azerbaijan"
"BEN|Benin",53,"BEN","X","BEN",16,"Benin"
"DNK|Denmark",54,"DNK","X","DNK",51,"Denmark"
"DMA|Dominica",55,"DMA","X","DMA",50,"Dominica"
"DOM|Dominican Republic",56,"DOM","X","DOM",52,"Dominican Republic"
"BLR|Belarus",57,"BLR","X","BLR",23,"Belarus"
"ECU|Ecuador",58,"ECU","X","ECU",54,"Ecuador"
"EGY|Egypt",59,"EGY","X","EGY",55,"Egypt, Arab Rep."
"SLV|El Salvador",60,"SLV","X","SLV",171,"El Salvador"
"GNQ|Equatorial Guinea",61,"GNQ","X","GNQ",74,"Equatorial Guinea"
"EST|Estonia",63,"EST","X","EST",58,"Estonia"
"FRO|Faroe Islands",64,"FRO","X","FRO",63,"Faroe Islands (Den.)"
