"FID";"desalination_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"desalination_abstraction_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"desalination_abstraction_km3";"Andorra";"Other";"AND";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.48158e-05;1.48178e-05;1.48165e-05;1.4816e-05;1.48083e-05;1.48107e-05;1.48204e-05;1.48114e-05;1.48124e-05;1.48163e-05;1.48199e-05;1.48204e-05;1.4816e-05;1.48093e-05;1.48102e-05;1.48209e-05;1.48175e-05;1.48178e-05;1.48217e-05;1.48151e-05;1.48165e-05;1.48228e-05;1.48175e-05;1.48175e-05;1.48601e-05;1.48156e-05;1.4809e-05;1.48148e-05;7.15324482758621e-06;7.46898225822934e-06;0.865716331307862;0.824097471861629;0.624097158453607;0;1.92053052219369e-15;1.62172275608441e-10;3.82902020978802e-07;0.74946476629314;0.74946476629314;0;0;0;0;0;0;0;0;0;0;0;0;1.481488e-05;3.75992021191939e-09;1.481424e-05;4.06730869248918e-09;1.481516e-05;5.23383224798038e-09;1.48186e-05;2.69258240356762e-09;1.482688e-05;1.8734513604575e-08;1.48131333333333e-05;3.6018513757969e-09
"10";"desalination_abstraction_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"desalination_abstraction_km3";"Kyrgyz Republic";"ECA";"KGZ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";"desalination_abstraction_km3";"Cambodia";"EAP";"KHM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";"desalination_abstraction_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"desalination_abstraction_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"desalination_abstraction_km3";"Korea, Republic of";"EAP";"KOR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174347;0.00174866;0.00174347;0.00174347;0.00174347;0.000691465517241379;0.000860433543581318;0.847462896304563;0.84950133574778;0.702188925184059;0;3.48613457117146e-17;8.63962235087001e-11;4.31805973730346e-05;0.718193360612914;0.718193360612914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00174347;0;0.00174347;0;0.00174347;0;0.001744508;2.32103856064477e-06;0.00174347;0
"105";"desalination_abstraction_km3";"Kuwait";"MENA";"KWT";1.40831e-06;1.62484e-06;1.71225e-06;1.2804e-06;1.41187e-06;1.47257e-06;1.91225e-06;1.55923e-06;1.65624e-06;1.48687e-06;3.70392e-06;3.16817e-06;3.485e-06;3.33946e-06;2.44126e-06;4.28334e-06;2.91982e-06;3.18456e-06;2.83502e-06;3.69471e-06;6.77174e-06;6.46773e-06;7.2147e-06;6.76644e-06;6.293e-06;7.25619e-06;2.31875e-05;1.82421e-05;1.41056e-05;2.10589e-05;5.59472e-05;0.000144686;0.000139082;0.000131275;0.000116221;9.34509e-05;0.000157632;0.000137796;0.000126547;0.000153302;0.000261695;0.000322029;0.000287827;0.000300708;0.000310068;0.000305364;0.000325162;0.000309518;0.00038526;0.000401683;0.00043243;0.000500239;0.000514474;0.000507667;0.000485309;0.000514626;0.000474643;0.000472785;0.000147127070517241;0.000181012857813382;0.899265603839802;0.98154357254914;0.883847549909256;0;0;0;9.63935617490529e-06;0.808678626249358;0.808678626249358;1.487534e-06;1.76249961219854e-07;1.617432e-06;1.80168408496051e-07;3.227562e-06;4.81536778263094e-07;3.38349e-06;6.04559812094717e-07;6.702722e-06;3.51439289806931e-07;1.6770058e-05;6.31184711335121e-06;0.00011744224;3.60033966895903e-05;0.00013374558;2.57143020327599e-05;0.0002964654;2.31307733182442e-05;0.0003453974;4.48792031992548e-05;0.0004880238;3.29117009390278e-05;0.000487351333333333;2.36388160095495e-05
"106";"desalination_abstraction_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
