"FID";"domesticGrossDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"domesticGrossDemand_km3";"Aruba (Neth.)";"Other";"ABW";0.00037095;0.00037095;0.000371966;0.000386304;0.000408741;0.000429223;0.000419728;0.000360367;0.000374561;0.000387489;0.000407262;0.000421755;0.000442905;0.000437709;0.000460936;0.00050305;0.000609217;0.00049933;0.000535631;0.000577001;0.000609653;0.000660327;0.000716221;0.000758151;0.000774917;0.000795574;0.000730906;0.000614592;0.000629681;0.000593702;0.000653169;0.000602042;0.000633856;0.000664727;0.000703024;0.000711787;0.000717264;0.000893784;0.000881716;0.000958201;0.000990303;0.00102298;0.00109499;0.00112731;0.00104816;0.00102525;0.00113865;0.00120566;0.00131358;0.00141759;0.00157978;0.00161962;0.00173077;0.00173077;0.00173552;0.00173077;0.00173077;0.00173077;0.000828476068965517;0.000435514111777441;0.919720426456518;0.963798379458308;0.874056463954297;0;7.80633768843037e-34;0;2.37196722753696e-05;0.845885662841354;0.845885662841354;0.0003817822;1.64183926497084e-05;0.0003942736;2.93839325108128e-05;0.0004341134;2.05146299820397e-05;0.0005448458;4.76473969981572e-05;0.0007038538;6.87740594206856e-05;0.000672891;8.65355908513948e-05;0.0006513636;3.73823927176953e-05;0.0008325504;0.000111612763693495;0.0010567486;5.49327224866927e-05;0.001220146;0.000152110106929158;0.001679292;7.40353676967974e-05;0.00173077;0
"1";"domesticGrossDemand_km3";"Andorra";"Other";"AND";0.000344326;0.000344326;0.000345269;0.000357952;0.000375505;0.000394012;0.000411275;0.000449827;0.00046564;0.000480938;0.000496002;0.000514514;0.000527439;0.00054984;0.000590197;0.000645065;0.000666539;0.000777813;0.000791211;0.000818639;0.000876524;0.000935669;0.000976026;0.000941702;0.000930978;0.000920564;0.000911833;0.00103251;0.00114656;0.00122141;0.00126145;0.00127332;0.001364;0.00137394;0.0014183;0.00139275;0.00141678;0.00161706;0.0016254;0.00158058;0.001603;0.00160722;0.00157017;0.00158419;0.00163313;0.00175232;0.00183803;0.00192515;0.00196664;0.00205746;0.00212379;0.0020803;0.0020718;0.0020718;0.00207748;0.0020718;0.0020718;0.0020718;0.00118519939655172;0.000600753495150646;0.991326929278427;0.991122718930851;0.940824666061918;0;9.04126550805258e-51;0;3.52666193669442e-05;0.982729080712593;0.982729080712593;0.0003534756;1.36024930178258e-05;0.0004403384;3.6637919459216e-05;0.0005355984;3.62726926116603e-05;0.0007398534;7.84945015577525e-05;0.0009321798;3.57922773122918e-05;0.0010465754;0.000136744543181072;0.001338202;6.79319042865721e-05;0.001526514;0.00011273254844986;0.001599542;2.39659210129717e-05;0.00190792;0.000117476694497249;0.002085034;2.19760023662176e-05;0.0020718;0
"10";"domesticGrossDemand_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"domesticGrossDemand_km3";"Kyrgyz Republic";"ECA";"KGZ";0.119189;0.119189;0.119516;0.121576;0.125134;0.132014;0.141175;0.145461;0.148878;0.15318;0.158445;0.167198;0.176271;0.18345;0.193457;0.210019;0.227949;0.238224;0.247729;0.262391;0.270146;0.287828;0.306579;0.315573;0.323593;0.331493;0.340037;0.350958;0.359421;0.362692;0.376878;0.389907;0.424881;0.425216;0.408928;0.39752;0.380878;0.381747;0.394335;0.395871;0.397643;0.382427;0.390018;0.392993;0.397306;0.420214;0.443616;0.463928;0.492391;0.541744;0.594548;0.59392;0.607184;0.607184;0.608847;0.607184;0.607184;0.607184;0.340869672413793;0.153163798830841;0.973959609721109;0.97967603617884;0.925043091018298;0;9.19141951857022e-41;0;0.00883380273155118;0.948597321368092;0.948597321368092;0.1209208;0.00255695457527113;0.1441416;0.00808928880063014;0.1757642;0.0136537358514071;0.2372624;0.0198170582529295;0.3007438;0.0216742008318646;0.3489202;0.0131024849437044;0.405162;0.0214352764969337;0.3900702;0.00807944179383699;0.3920774;0.00625547426659242;0.4723786;0.0469890949136074;0.6023366;0.00743103840657549;0.607184;0
"101";"domesticGrossDemand_km3";"Cambodia";"EAP";"KHM";0.0208256;0.0208256;0.0208827;0.0211294;0.0218143;0.0229434;0.0241245;0.0250271;0.0250094;0.0260393;0.0270879;0.027608;0.027184;0.0277501;0.0257562;0.0278308;0.0283017;0.0327815;0.0319456;0.033135;0.0345397;0.0356891;0.0373657;0.0383073;0.0394636;0.0406722;0.041964;0.0432996;0.0487709;0.0533226;0.0511722;0.0424359;0.0438632;0.0475445;0.0481065;0.0480474;0.0526599;0.0599571;0.0630829;0.0647793;0.0649763;0.0674838;0.0697181;0.0720374;0.074731;0.0782496;0.0827938;0.088425;0.09378;0.0999849;0.108268;0.110941;0.115057;0.115057;0.115372;0.115057;0.115057;0.115057;0.0543981310344828;0.0309981152817348;0.943531394619943;0.993522829830466;0.96024814303868;0;1.37029529231724e-54;0;0.00173197757544063;0.89025149263345;0.89025149263345;0.02109552;0.00042095086055263;0.02462874;0.00116059264300615;0.02707724;0.000789161702694701;0.03079892;0.00253715452367411;0.03707308;0.00197844169790267;0.04560586;0.00530303061635514;0.04662446;0.0034961924622366;0.05770532;0.0071197218093125;0.06978932;0.00380656410651391;0.08864666;0.00862135177672272;0.112939;0.00318988957489127;0.115057;0
"102";"domesticGrossDemand_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"domesticGrossDemand_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"domesticGrossDemand_km3";"Korea, Republic of";"EAP";"KOR";0.710728;0.710728;0.712675;0.648406;0.689621;0.767443;0.76203;0.779564;0.844022;0.909764;0.988014;1.07431;1.15159;1.28732;1.35865;1.49504;1.65798;1.75434;1.93733;2.11194;2.34581;2.53371;2.5479;2.66272;2.72953;2.85277;2.97382;3.05028;3.26837;3.53714;3.88884;4.13937;4.33655;4.5782;4.71368;4.8952;5.15616;5.39254;5.51739;5.43174;4.8766;5.28488;5.60395;5.52568;5.74632;5.95557;6.18346;6.4997;6.72987;6.94329;6.76879;6.59696;6.99257;6.99257;7.01173;6.99257;6.99257;6.99257;3.68263560344828;2.28546943866724;0.988968296226859;0.996107564645436;0.967531946904965;0;9.09687561426285e-61;0;0.133846928081453;0.978058290941853;0.978058290941853;0.6944316;0.0274110592516962;0.8125646;0.0634744743168465;1.1719768;0.151614374817166;1.791326;0.240335712452394;2.563934;0.146568557098717;3.136476;0.270325492379095;4.331328;0.331590715144438;5.278606;0.252706331895344;5.407486;0.34067894736834;6.462378;0.39964698581373;6.872524;0.183641400234261;6.99257;0
"105";"domesticGrossDemand_km3";"Kuwait";"MENA";"KWT";0.0109884;0.0109884;0.0110185;0.0122924;0.0194619;0.0210591;0.0231652;0.0260372;0.0290491;0.0313086;0.0343621;0.0369368;0.0393228;0.0413991;0.0450157;0.0494918;0.066624;0.0689646;0.0743846;0.080122;0.0867866;0.10522;0.114223;0.113154;0.111921;0.113958;0.119017;0.122519;0.121294;0.135802;0.138928;0.150495;0.135266;0.110141;0.122767;0.125667;0.123584;0.140739;0.149918;0.153265;0.154469;0.170224;0.190126;0.192812;0.204974;0.225626;0.247367;0.279165;0.304394;0.319977;0.350351;0.323431;0.33087;0.33087;0.331777;0.33087;0.33087;0.33087;0.140960343103448;0.105796065260488;0.95249890121414;0.988291818895407;0.943252600684013;0;2.02297932929168e-47;0;0.00596739271278717;0.907254156814141;0.907254156814141;0.01294992;0.00368319564739643;0.02612384;0.00417886140988188;0.0394073;0.00409224789510606;0.0679174;0.0115439289646117;0.10626092;0.0114376399371549;0.122518;0.00811624041659684;0.1315194;0.0155132060935192;0.1386346;0.0136058023394433;0.182521;0.0200375199812751;0.2753058;0.0390678639894735;0.3334598;0.0100266571049378;0.33087;0
"106";"domesticGrossDemand_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.029835;0.029835;0.0299167;0.0300281;0.0312291;0.0331818;0.0331168;0.0349607;0.0360589;0.0366784;0.0378259;0.0396921;0.0409974;0.042329;0.0440783;0.0475383;0.0511907;0.0537109;0.0550674;0.0580863;0.0610116;0.0633143;0.0655711;0.0666074;0.0681177;0.0692704;0.0759248;0.0838989;0.0825304;0.0773185;0.0685517;0.0679047;0.0727307;0.0785855;0.0821157;0.0881061;0.0946387;0.10134;0.105566;0.105409;0.0991358;0.103944;0.101656;0.0995512;0.102341;0.108268;0.114878;0.120449;0.129947;0.139261;0.151335;0.156193;0.167106;0.167106;0.167564;0.167106;0.167106;0.167106;0.0828262586206897;0.0430497837136203;0.963267842477419;0.990384223269431;0.943252600684013;0;8.38984224501835e-50;0;0.00245566237657262;0.927884936351099;0.927884936351099;0.03016878;0.000598003316880433;0.03479932;0.00162717327196583;0.04098454;0.00239929660588265;0.05311872;0.00399008867219765;0.06492442;0.00279956695883488;0.0777886;0.00583255752264819;0.07397766;0.0062317068053624;0.09901196;0.00753923929670626;0.1013256;0.00199624267562839;0.1225606;0.012259913103281;0.1618608;0.0075905724224198;0.167106;0
