"FID";"domesticNettoDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"domesticNettoDemand_km3";"Aruba (Neth.)";"Other";"ABW";0.000252345;0.000252345;0.000253037;0.000260409;0.000273278;0.000284679;0.000276131;0.000252442;0.000260703;0.000268007;0.000279921;0.000288097;0.000300684;0.000295378;0.0003094;0.000335974;0.000404871;0.000329178;0.000351386;0.000376738;0.000396184;0.000427166;0.000461206;0.000486047;0.00049484;0.000506146;0.000463321;0.000401088;0.000409616;0.000385;0.000422253;0.000388028;0.000407329;0.000425729;0.000448702;0.000452773;0.000454762;0.000601934;0.000592271;0.000642018;0.00066091;0.000680139;0.000725408;0.000744266;0.000689753;0.000672658;0.000744984;0.000802752;0.000872668;0.000939881;0.00104546;0.00107;0.00114164;0.00114164;0.00114477;0.00114164;0.00114164;0.00114164;0.000546090775862069;0.000287034617111207;0.914434653977129;0.962875259881533;0.874056463954297;0;1.56070970123591e-33;0;1.55430975729796e-05;0.836190736394267;0.836190736394267;0.0002582828;9.0472385952842e-06;0.0002683924;1.26375426329647e-05;0.000294696;1.13399328701717e-05;0.0003596294;3.12022672221106e-05;0.0004530886;4.12475526764922e-05;0.0004330342;5.03460070631227e-05;0.0004184082;2.25377247232279e-05;0.0005487516;8.86945091045663e-05;0.0007000952;3.40311928045433e-05;0.0008065886;0.000104738487266143;0.001108702;4.73500783526279e-05;0.00114164;0
"1";"domesticNettoDemand_km3";"Andorra";"Other";"AND";0.000220324;0.000220324;0.000220928;0.000227166;0.000204411;0.000211267;0.000217028;0.000213698;0.000217461;0.000220537;0.000223545;0.000230565;0.000235044;0.000243471;0.000259842;0.000282282;0.00029106;0.000317987;0.000323071;0.000334025;0.000356988;0.000381927;0.000397217;0.000382579;0.000377882;0.000371808;0.000468679;0.000505551;0.000430562;0.000458444;0.000473806;0.000478815;0.000512347;0.00051519;0.000529647;0.000515823;0.000522062;0.000593759;0.000595151;0.000756858;0.000583242;0.000766685;0.000747686;0.000753086;0.000775021;0.000629599;0.000658517;0.000699344;0.00071206;0.000741985;0.000762418;0.00074298;0.000736202;0.000736202;0.000738219;0.000736202;0.000736202;0.000736202;0.000474672120689655;0.000205216769835513;0.967748395248807;0.94890538361967;0.837637444622868;0;9.91985311483161e-30;0;1.17605038297086e-05;0.936536956506638;0.936536956506638;0.0002186306;8.45670342391171e-06;0.0002159982;3.58734410114223e-06;0.0002384934;1.39530621477868e-05;0.000309685;2.2013398385983e-05;0.0003793186;1.44784857391925e-05;0.0004470088;4.98828830832782e-05;0.000501961;2.4381506177839e-05;0.0005967306;9.71770926417332e-05;0.000725144;8.0060047061565e-05;0.000688301;4.44449694734961e-05;0.0007432042;1.1092049008186e-05;0.000736202;0
"10";"domesticNettoDemand_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"domesticNettoDemand_km3";"Kyrgyz Republic";"ECA";"KGZ";0.0836827;0.0836827;0.083912;0.0853115;0.0877696;0.0927078;0.0997633;0.100573;0.102944;0.106051;0.10978;0.115948;0.122336;0.127285;0.133424;0.144705;0.156908;0.160262;0.166866;0.177098;0.182373;0.194662;0.207884;0.214306;0.220548;0.226775;0.2333;0.242566;0.249018;0.251799;0.262562;0.272671;0.318688;0.320211;0.342964;0.333854;0.320304;0.321845;0.333217;0.334995;0.336788;0.325586;0.332231;0.333283;0.336827;0.356131;0.375667;0.392081;0.415747;0.457208;0.501466;0.50066;0.510993;0.510993;0.512393;0.510993;0.510993;0.510993;0.266492837931035;0.139263759902013;0.98114484168017;0.992661251558809;0.962676077660775;0;4.47248161657293e-53;0;0.00809136628625911;0.962645200355603;0.962645200355603;0.0848717;0.00175639649139937;0.10040782;0.0049500173728988;0.1217546;0.00927639336164654;0.1611678;0.0120024050589871;0.2039546;0.015411444312588;0.2406916;0.0105418707210817;0.3034192;0.0342551259040162;0.328843;0.007141001785464;0.332943;0.00459938783970215;0.3993668;0.0390448881827058;0.507301;0.00573018974380432;0.510993;0
"101";"domesticNettoDemand_km3";"Cambodia";"EAP";"KHM";0.0198083;0.0198083;0.0198626;0.0200609;0.0206931;0.0217401;0.0228316;0.0236356;0.0236019;0.024497;0.0254027;0.0257949;0.0252976;0.0256832;0.0236979;0.0254291;0.0257011;0.0312878;0.0304519;0.0315531;0.0328701;0.0339373;0.0352289;0.0358908;0.036969;0.0380558;0.0392674;0.0405652;0.0455784;0.0497999;0.0478173;0.0397559;0.041067;0.0444219;0.0448741;0.0446733;0.0488624;0.0555902;0.0583719;0.0598049;0.0598506;0.0620541;0.0639804;0.0659854;0.0683159;0.0713811;0.0753691;0.0807161;0.0854256;0.0908827;0.0981899;0.100384;0.103864;0.103864;0.104148;0.103864;0.103864;0.103864;0.0501076431034483;0.027686786699784;0.946561595960226;0.992599710253691;0.954178306483441;0;5.6460826399416e-53;0;0.00155192973945675;0.895978854946765;0.895978854946765;0.02004664;0.000376030754061419;0.02326124;0.00103462008147919;0.02517526;0.000850183123215228;0.0288846;0.00305891501516469;0.03497922;0.00161140676956503;0.04265334;0.00491405098243801;0.04358724;0.00321235308738003;0.05346054;0.00646657349088372;0.06403728;0.00330023818488908;0.08075492;0.00776634155906113;0.10208998;0.00267631892755703;0.103864;0
"102";"domesticNettoDemand_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"domesticNettoDemand_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"domesticNettoDemand_km3";"Korea, Republic of";"EAP";"KOR";0.618429;0.618429;0.620124;0.559065;0.592213;0.657151;0.648078;0.656792;0.7079;0.757495;0.815922;0.798051;0.842445;0.93078;0.970889;1.05604;1.1587;1.18378;1.29058;1.38658;1.47571;1.61505;1.59877;1.60118;1.66409;1.67241;1.72319;1.6614;1.7395;1.84597;1.99248;2.08598;2.14624;2.23651;2.28017;2.34684;2.45402;2.53397;2.58604;2.53871;2.26308;2.44978;2.59413;2.55272;2.65216;2.74127;2.83805;2.98169;3.08311;3.17426;3.07771;2.98546;3.15803;3.15803;3.16669;3.15803;3.15803;3.15803;1.87961953448276;0.899294297408421;0.991495712513906;0.992230462422981;0.946894502617156;0;2.19659542163715e-52;0;0.0528011401458053;0.983063747933455;0.983063747933455;0.601652;0.0264900808417037;0.6854832;0.0466724216288377;0.8716174;0.0753659165624621;1.215136;0.127047825955425;1.59096;0.0695994468368823;1.728494;0.0734794102453198;2.148276;0.115475751264064;2.491916;0.0939423990006644;2.502374;0.152821363297152;2.963676;0.176196570851989;3.109184;0.0780657484432194;3.15803;0
"105";"domesticNettoDemand_km3";"Kuwait";"MENA";"KWT";0.00424766;0.00424766;0.0042593;0.00451849;0.00685871;0.00720258;0.00774068;0.0090536;0.00973207;0.0100951;0.010701;0.0111583;0.0114629;0.0118012;0.0125403;0.0134897;0.017746;0.0201267;0.0209388;0.0217384;0.0228625;0.0268673;0.028402;0.0272693;0.026449;0.0266228;0.0275677;0.0272948;0.0444621;0.0497203;0.0508532;0.0550605;0.0494041;0.0402918;0.0448854;0.0459443;0.0452167;0.0513884;0.0547217;0.0561587;0.0566107;0.0624754;0.0697617;0.0706656;0.0750617;0.0824002;0.0904854;0.0612583;0.0668513;0.0703188;0.0770403;0.0711492;0.0729257;0.0729257;0.0731255;0.0729257;0.0729257;0.0729257;0.0398781784482759;0.0262365908852243;0.965943248352308;0.974506566548899;0.89833581017525;0;4.89282959078116e-38;0;0.00150075443323386;0.933046359037407;0.933046359037407;0.004826364;0.00114199112112573;0.008764806;0.00125280364438327;0.01153274;0.000693563676240329;0.01880792;0.00332711141036786;0.02637002;0.00209128363858182;0.03513354;0.01107831298091;0.048099;0.00567959027351445;0.05068596;0.00497814340171112;0.06691502;0.00732168130943979;0.0742628;0.0119267820263892;0.07343328;0.00217011625080317;0.0729257;0
"106";"domesticNettoDemand_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0291498;0.0291498;0.0292296;0.0293144;0.0304786;0.0323755;0.0323111;0.0340272;0.0350825;0.0356565;0.0367389;0.0385151;0.0397437;0.0409843;0.0426292;0.0459288;0.0494214;0.0517245;0.0529801;0.0558412;0.0585991;0.0607602;0.0628737;0.0638205;0.0652142;0.066014;0.0722958;0.0799749;0.0783554;0.0733569;0.0648992;0.064039;0.0685047;0.0739662;0.0771916;0.0827558;0.0888259;0.0945333;0.0982417;0.0978924;0.0918919;0.0960569;0.0937001;0.0915201;0.093792;0.0988923;0.104578;0.108431;0.116515;0.124378;0.134671;0.138468;0.147474;0.147474;0.147878;0.147474;0.147474;0.147474;0.0765782586206896;0.0370739404168236;0.969155393655464;0.989091855861945;0.938396731439822;0;2.8175043504587e-48;0;0.00212771171675534;0.939262177051475;0.939262177051475;0.02946444;0.00057100328195204;0.03389056;0.0015287279215086;0.03972224;0.00225838310257582;0.0511792;0.00373936484914217;0.06225354;0.0026072238958325;0.0739994;0.00551731385322604;0.06972014;0.00571939351312707;0.09244982;0.00660710337114533;0.0933922;0.00181045070631597;0.11055886;0.010035578343972;0.143193;0.00619583037211316;0.147474;0
