"FID";"domestic_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"domestic_water_withdrawal_km3";"Aruba (Neth.)";"Other";"ABW";0.000370753;0.000370753;0.000371781;0.000386008;0.000408429;0.000428894;0.000419519;0.000360091;0.000374274;0.000387192;0.00040706;0.00042143;0.000442565;0.000437373;0.000460707;0.000502664;0.000608749;0.000498948;0.000535365;0.000576558;0.000609185;0.00065982;0.000715864;0.000757571;0.000774323;0.000794961;0.000730543;0.000614122;0.000629198;0.000593246;0.000652846;0.000601581;0.00063337;0.000664218;0.000702673;0.000711244;0.000716714;0.0008931;0.000881277;0.000957469;0.000989547;0.0010222;0.00109445;0.00112645;0.00104736;0.00101949;0.00113808;0.00120474;0.00131257;0.00141651;0.0015774;0.00161838;0.00172646;0.00172944;0.00173439;0.00170322;0.00165214;0.00165086;0.000824588362068966;0.000428573737770305;0.921204317607501;0.962517495538121;0.865355561547995;0;2.03182351420475e-33;0;2.33793342459009e-05;0.848617394778697;0.848617394778697;0.0003815448;1.63625949103435e-05;0.000393994;2.93857730798426e-05;0.000433827;2.05037743964374e-05;0.0005444568;4.76033713585498e-05;0.0007033526;6.87306188266918e-05;0.000672414;8.65013005595869e-05;0.0006509376;3.74207735128498e-05;0.0008319608;0.00011155353909536;0.0010560014;5.49424603544472e-05;0.001218278;0.000153556644825289;0.001677214;7.39021189141421e-05;0.00166874;2.98674136811342e-05
"1";"domestic_water_withdrawal_km3";"Andorra";"Other";"AND";0.0003218;0.00031606;0.000314663;0.00032053;0.000327485;0.000352818;0.000365638;4e-04;0.000422808;0.000423893;0.000441022;0.0004666;0.000471958;0.000490862;0.000531173;0.00056259;0.000565537;0.000632467;0.000583722;0.000659395;0.000751543;0.000775017;0.000822203;0.000795769;0.000781851;0.0007683;0.000750961;0.000816451;0.000845699;0.000969692;0.00106449;0.000953581;0.000833127;0.000841896;0.00100374;0.00110178;0.00112862;0.0011973;0.00115774;0.00113937;0.00109971;0.0011086;0.00116684;0.00122791;0.00128684;0.00117113;0.00115598;0.00110144;0.00108784;0.00132918;0.00146393;0.00140596;0.00130212;0.00118951;0.00105368;0.0012396;0.00144536;0.00133934;0.000855950362068965;0.000348805560943152;0.966467485102025;0.961118459503522;0.859649122807018;0;0;0;1.99627913808482e-05;0.934059399759431;0.934059399759431;0.0003201076;5.08663457504076e-06;0.0003930314;3.26157996651929e-05;0.000480323;3.3539736045473e-05;0.0006007422;4.31024870593334e-05;0.0007852766;2.61179984455164e-05;0.0008302206;8.65992192014455e-05;0.0009393668;0.000100981705638695;0.001144962;3.55863740777282e-05;0.00117798;7.96984651671536e-05;0.001169114;9.61547241689143e-05;0.00128304;0.000165490509848752;0.00134143333333333;0.000102895971414499
"10";"domestic_water_withdrawal_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"domestic_water_withdrawal_km3";"Kyrgyz Republic";"ECA";"KGZ";0.0717979;0.0714174;0.0715029;0.0723453;0.0749786;0.079443;0.0844785;0.089324;0.0921285;0.0945595;0.0973609;0.103199;0.108786;0.112513;0.118736;0.128077;0.138408;0.146011;0.152945;0.161627;0.166249;0.17777;0.188874;0.194659;0.200235;0.206617;0.210566;0.217508;0.223026;0.224971;0.23344;0.240617;0.269305;0.267096;0.256578;0.24852;0.235275;0.235046;0.242614;0.241678;0.242303;0.231491;0.238005;0.243395;0.248116;0.263554;0.277962;0.289045;0.306975;0.336966;0.369413;0.368921;0.375237;0.374187;0.369917;0.37102;0.370247;0.373532;0.210354629310345;0.0950854976828767;0.97345913897234;0.977237072810606;0.91167574107683;0;0;0;0.00548128812021281;0.947622695248768;0.947622695248768;0.07240842;0.00148194392167855;0.0879867;0.00607138483585088;0.10811898;0.00825251370201831;0.1454136;0.0129382122335352;0.1855574;0.0136265256870561;0.2165376;0.00787784166507553;0.2534072;0.015909553378395;0.2406266;0.00563790038932934;0.240662;0.00626281039150955;0.2949004;0.028368567840129;0.371535;0.00294498353136312;0.371599666666667;0.0017175029354657
"101";"domestic_water_withdrawal_km3";"Cambodia";"EAP";"KHM";0.0114634;0.0114634;0.0114954;0.0116349;0.0120125;0.0126334;0.0132814;0.0137536;0.0137637;0.0143276;0.0149116;0.0151911;0.01495;0.0152984;0.0142007;0.0153514;0.0156106;0.0182951;0.017835;0.0184844;0.0192679;0.0199028;0.0208243;0.0213379;0.0219827;0.0226531;0.0234026;0.023958;0.0268248;0.0292433;0.0281645;0.0236735;0.0245001;0.0264947;0.0268328;0.0267308;0.0292298;0.0329428;0.0346305;0.0354752;0.0354892;0.0368768;0.038069;0.0392929;0.0407623;0.042678;0.0451666;0.04824;0.0511745;0.0545704;0.0590593;0.0604618;0.0627422;0.0627422;0.0629233;0.0627422;0.0627422;0.0627422;0.0298707724137931;0.0168125183032501;0.945715132675148;0.993953618966294;0.962676077660775;0;2.00606817201906e-55;0;0.000941550739795123;0.894377112170767;0.894377112170767;0.01161392;0.00023380852636292;0.01355194;0.000633258460661995;0.01491036;0.000428538263169113;0.0171153;0.0015132577638988;0.02066312;0.0010894177077687;0.02521636;0.00274985554402409;0.02593312;0.00182093943941033;0.03180182;0.00371239536041085;0.03809804;0.00205087105713646;0.0483659;0.00471666280117627;0.06158576;0.00173997172477026;0.0627422;0
"102";"domestic_water_withdrawal_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"domestic_water_withdrawal_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"domestic_water_withdrawal_km3";"Korea, Republic of";"EAP";"KOR";0.684452;0.684255;0.685625;0.623438;0.662811;0.740264;0.731782;0.748712;0.810561;0.871618;0.946908;1.03216;1.10761;1.24046;1.31038;1.43474;1.6005;1.69274;1.86913;2.03556;2.26381;2.45222;2.4674;2.57616;2.64364;2.7626;2.88103;2.95239;3.16278;3.42308;3.76432;4.00722;4.19858;4.4327;4.56442;4.73958;4.99262;5.2222;5.34436;5.26091;4.72255;5.11834;5.42833;5.35216;5.56638;5.7692;5.99076;6.29664;6.52015;6.72728;6.55846;6.39103;6.77465;6.77465;6.79303;6.77465;6.77465;6.77465;3.564367;2.21683936857176;0.988933891995668;0.996061464428119;0.966630662538546;0;1.26416859511415e-60;0;0.129823139315265;0.977990242737696;0.977990242737696;0.6681162;0.0267308997547781;0.7805874;0.0596006954976198;1.1275036;0.148579822064774;1.726534;0.233452902059495;2.480646;0.144647254657667;3.036376;0.260603760966721;4.193448;0.321605266623543;5.111934;0.245589910582662;5.237552;0.330566806213207;6.260806;0.387537959405269;6.658364;0.177924194476187;6.77465;0
"105";"domestic_water_withdrawal_km3";"Kuwait";"MENA";"KWT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";"domestic_water_withdrawal_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0296062;0.0296062;0.0296855;0.0297918;0.0309833;0.0329198;0.0328626;0.0346752;0.0357628;0.036378;0.037522;0.0393663;0.0406603;0.0419793;0.0437181;0.0471384;0.0507566;0.0531162;0.0544609;0.0574266;0.0603121;0.0625795;0.0648064;0.0658198;0.06731;0.0684511;0.0750268;0.0827415;0.0814241;0.0763192;0.0676941;0.0669963;0.0717473;0.0775217;0.0810124;0.0869012;0.0933451;0.0999889;0.10418;0.103997;0.0977916;0.102459;0.10019;0.0980927;0.100838;0.106679;0.113206;0.118681;0.128028;0.137197;0.149096;0.153848;0.164583;0.164583;0.16504;0.164583;0.164582;0.164582;0.0817353431034483;0.0423132047200237;0.963203886297043;0.989571160308628;0.937898682693829;0;8.05702873466225e-49;0;0.0024134858992894;0.927761726577724;0.927761726577724;0.0299346;0.000591165683205647;0.03451968;0.00160689274439833;0.0406492;0.00237763793921615;0.05257974;0.00388106379076665;0.06416556;0.00275678386403432;0.07679254;0.00569567781067363;0.07299436;0.00613209612188198;0.09768244;0.00745753588479466;0.09987426;0.00195069193569871;0.1207582;0.0120691600246248;0.15943;0.00745870628862673;0.164582333333333;5.77350269190203e-07
