"FID";"evaporation_from_irrigation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"evaporation_from_irrigation_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"evaporation_from_irrigation_km3";"Andorra";"Other";"AND";0.000209319;0.000202514;0.000247296;0.000202134;0.000187657;0.000264118;0.000271105;0.000222141;0.000263496;0.000261846;0.000308243;0.00033222;0.000346086;0.000360957;0.000410573;0.000407917;0.000444685;0.000461674;0.000515864;0.000528646;0.000409158;0.000524733;0.000525725;0.000554557;0.000550741;0.000616647;0.000542537;0.000515694;0.000462874;0.000674512;0.000632405;0.00064693;0.000742771;0.000761891;0.000950736;0.000988258;0.000777184;0.00102041;0.000989161;0.000985345;0.000840555;0.000762274;0.000961427;0.00108657;0.00106081;0.000838607;0.000911516;0.000846218;0.000863565;0.000921471;0.00095195;0.000821356;0.000929679;0.00105318;0.0010808;0.00107254;0.00122452;0.00108108;0.00064877375862069;0.00030077027939908;0.951766481500357;0.943215724876188;0.817301875378101;0;0;0;1.69518049155617e-05;0.905859435307567;0.905859435307567;0.000209784;2.24072861922188e-05;0.0002565412;1.95537469222653e-05;0.0003516158;3.82465193671267e-05;0.0004717572;5.02292032656302e-05;0.0005129828;5.96534067107655e-05;0.0005624528;8.36558986186868e-05;0.0007469466;0.000127371492773305;0.0009520716;9.88028438775929e-05;0.0009423272;0.000139629596728989;0.0008762754;3.79751631635731e-05;0.000967393;0.000103932904356609;0.00112604666666667;8.53872410453302e-05
"10";"evaporation_from_irrigation_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"evaporation_from_irrigation_km3";"Kyrgyz Republic";"ECA";"KGZ";2.56229;2.33182;2.22147;2.19011;2.35598;2.54793;2.64607;2.74936;3.03719;2.79508;2.70652;3.06598;3.20501;3.12516;3.25859;3.34639;3.57638;3.75444;3.94471;4.30304;4.62106;4.93934;4.93941;5.49867;5.01519;5.54333;5.31096;5.63854;5.84972;6.05487;6.26959;5.70074;6.00946;5.77922;5.64399;6.06612;5.85338;5.87562;5.82481;5.85117;6.41857;6.55254;6.2055;6.17657;6.68765;6.51708;6.43723;6.3511;6.08283;6.15837;5.81373;6.39544;6.13692;6.83424;6.2076;6.81861;6.27027;6.87463;4.94737224137931;1.53732809811008;0.93266938624938;0.945492017595128;0.828191167574108;0;0;0;0.0849072758313075;0.869872184046795;0.869872184046795;2.332334;0.146592677272775;2.755126;0.184399744115874;3.072252;0.21733903646147;3.784992;0.364248430154476;5.002734;0.316153221761221;5.679484;0.285446670203035;5.8806;0.258132686713636;5.89422;0.0977682543057816;6.408166;0.220098623416867;6.309322;0.183952695468155;6.277586;0.375366685229257;6.65450333333333;0.333932629333123
"101";"evaporation_from_irrigation_km3";"Cambodia";"EAP";"KHM";0.698892;0.702448;0.68807;0.679591;0.721525;0.728678;0.749391;1.10082;1.08951;1.08063;1.11659;0.979701;0.962835;0.963101;0.973387;0.985059;0.974781;0.959887;1.05638;1.1479;1.20392;1.34397;1.36295;1.39947;1.45769;1.65288;1.85949;1.99994;2.26696;2.48536;2.5769;2.70754;2.83588;3.00936;3.18521;3.19002;3.21907;3.30037;3.12018;3.34142;3.39995;3.18082;3.22974;3.39709;3.58062;3.64316;3.68575;3.54064;3.49604;3.45575;3.4394;3.43237;3.52662;3.92429;3.87511;3.87683;3.92172;4.07454;2.25100337931034;1.19389337930008;0.965734234476598;0.975514472915193;0.882637628554144;0;0;0;0.0682768995047518;0.932642611640097;0.932642611640097;0.6981052;0.0159016260080534;0.9498058;0.192679214886297;0.9991228;0.0660538706223942;1.0248014;0.0781758456960972;1.3536;0.0942377933739961;2.052926;0.329040849257353;2.862978;0.240830359008162;3.234212;0.0881134868791378;3.357644;0.158658628287276;3.564268;0.0974311586198173;3.639558;0.240988661911717;3.95769666666667;0.103648692386027
"102";"evaporation_from_irrigation_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"evaporation_from_irrigation_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"evaporation_from_irrigation_km3";"Korea, Republic of";"EAP";"KOR";5.00584;5.04473;5.1493;5.2093;5.04243;4.78823;5.32105;5.23277;5.65955;5.89138;5.5404;5.97676;5.86725;6.02939;6.09171;6.415;5.98202;6.53596;6.25273;6.25693;6.43369;6.31191;5.99006;6.50169;6.70205;6.55026;6.54746;6.61707;6.5651;6.63832;6.90457;7.00729;6.86326;6.87848;6.95185;6.52624;7.53703;6.71211;6.52545;6.74738;6.35667;6.49699;6.46996;6.73242;6.30125;6.05549;6.5988;6.55909;6.18448;6.22244;6.31684;6.20768;6.05251;6.01586;6.46597;6.58753;6.37172;6.61462;6.23128137931034;0.573083473092182;0.628687122824329;0.545787320434341;0.401088929219601;1.26136515232744e-07;1.31581333691692e-05;8.69180550799875e-06;0.0213355120120582;0.395247498405138;0.395247498405138;5.09032;0.0853575588334154;5.378596;0.422785808394747;5.901102;0.217810263922525;6.288528;0.208233550298697;6.38788;0.263527159131654;6.583642;0.0414560480509178;6.92109;0.0587568059887535;6.809642;0.419393650607636;6.471458;0.16651001522431;6.32406;0.241174321912595;6.211772;0.186693966613814;6.52462333333333;0.133109124530715
"105";"evaporation_from_irrigation_km3";"Kuwait";"MENA";"KWT";0.00342259;0.0036535;0.00337677;0.00350829;0.00359324;0.00482883;0.00359697;0.00393968;0.00422515;0.0046488;0.00471244;0.00538088;0.00378186;0.00424832;0.00522761;0.00380047;0.00435182;0.00409751;0.00461693;0.00437809;0.00458988;0.00483778;0.00531226;0.00560041;0.00577343;0.0051807;0.00639109;0.00697664;0.00681486;0.00778261;0.0107936;0.00972789;0.0120974;0.0127959;0.0127763;0.0130643;0.0157432;0.0158915;0.0167614;0.0179646;0.0193702;0.0189064;0.0188008;0.0204012;0.0214361;0.0233155;0.0235796;0.023284;0.0242163;0.0238346;0.0237117;0.0269025;0.0290004;0.0301228;0.0298003;0.0308959;0.028564;0.031453;0.012549324137931;0.00934759499006929;0.940408241268714;0.974222522993633;0.899576527525711;0;0;0;0.000520555373588846;0.884367660246111;0.884367660246111;0.003510878;0.000115011910557125;0.004247886;0.00050433804876293;0.004670222;0.000667960866308798;0.004248964;0.000310940926833378;0.005222752;0.000500653052492442;0.00662918;0.000953989968160043;0.011638218;0.00134248268093857;0.015885;0.00180757510908952;0.01978294;0.0011200958744679;0.023646;0.000389067879681683;0.02790754;0.00265986085030778;0.0303043;0.00153266864324942
"106";"evaporation_from_irrigation_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.175359;0.175705;0.171841;0.167751;0.179001;0.187894;0.18344;0.187711;0.202336;0.201503;0.221014;0.222162;0.224671;0.251103;0.312306;0.360274;0.402268;0.442557;0.540169;0.685752;0.782344;0.943021;1.1554;1.14374;1.18487;1.24038;1.22547;1.21471;1.26873;1.30669;1.32155;1.38687;1.40475;1.49396;1.56034;1.60611;1.62488;1.65344;1.64569;1.73192;2.10495;2.42494;2.84637;2.96576;3.01685;3.14373;3.12626;3.07562;3.14282;3.09095;3.09614;3.25818;3.29045;3.27482;3.46535;3.4521;3.40889;3.51436;1.51876244827586;1.18448295850219;0.969328564557686;0.99692392875819;0.967332123411978;0;0;0;0.0679908464732835;0.939597866067459;0.939597866067459;0.1739314;0.00428519717165966;0.1925768;0.00871786629284941;0.2462512;0.0389540993311359;0.486204;0.129942586489188;1.041875;0.173810548552152;1.251196;0.037071101683117;1.433494;0.0939115526972055;1.652408;0.0481395115263958;2.671774;0.393130209892346;3.115876;0.0310302389613745;3.276988;0.131078133836273;3.45845;0.0530209590633741
