"FID";"fossil_groundwater_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"fossil_groundwater_abstraction_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;1.05312e-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.89118e-15;0;0;0;0;0;0;0;7.92113e-05;0;0;0;0;3.60837e-05;0;5.76856e-05;0;0;0.000405372;0.00114278;0.00122285;5.07583206898266e-05;0.000222706918895671;0.375330288168535;0.410480383687028;0.337644771334763;0.00369419733381293;0.00137239720182437;0.00142865750347809;4.94991729059957e-06;0.140872825216674;0.140872825216674;0;0;2.10624e-16;4.70969581692916e-16;0;0;0;0;0;0;0;0;0;0;1.778236e-15;3.97625657603732e-15;0;0;1.584226e-05;3.54243702772258e-05;1.875386e-05;2.67914423303039e-05;0.000923667333333333;0.000450638813953407
"1";"fossil_groundwater_abstraction_km3";"Andorra";"Other";"AND";0.00339322;0.00316632;0.00319786;0.0033323;0.0032714;0.00339489;0.00359842;0.00366069;0.00386042;0.00393469;0.00397124;0.00416054;0.00424116;0.00437477;0.00447161;0.00509911;0.00484861;0.00507839;0.00462695;0.00495327;0.00594586;0.00584765;0.00648317;0.00614325;0.0057653;0.00600876;0.00556477;0.00574664;0.00583602;0.00658878;0.00707236;0.00653756;0.00560177;0.00516972;0.00627063;0.0068192;0.00717427;0.00742788;0.00637877;0.00704206;0.00679636;0.00654882;0.00679654;0.0073899;0.00716397;0.00690268;0.00628362;0.00629554;0.00606414;0.00750651;0.00815147;0.00782811;0.0070394;0.00665702;0.00593863;0.00633215;0.00776108;0.00782584;0.00571279413793103;0.00141202879155333;0.895672247010449;0.876957150327602;0.722928009679371;0;0;1.11022302462516e-15;7.48933556861171e-05;0.802228774064748;0.802228774064748;0.00327222;9.35354189598786e-05;0.003689822;0.00021520449500417;0.004243864;0.000193828962825477;0.004921266;0.000193158935801583;0.006037046;0.000286503722890297;0.005948994;0.00039186619167772;0.006130408;0.000754169758588874;0.006968436;0.000396501668760675;0.006939118;0.000334216881261255;0.006610498;0.000590076829336655;0.007122926;0.000891878529133872;0.00730635666666667;0.000844308851329496
"10";"fossil_groundwater_abstraction_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"fossil_groundwater_abstraction_km3";"Kyrgyz Republic";"ECA";"KGZ";0.0237434;0.032962;0.0331338;0.0379685;0.0268071;0.0216452;0.0354128;0.0272218;0.00150709;0.0143886;0.032677;0.0160978;0.0134774;0.0415497;0.0385614;0.0495134;0.0720946;0.0792065;0.0505137;0.0588404;0.0521911;0.0205931;0.032122;0.00929771;0.0270424;0.0271643;0.0472682;0.0263053;0.0171404;0.00165895;0.00264252;0.0292379;0.0325227;0.0550674;0.031506;0.0206846;0.0442484;0.0280638;0.0432683;0.0641403;0.0433266;0.00787787;0.01314;0.0176408;0.00920318;0.0131119;0.0119534;0.0445318;0.0323294;0.0565138;0.0659837;0.0147486;0.0107817;0.036784;0.105429;0.0671406;0.076268;0.0359694;0.0341762296551724;0.0215115031572279;0.178564368823364;0.102525454489526;0.074410163339383;0.179884967833887;0.442738001207483;0.40932488546762;0.000227465838383216;0.0318852338132868;0.0318852338132868;0.03092296;0.005638517465877;0.020035098;0.0129023723884416;0.02847266;0.0129273267467795;0.06203372;0.0131889370840489;0.028249262;0.0158701320260803;0.02390743;0.0166047441643796;0.030195304;0.0186133580000246;0.04008108;0.0167854806999085;0.01823769;0.0145322431799843;0.03168806;0.0194693404253457;0.0467454;0.039466091501883;0.0597926666666667;0.0211302717373283
"101";"fossil_groundwater_abstraction_km3";"Cambodia";"EAP";"KHM";1.93143e-12;1.76085e-12;1.93938e-12;1.78783e-12;1.3304e-12;3.39986e-12;1.22764e-12;7.63135e-13;1.24134e-12;8.56253e-13;2.23711e-12;7.68774e-13;3.83287e-13;1.41062e-12;7.38072e-13;1.2199e-12;2.09413e-15;1.90851e-13;1.11541e-13;6.38135e-17;2.37844e-15;1.56704e-16;9.34017e-18;2.22352e-16;9.3396e-17;2.66812e-15;1.29282e-15;7.46601e-17;4.1691e-12;1.57371e-12;3.81757e-13;6.64259e-13;2.21777e-13;1.22577e-14;1.49723e-14;4.7367e-14;1.59002e-12;1.08459e-12;6.73862e-13;1.41331e-12;1.6713e-12;3.18496e-12;2.05723e-12;6.44142e-13;7.30651e-14;2.17864e-13;4.59708e-13;6.00217e-14;7.4698e-17;7.36141e-14;3.07677e-14;1.23985e-14;4.68795e-12;5.1901e-12;5.21024e-12;5.03005e-12;4.50665e-12;4.12314e-12;1.24806180299603e-12;1.53402762958203e-12;0.263581359170186;0.0510935433264635;0.00302480338777979;0.0455884210102673;0.702580493620157;0.973244024489182;2.39440987725544e-14;0.0694751329020004;0.0694751329020004;1.749978e-12;2.48190762459041e-13;1.4976456e-12;1.0848854198759e-12;1.1075726e-12;7.32051446241178e-13;3.048899887e-13;5.17744235189343e-13;5.72046434e-16;1.01286694924001e-15;1.14936912002e-12;1.82021426620908e-12;2.590046e-13;2.74372452484656e-13;9.618298e-13;6.19010305142976e-13;1.52613942e-12;1.21903229480522e-12;1.622564996e-13;1.84514196755471e-13;3.02629124e-12;2.75088717951872e-12;4.55328e-12;4.55249607028935e-13
"102";"fossil_groundwater_abstraction_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"fossil_groundwater_abstraction_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"fossil_groundwater_abstraction_km3";"Korea, Republic of";"EAP";"KOR";3.31695e-11;4.12103e-11;4.99194e-11;3.83384e-11;4.36656e-11;4.23555e-11;2.13215e-11;3.96306e-11;3.37436e-11;2.78267e-11;3.46195e-11;6.5505e-11;1.17294e-10;5.54957e-11;2.55394e-11;4.34186e-11;7.58888e-12;4.03418e-11;1.74949e-11;2.26924e-11;2.54295e-11;1.62951e-11;1.84807e-11;3.05542e-11;1.54102e-11;5.28601e-11;2.56076e-11;1.18832e-10;6.54671e-11;5.62563e-11;9.65155e-11;4.30363e-11;8.72959e-11;4.36521e-11;4.10603e-11;8.21485e-11;6.74694e-11;4.60738e-11;4.2685e-11;6.52756e-11;3.88132e-11;1.13314e-10;7.65874e-11;1.04792e-10;3.03109e-11;9.06859e-11;8.896e-11;7.30473e-11;8.40414e-11;8.58697e-11;6.76909e-11;1.46193e-10;1.27956e-10;1.01056e-10;1.15924e-10;9.85476e-11;1.82402e-10;1.16533e-10;6.17982893103448e-11;3.75010096724449e-11;0.656282361912147;0.6393614076102;0.441016333938294;2.23267107024583e-08;1.54317732623617e-07;1.00773633038287e-06;1.45741861945921e-12;0.430706538556984;0.430706538556984;4.126064e-11;6.22025973276036e-12;3.297558e-11;8.5905557303937e-12;5.969072e-11;3.59319518030541e-11;2.6307316e-11;1.52550722794512e-11;2.123394e-11;6.52607057906977e-12;6.380462e-11;3.41560696624626e-11;6.231202e-11;2.72279906660774e-11;6.073046e-11;1.63191632471766e-11;7.27635e-11;3.75487556070770e-11;8.452086e-11;6.91746905399655e-12;1.1176398e-10;2.96729755527146e-11;1.324942e-10;4.41470274075164e-11
"105";"fossil_groundwater_abstraction_km3";"Kuwait";"MENA";"KWT";0.00215528;0.00240285;0.00235047;0.00187928;0.00239105;0.00368308;0.00288404;0.00269714;0.00313682;0.00332249;0.00324162;0.00383318;0.00255247;0.00254823;0.00254101;0.0027493;0.00216149;0.00169708;0.00172986;0.00283863;0.00234512;0.00305979;0.00260998;0.00349768;0.00353543;0.003181;0.00358943;0.00408291;0.00353263;0.0048077;0.00739393;0.00512528;0.00672836;0.00522955;0.0072789;0.00595274;0.00748356;0.0061863;0.00599484;0.00797756;0.00868074;0.00705485;0.00745665;0.00850245;0.00840113;0.0116984;0.00976265;0.00789466;0.0086136;0.00846843;0.0083037;0.01077;0.0114586;0.0128953;0.0124939;0.0131911;0.00991615;0.0137392;0.00571878568965517;0.00342954614782124;0.90926815610986;0.910240241163985;0.755595886267393;0;0;0;0.000184662730628439;0.826768579715421;0.826768579715421;0.002235786;0.000222905503364094;0.003144714;0.000383985022858965;0.002943302;0.00058128024107998;0.002235272;0.000542863095789353;0.0030096;0.000528788267220444;0.003838734;0.000629877604404221;0.006351204;0.00110126533784098;0.006719;0.000943908980039919;0.008019164;0.000718239110171536;0.009287548;0.00150857767959426;0.0111843;0.00181571711040019;0.01228215;0.00206726157089518
"106";"fossil_groundwater_abstraction_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";3.3213e-12;3.09566e-12;2.83164e-12;2.59787e-12;2.18682e-12;2.15542e-12;2.32465e-12;1.39232e-12;3.34498e-12;2.07574e-12;2.9603e-12;1.2535e-12;3.65883e-12;5.29461e-12;4.22323e-12;3.25383e-12;8.12929e-13;1.30649e-11;1.0633e-12;3.54654e-11;2.70617e-11;1.40829e-11;1.54575e-11;5.84728e-11;9.24164e-12;4.81917e-11;4.52136e-11;5.41202e-12;2.87573e-11;4.74467e-11;1.43196e-11;1.51687e-11;4.69127e-12;4.25533e-11;4.74841e-11;3.34631e-11;5.16425e-11;1.88995e-11;1.68462e-11;1.55723e-11;4.74015e-11;3.54228e-11;3.95876e-11;1.91793e-12;4.1257e-11;4.8428e-11;1.85803e-11;4.05301e-11;3.3382e-11;1.22364e-11;1.32243e-11;1.18642e-11;8.29715e-12;6.60083e-12;6.34813e-12;6.71177e-12;6.62489e-12;6.46932e-12;1.79524117068966e-11;1.7369844403833e-11;0.339010225285284;0.496631701990218;0.288566243194192;0.00923565120243808;9.094307481253e-05;0.00137566269192901;3.48705940662584e-13;0.11492793284798;0.11492793284798;2.806658e-12;4.40679651129934e-13;2.258622e-12;7.03404050827119e-13;3.478094e-12;1.50868756123659e-12;1.07320718e-11;1.47052563194778e-11;2.4863308e-11;1.98944327122268e-11;3.5004264e-11;1.83553717450909e-11;2.4843394e-11;1.89519153686819e-11;2.728472e-11;1.53942296206078e-11;3.3117366e-11;1.79643667189044e-11;3.063136e-11;1.50488709693784e-11;9.266922e-12;3.12147980403045e-12;6.60199333333333e-12;1.22836043705964e-13
