"FID";"industryGrossDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"industryGrossDemand_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"industryGrossDemand_km3";"Andorra";"Other";"AND";0.00346325;0.00346325;0.00347274;0.00355697;0.00368158;0.00381131;0.00392651;0.00402004;0.00412105;0.00422045;0.0043175;0.00444695;0.00452408;0.00467816;0.00497881;0.00539845;0.00553667;0.00590521;0.00596949;0.00614568;0.00654843;0.0069592;0.00722167;0.00693407;0.0068196;0.00670639;0.00660665;0.0066941;0.00739545;0.00783963;0.00805691;0.0080993;0.0086388;0.00866714;0.00890813;0.00871168;0.00882794;0.0092059;0.00922073;0.00894024;0.00903573;0.00902348;0.00876983;0.00879763;0.0090075;0.00959421;0.00998698;0.0100993;0.0102515;0.0106604;0.0109386;0.0106587;0.0105598;0.0105598;0.0105887;0.0105598;0.0105598;0.0105598;0.00735951155172414;0.0024426964511884;0.985568266811943;0.984230092757597;0.912903417907822;0;8.02346435055357e-44;0;0.000142563002553138;0.971344808546697;0.971344808546697;0.003527558;9.46888233636894e-05;0.004019872;0.000160221035510322;0.0045891;0.000253971627647657;0.0057911;0.000312041546913228;0.006896594;0.000244000314815371;0.007048444;0.000544088916979569;0.008474056;0.000376594974382293;0.008981298;0.000226755398215787;0.008926834;0.00013138656830133;0.010118478;0.000388552043515409;0.01066112;0.000160294376071028;0.0105598;0
"10";"industryGrossDemand_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"industryGrossDemand_km3";"Kyrgyz Republic";"ECA";"KGZ";0.592255;0.592255;0.593878;0.585189;0.582347;0.591552;0.609275;0.623127;0.620062;0.619492;0.623614;0.640288;0.656707;0.667573;0.687674;0.731105;0.779142;0.798602;0.813496;0.84334;0.85262;0.890732;0.928179;0.936097;0.939756;0.942041;0.945491;0.960776;0.964701;0.951006;0.962699;0.975441;1.01872;1.00339;0.965209;0.933877;0.89144;0.884598;0.897417;0.892253;0.887159;0.849362;0.850532;0.842007;0.840014;0.878136;0.924668;0.96551;1.0209;1.10795;1.19697;1.18413;1.21103;1.21103;1.21435;1.21103;1.21103;1.21103;0.875935413793103;0.192694645447055;0.894582880026434;0.84403899969802;0.704101040407629;0;8.76157344152128e-17;7.105427357601e-15;0.0102080044295425;0.800278529236389;0.800278529236389;0.5891848;0.00508921184467696;0.6127016;0.0129230525921703;0.6551712;0.0246473215928222;0.793137;0.0418584679724426;0.9094768;0.0372803584974715;0.952803;0.00971656227788409;0.9850918;0.0247769102532984;0.899917;0.0195243424089007;0.8538148;0.0191854508599616;0.9794328;0.0890088039757865;1.203502;0.0127373670748707;1.21103;0
"101";"industryGrossDemand_km3";"Cambodia";"EAP";"KHM";0.0321291;0.0321291;0.0322172;0.0324329;0.0327427;0.0336277;0.0346083;0.0351531;0.0338912;0.0344727;0.034888;0.0350564;0.0344318;0.0336841;0.0317004;0.033445;0.0340683;0.0381812;0.0372068;0.0385424;0.0399786;0.0410151;0.0425265;0.042748;0.042874;0.0429821;0.0429076;0.0420534;0.0472705;0.0508537;0.0469515;0.0358336;0.0360489;0.0386624;0.038337;0.0387037;0.0419373;0.0460541;0.047799;0.0483581;0.0478556;0.0487149;0.049627;0.0503967;0.0515162;0.0532646;0.0555587;0.0582146;0.0608346;0.0639027;0.0684225;0.0693922;0.0710872;0.0710872;0.0712819;0.0710872;0.0710872;0.0710872;0.0455676155172414;0.01265048226245;0.901176001710853;0.937520242172777;0.825497771512392;0;2.37956524027642e-27;0;0.000675098775723639;0.812118186059555;0.812118186059555;0.0323302;0.000261894520752153;0.0343506;0.000603936403936704;0.03395214;0.00136633417142367;0.03628874;0.00237278493504995;0.04182844;0.00127568648695516;0.04521346;0.00375252107962101;0.03916668;0.00453806302479373;0.04457044;0.00413289485203773;0.04962208;0.00142576103081828;0.05835504;0.00420346789722486;0.0702542;0.00127887784600407;0.0710872;0
"102";"industryGrossDemand_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"industryGrossDemand_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"industryGrossDemand_km3";"Korea, Republic of";"EAP";"KOR";2.58449;2.58449;2.59157;2.28751;2.37694;2.59062;2.51521;2.45815;2.6115;2.76271;2.94524;3.14613;3.30892;3.6348;3.75541;4.05289;4.421;4.54513;4.9512;5.3253;5.83334;6.22859;6.17199;6.36033;6.43229;6.62594;6.81035;6.893;7.28194;7.79415;8.48319;8.9575;9.30751;9.74926;9.96268;10.2785;10.7593;11.3786;11.5564;11.2952;10.0654;10.8323;11.4113;11.194;11.5852;11.9563;12.3619;12.9042;13.3117;13.6844;13.2918;12.9168;13.6499;13.6499;13.6873;13.6499;13.6499;13.6499;7.94933396551724;4.08842010528965;0.987758723427399;0.990507305879667;0.942038633372965;0;5.85864145327102e-50;0;0.239142634655016;0.975667295706921;0.975667295706921;2.485;0.143032294255528;2.587638;0.115370544204316;3.3581;0.336237066294006;4.659104;0.491506913715362;6.205308;0.232144880667225;7.081076;0.464928705104342;9.292028;0.596909287974312;11.0536;0.525403630554644;11.01764;0.601935904395144;12.8437;0.698045618136809;13.43914;0.333530767696175;13.6499;0
"105";"industryGrossDemand_km3";"Kuwait";"MENA";"KWT";0.0138548;0.0138548;0.0138928;0.0141173;0.0169731;0.0167;0.0169484;0.0168587;0.0170587;0.016815;0.0170536;0.0169739;0.0170108;0.0163148;0.0171107;0.0179094;0.0222994;0.0225552;0.0233485;0.0241193;0.0249868;0.0281067;0.0292134;0.0266063;0.0265592;0.0263421;0.0268691;0.0268243;0.0254951;0.0263064;0.0258358;0.026701;0.0211996;0.0194966;0.0210325;0.0220414;0.0227159;0.0250306;0.0258768;0.0220329;0.0213159;0.0231902;0.0249916;0.0234336;0.0236152;0.0229952;0.026085;0.0278587;0.030098;0.031274;0.0341926;0.0310924;0.0320146;0.0320146;0.0321023;0.0320146;0.0320146;0.0320146;0.0235061965517241;0.00561957502045432;0.834743496772916;0.793882836026574;0.625193165189532;4.44089209850063e-16;1.05509249864741e-13;4.7795101210113e-12;0.000277783942908116;0.696796705404678;0.696796705404678;0.01453856;0.00136533022122855;0.01687616;0.000135662459803735;0.01689276;0.000327078833005133;0.02204636;0.00242022903110429;0.02709448;0.00161876269632087;0.0263674;0.000553563203256864;0.0228531;0.00320224813841776;0.02353952;0.00179435326984404;0.0233093;0.00131595848718719;0.02766218;0.00328957755524931;0.0322833;0.00114464292248718;0.0320146;0
"106";"industryGrossDemand_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0504627;0.0504627;0.050601;0.0506858;0.051471;0.0534722;0.0514903;0.0534725;0.0544828;0.0538485;0.0541956;0.0555398;0.0558702;0.0569193;0.0578578;0.0609444;0.0641568;0.0660092;0.0668203;0.0695933;0.0722715;0.0739707;0.0749273;0.0744378;0.0743319;0.0734686;0.0794353;0.0852753;0.0787605;0.0690919;0.059037;0.0611837;0.0642503;0.0671523;0.068603;0.0714919;0.0743717;0.0770452;0.0780874;0.0757462;0.0687444;0.0709161;0.0672855;0.064124;0.064761;0.0675448;0.0705977;0.0722101;0.0770003;0.0813436;0.0868269;0.0881308;0.0933589;0.0933589;0.0936147;0.0933589;0.0933589;0.0933589;0.0693308637931035;0.0128449690759866;0.837090117889182;0.809883575357342;0.676179792253533;2.22044604925031e-16;1.3816764067656e-14;7.68274333040608e-14;0.000636730859146693;0.700719865467726;0.700719865467726;0.05073664;0.00042141243811734;0.05335326;0.0011202798904738;0.05607654;0.00139209670210083;0.0655048;0.00321384287185917;0.07398784;0.00101852137336435;0.07720632;0.00617062857997465;0.06404526;0.00399186443695173;0.07534848;0.00256739319096238;0.0671662;0.00281099028902627;0.0737393;0.0054552596853862;0.09105804;0.0033013521302642;0.0933589;0
