"FID";"industryNettoDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"industryNettoDemand_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"industryNettoDemand_km3";"Andorra";"Other";"AND";0.00121214;0.00121214;0.00121546;0.00124494;0.000787561;0.000816159;0.000841052;0.000862319;0.000885257;0.000907011;0.000926381;0.000954936;0.00097234;0.00100581;0.0010712;0.00116203;0.00119511;0.00127306;0.00128673;0.0013248;0.00141085;0.00150201;0.00155707;0.00149471;0.00147047;0.00144351;0.00231233;0.00234293;0.00159381;0.00169126;0.00174121;0.001754;0.00187278;0.00188174;0.00193389;0.00188617;0.00190998;0.00199223;0.00199702;0.00312908;0.00195892;0.00315822;0.00306944;0.00307917;0.00315263;0.00208779;0.00217436;0.00201987;0.0020503;0.00213208;0.00218772;0.00213174;0.00211196;0.00211196;0.00211774;0.00211196;0.00211196;0.00211196;0.00172333217241379;0.000630602204134232;0.798411277173764;0.873640367459941;0.728380386628581;6.03961325396085e-14;3.65199001152626e-19;8.88178419700125e-16;2.9814859515826e-05;0.637460567518237;0.637460567518237;0.0011344482;0.000194405575218922;0.0008623596;3.5730062115815e-05;0.0009861334;5.55818764958507e-05;0.001248346;6.74793503969917e-05;0.001487022;5.30721444827699e-05;0.001876768;0.000421073689655386;0.001836724;8.47553705083047e-05;0.002182896;0.000531200770641384;0.002883676;0.000518558214986514;0.00209288;6.19375794651358e-05;0.002132224;3.20588752142056e-05;0.00211196;0
"10";"industryNettoDemand_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"industryNettoDemand_km3";"Kyrgyz Republic";"ECA";"KGZ";0.291497;0.291497;0.292295;0.28751;0.285529;0.290486;0.312508;0.319715;0.317823;0.317485;0.319466;0.327984;0.336456;0.341834;0.336909;0.357626;0.38001;0.389559;0.396655;0.411416;0.414952;0.433142;0.451533;0.455085;0.457401;0.459191;0.461208;0.469174;0.470645;0.463865;0.469998;0.476229;0.584792;0.576292;0.553381;0.53518;0.510493;0.506719;0.514189;0.510672;0.507518;0.509617;0.510319;0.480218;0.478138;0.499126;0.524021;0.545826;0.575261;0.624482;0.674962;0.669391;0.682584;0.682584;0.684454;0.682584;0.682584;0.682584;0.466804379310345;0.123508233835733;0.954278710535535;0.96262909466106;0.863130758154869;0;1.8718431959747e-33;0;0.00697945910363278;0.910647857381362;0.910647857381362;0.2896656;0.00297404888998149;0.3116034;0.012102040955971;0.3325298;0.00883866144843211;0.3870532;0.0200473588459927;0.4424226;0.0180862629445665;0.4648166;0.00496316666051019;0.5321384;0.0551372840308624;0.5154506;0.0113412357483653;0.497162;0.0164658139944553;0.5537432;0.0484668012839717;0.678795;0.00640047709159248;0.682584;0
"101";"industryNettoDemand_km3";"Cambodia";"EAP";"KHM";0.0192775;0.0192775;0.0193303;0.0194598;0.0196456;0.0201766;0.020765;0.0210919;0.0203347;0.0206836;0.0209328;0.0210339;0.0206591;0.0202105;0.0190202;0.020067;0.020441;0.0229087;0.0223241;0.0231254;0.0239872;0.0246091;0.0255159;0.0256488;0.0257244;0.0254585;0.0254105;0.025232;0.0280277;0.0301618;0.0277995;0.0211103;0.0212186;0.022769;0.0225568;0.0227602;0.0246794;0.0271258;0.0281601;0.0285253;0.0282693;0.0287734;0.0293215;0.0297921;0.0304514;0.0314843;0.0328432;0.034424;0.0359717;0.0377844;0.0404804;0.0410694;0.0420544;0.0420544;0.0421696;0.0420544;0.0420544;0.0420544;0.0270750482758621;0.0073894393954265;0.89435061276429;0.93148919427118;0.81093016377982;0;2.89622765191096e-26;0;0.000391354129625638;0.799863018551857;0.799863018551857;0.01939814;0.000157121523032333;0.02061036;0.000362386041397844;0.0203713;0.000819828899832154;0.02177324;0.00142365473096534;0.02509708;0.000765391015756;0.0268581;0.00217836090788464;0.02309084;0.00273806866294474;0.02625016;0.00246160445705641;0.02932154;0.000852302295550117;0.03450152;0.00248989866400221;0.04156564;0.000752751677513906;0.0420544;0
"102";"industryNettoDemand_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"industryNettoDemand_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"industryNettoDemand_km3";"Korea, Republic of";"EAP";"KOR";1.46313;1.46313;1.46714;1.27934;1.32941;1.45337;1.40293;1.36522;1.45199;1.53671;1.63948;1.10445;1.16152;1.27554;1.31784;1.42216;1.55121;1.59476;1.73696;1.86806;1.9123;2.18442;2.16481;2.09029;2.25599;2.18312;2.2451;2.27129;2.38934;2.55875;2.78943;2.95522;3.07593;3.22304;3.29277;3.39503;3.55734;3.76806;3.83858;3.75251;3.32828;3.58918;3.78786;3.72014;3.85993;3.98559;4.12234;4.31297;4.45849;4.58901;4.44553;4.31244;4.56352;4.56352;4.57602;4.56352;4.56352;4.56352;2.77056982758621;1.21560239518259;0.971579125043273;0.962567553355941;0.863130758154869;0;1.95849991955642e-33;0;0.0699391488510866;0.943965996219847;0.943965996219847;1.40043;0.0894698728623217;1.442044;0.0644606172790798;1.299766;0.208314345833406;1.63463;0.172230229634638;2.121562;0.131016151179921;2.32952;0.148387376990093;3.067278;0.203063910062817;3.662304;0.182241264893547;3.657078;0.209133895196355;4.29368;0.244454030852428;4.492206;0.113677860113568;4.56352;0
"105";"industryNettoDemand_km3";"Kuwait";"MENA";"KWT";0.00395985;0.00395985;0.0039707;0.00403719;0.00462245;0.00456209;0.0046633;0.00466853;0.00472732;0.0046688;0.00475293;0.00474015;0.00476772;0.00454001;0.00479115;0.00502301;0.00621927;0.00637678;0.00663822;0.0068948;0.00717524;0.00804318;0.00838208;0.00756812;0.0076443;0.00760542;0.00779265;0.00780059;0.00892328;0.00920723;0.00904253;0.00934535;0.00741986;0.0068238;0.00736136;0.0077145;0.00795057;0.0087607;0.00905688;0.0100678;0.00981918;0.0108578;0.0117747;0.0109447;0.0109912;0.0104175;0.012075;0.0104889;0.0114659;0.0120113;0.0133001;0.0121411;0.0126944;0.0126944;0.0127292;0.0126944;0.0126944;0.0126944;0.00818548517241379;0.00294433322491965;0.965945036169147;0.963121425102006;0.867986627399059;0;1.29969057019259e-33;0;0.000168418577624656;0.933049812899813;0.933049812899813;0.004110008;0.000288271067434802;0.004658008;5.9706785795251e-05;0.004718392;0.000101505418673094;0.006230416;0.000722337543071105;0.007762584;0.000463489410752824;0.008265834;0.000740770443612595;0.00799858;0.0011207916009009;0.00871009;0.000939982872024804;0.010877516;0.000696929099894674;0.01129172;0.000801629928333517;0.01271184;0.000410092566379836;0.0126944;0
"106";"industryNettoDemand_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0302776;0.0302776;0.0303606;0.0304115;0.0308826;0.0320833;0.0308942;0.0320835;0.0326897;0.0323091;0.0325174;0.0333239;0.0335221;0.0341516;0.0347147;0.0365666;0.0384941;0.0396055;0.0400922;0.041756;0.0433629;0.0443824;0.0449564;0.0446627;0.0445991;0.0423827;0.0459461;0.0511652;0.0455382;0.0396559;0.033515;0.0347081;0.0364413;0.0380911;0.0388744;0.0405229;0.042143;0.0436253;0.0441859;0.0429339;0.0389661;0.0402104;0.0380361;0.0361844;0.036503;0.0380904;0.039832;0.040734;0.0434834;0.0459449;0.0491532;0.0499724;0.0529449;0.0529449;0.05309;0.0529449;0.0529449;0.0529449;0.0402350189655172;0.00688088511234442;0.76487078869361;0.743665131050009;0.608197622834865;2.76489942052649e-12;2.27117366368075e-11;1.76711978383537e-11;0.000311661389153771;0.585027323396787;0.585027323396787;0.03044198;0.000252853360665821;0.03201196;0.000672164130253914;0.03364594;0.000835252747975126;0.03930288;0.00192832543856062;0.0443927;0.000611116351442177;0.04493762;0.00431812063483641;0.03632598;0.00224402183968873;0.0426822;0.00142891718794337;0.03798;0.00168492825811665;0.04161694;0.00310712845373344;0.05162108;0.00190205823964462;0.0529449;0
"107";"industryNettoDemand_km3";"Lebanon";"MENA";"LBN";0.0125499;0.0125499;0.0125843;0.0125529;0.0127126;0.0128609;0.0132303;0.0135;0.0134008;0.0135129;0.0136706;0.0141605;0.0143511;0.013364;0.0137921;0.0146419;0.015903;0.0166147;0.0169178;0.0172448;0.0178601;0.0186143;0.019573;0.020087;0.0198943;0.0198441;0.0197785;0.0198622;0.0196479;0.0194641;0.0208823;0.0224897;0.0308776;0.022284;0.0264511;0.0283071;0.030136;0.0316466;0.0331285;0.0342677;0.0350463;0.0350579;0.0352117;0.0354642;0.03601;0.0362325;0.0370708;0.0373075;0.0377465;0.039094;0.0415674;0.0431051;0.0443627;0.0443627;0.0444842;0.0443627;0.0443627;0.0443627;0.0253521155172414;0.0112727836096861;0.968435393538917;0.992968958084401;0.950536404550299;0;1.35341662741777e-53;0;0.000646476055861447;0.937867111458872;0.937867111458872;0.01258992;7.00993009950882e-05;0.01330098;0.000270716248127075;0.01386766;0.000392964645992486;0.01626444;0.00103367572429655;0.01920574;0.000941562830086235;0.01971936;0.000165623875090519;0.02459694;0.00407655803135439;0.03149718;0.00236583673084175;0.03535802;0.000401560402679347;0.03749026;0.00105225342147222;0.04357642;0.00125686523820177;0.0443627;0
"108";"industryNettoDemand_km3";"Liberia";"AFR";"LBR";0.000147648;0.000147648;0.000148052;0.000101968;0.000102101;0.000104987;0.000132338;0.000130918;0.000132881;0.000134152;0.000138754;0.000141206;0.0001432;0.000153724;0.00013217;0.00014302;0.000153141;0.000161471;0.000168883;0.000180138;0.000188557;0.000195985;0.00020317;0.00019304;0.000190538;0.000274161;0.000274287;0.000277961;0.000189683;0.00019286;0.000194916;0.000279054;0.000283742;0.000280992;0.000283149;0.000279006;0.00025982;0.000276172;0.000281232;0.000276964;0.000280234;0.000276833;0.000261282;0.000251662;0.000256595;0.00026794;0.000276909;0.000274935;0.000276851;0.000292322;0.000300121;0.000299489;0.00029848;0.00029848;0.000299298;0.00029848;0.00029848;0.00029848;0.000220354482758621;6.74475245160399e-05;0.91953601999193;0.902380156950206;0.735664190494867;0;3.94654878056354e-22;4.44089209850063e-16;3.6726993755575e-06;0.845546492062594;0.845546492062594;0.0001294834;2.50578897714871e-05;0.0001270552;1.23909156925548e-05;0.0001418108;7.85030325528893e-06;0.0001613306;1.42576678773213e-05;0.000194258;5.70590917383023e-06;0.0002417904;4.61561540837189e-05;0.0002643706;3.887059968408e-05;0.0002746388;8.51317820793151e-06;0.0002653212;1.25891678716268e-05;0.0002777914;8.91642334683589e-06;0.0002991736;7.02616751864051e-07;0.00029848;0
"109";"industryNettoDemand_km3";"Libya";"MENA";"LBY";0.0173303;0.0173303;0.0173778;0.0175377;0.0178224;0.0181043;0.0184884;0.0188544;0.0191959;0.0194337;0.0197468;0.020201;0.0205874;0.0184368;0.0193343;0.0207584;0.0216579;0.0224994;0.022911;0.023874;0.025104;0.0262585;0.0272421;0.0273109;0.0270905;0.0271076;0.0272817;0.0275888;0.028867;0.0300972;0.0309425;0.0313241;0.0371327;0.0382595;0.038646;0.0373726;0.036487;0.0350822;0.0357623;0.0366462;0.035302;0.0362957;0.0388382;0.0352084;0.0314565;0.0331515;0.0364047;0.0395678;0.0424782;0.0454028;0.0488366;0.0431712;0.0431719;0.0431719;0.0432902;0.0431719;0.0431719;0.0431719;0.0301439465517241;0.00937417163979604;0.963734647919426;0.964967664255556;0.866772660088012;0;3.16175910591862e-34;0;0.000534984247439166;0.928784471600377;0.928784471600377;0.0174797;0.000209661405604369;0.01881534;0.000534132083851925;0.01966126;0.000831050057457431;0.02234014;0.00119072711315398;0.0266012;0.000937135598512829;0.02818846;0.00127021347339729;0.03526096;0.00381120427135571;0.03627006;0.000876494482583889;0.03542016;0.0026560766372603;0.039401;0.00483613092409624;0.04432836;0.00252070539789956;0.0431719;0
