"FID";"industry_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"industry_water_withdrawal_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"industry_water_withdrawal_km3";"Andorra";"Other";"AND";0.0032236;0.00317211;0.0031609;0.00317332;0.00320384;0.00340367;0.00348158;0.00356556;0.00373044;0.0037103;0.00382604;0.0040218;0.00403726;0.00416369;0.00447529;0.00469122;0.0046903;0.00478238;0.00440603;0.00493283;0.0055914;0.00575591;0.00605994;0.00583622;0.00571743;0.00557847;0.00543402;0.00525966;0.00543155;0.00619514;0.00676791;0.00605342;0.00527093;0.00530211;0.00626357;0.00685071;0.00700032;0.00677517;0.00655685;0.00639871;0.00617499;0.00619135;0.00647126;0.00677152;0.00706321;0.00640927;0.00627384;0.00575381;0.00564587;0.00681788;0.00747706;0.00715636;0.00660006;0.00605609;0.00533821;0.00628262;0.00730395;0.0068009;0.00542310086206897;0.00127407932850502;0.882332070628244;0.86096157987019;0.70356926799758;0;0;6.21724893790088e-15;6.65700916669226e-05;0.778509882859125;0.778509882859125;0.003186754;2.6042789405131e-05;0.00357831;0.000141935973241458;0.004104816;0.000239733529215252;0.004700552;0.000192083503378088;0.00579218;0.000173817880984667;0.005579768;0.000362065108053786;0.005931588;0.000643661618725243;0.006716352;0.000239001455267536;0.006534466;0.000382985443235118;0.006180134;0.000483527211261166;0.006525556;0.000857177525854475;0.00679582333333333;0.000510683925371979
"10";"industry_water_withdrawal_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"industry_water_withdrawal_km3";"Kyrgyz Republic";"ECA";"KGZ";0.345711;0.342225;0.344089;0.336354;0.338154;0.34567;0.351996;0.361587;0.365657;0.363063;0.3641;0.376446;0.386795;0.390243;0.403154;0.42485;0.450415;0.458593;0.474533;0.490492;0.498047;0.525313;0.546492;0.554178;0.558175;0.563631;0.563082;0.574496;0.577444;0.568598;0.574373;0.57944;0.625534;0.611159;0.590016;0.569076;0.537904;0.534366;0.542246;0.535517;0.531212;0.504381;0.509966;0.513813;0.517793;0.544353;0.57383;0.596356;0.632275;0.684454;0.73886;0.728966;0.742891;0.740768;0.73321;0.734947;0.734137;0.739947;0.524920224137931;0.124275362598481;0.911451452363321;0.86969762219693;0.733817301875378;0;0;4.44089209850063e-16;0.00670763157894731;0.830743750015206;0.830743750015206;0.3413066;0.00395129982410851;0.3575946;0.00843186452097045;0.3841476;0.0147192626955293;0.4597766;0.0248500250965668;0.536441;0.0249295113570242;0.5694502;0.00641296033045581;0.5961044;0.0216781394796694;0.5438218;0.0144365852679919;0.515433;0.0101144158753731;0.6062536;0.0542525400815483;0.736939;0.00572826230195509;0.736343666666667;0.00314674964579855
"101";"industry_water_withdrawal_km3";"Cambodia";"EAP";"KHM";0.0251121;0.0251121;0.0251844;0.0253407;0.0255806;0.0262679;0.0270364;0.0274571;0.0265044;0.0269543;0.0272951;0.0274026;0.0268855;0.026368;0.024788;0.0261649;0.026635;0.029937;0.0291864;0.0302191;0.0313537;0.0321673;0.0333519;0.0335096;0.0336076;0.0336871;0.0336469;0.032986;0.0369673;0.0397305;0.0367829;0.0282918;0.0284781;0.030491;0.0302504;0.0304586;0.0329582;0.0362039;0.037566;0.0379452;0.0375018;0.0381852;0.0389014;0.0394791;0.0403577;0.0417228;0.0435336;0.0455894;0.0476449;0.0500525;0.0535822;0.0542955;0.0556355;0.0556355;0.055801;0.0556355;0.0556355;0.0556355;0.0357015551724138;0.00989814924595241;0.90402245758266;0.938197196529079;0.824283804201345;0;1.76999367741477e-27;0;0.000529887698791098;0.817256603813788;0.817256603813788;0.02526598;0.000199111920788285;0.02684402;0.000466983626051278;0.02654784;0.00106447236835908;0.02842848;0.00189715314537335;0.03279802;0.000994034318824054;0.03540356;0.00287421198731061;0.03085884;0.00345895973133542;0.03502638;0.00322093604127744;0.03888504;0.00110962058064908;0.04570864;0.00328824269831167;0.05498994;0.000994395868354248;0.0556355;0
"102";"industry_water_withdrawal_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"industry_water_withdrawal_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"industry_water_withdrawal_km3";"Korea, Republic of";"EAP";"KOR";2.505;2.50503;2.51045;2.21883;2.3046;2.51673;2.43846;2.38535;2.53329;2.67436;2.85307;3.05085;3.21216;3.53;3.65251;3.92732;4.29846;4.41437;4.80789;5.16486;5.66284;6.05638;6.00652;6.18343;6.25618;6.44337;6.62606;6.70408;7.0843;7.58215;8.25459;8.71064;9.04984;9.47906;9.6905;9.99425;10.4612;11.0622;11.2371;10.9788;9.78683;10.531;11.0967;10.8802;11.2584;11.6187;12.0173;12.5376;12.9317;13.2927;12.919;12.5516;13.2625;13.2625;13.302;13.2625;13.2625;13.2625;7.72522948275862;3.97520572392654;0.987745869890847;0.990707453282016;0.943572303984582;0;3.23446434261735e-50;0;0.232517396720906;0.975641903486422;0.975641903486422;2.408782;0.137653200725592;2.509638;0.109837226703882;3.259718;0.331129927475606;4.52258;0.477021760667163;6.03307;0.229512915322864;6.887992;0.452910829821942;9.036926;0.579076935631182;10.74671;0.51029258078087;10.710626;0.583851303740944;12.4796;0.675233315232594;13.05952;0.323622815944735;13.2625;0
"105";"industry_water_withdrawal_km3";"Kuwait";"MENA";"KWT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";"industry_water_withdrawal_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0485759;0.0485759;0.0487158;0.0487805;0.0495364;0.0514582;0.0495759;0.0514639;0.0524402;0.0518325;0.0521858;0.0534589;0.0537765;0.0547982;0.0557192;0.0586693;0.061758;0.0635356;0.0643351;0.0669633;0.0695324;0.0711535;0.0720803;0.0715852;0.0714828;0.0706593;0.0764102;0.0819705;0.0757254;0.0664657;0.0568622;0.0589168;0.0618655;0.0646539;0.0660761;0.0688231;0.0715894;0.0741662;0.0752004;0.0728958;0.0661298;0.0681561;0.0646647;0.0616003;0.0622113;0.0648876;0.0678422;0.0693641;0.0739578;0.0781272;0.0833972;0.0846045;0.0896233;0.0896233;0.08989;0.0896233;0.0896233;0.0896233;0.0666761913793103;0.0122964116984873;0.836291809661909;0.810683612323881;0.677393759564581;2.22044604925031e-16;1.24191886992134e-14;6.92779167366098e-14;0.000608957325663657;0.699383990907591;0.699383990907591;0.0488369;0.000401057483411046;0.05135414;0.00107160718689266;0.05398772;0.00134406854252304;0.06305226;0.00308467896271233;0.07116684;0.000972218732076278;0.07424622;0.00591476480910273;0.0616749;0.00384221705854836;0.07253498;0.0024782911556151;0.06455244;0.00272410991665168;0.07083578;0.00523020131180435;0.08742766;0.00315909909990174;0.0896233;0
