"FID";"irrigation_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"irrigation_water_withdrawal_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"irrigation_water_withdrawal_km3";"Andorra";"Other";"AND";1.66779e-11;5.62359e-12;0;1.91148e-11;4.7759e-10;1.84516e-11;1.05078e-10;2.48564e-11;2.58996e-13;1.88601e-11;9.70962e-11;1.41766e-09;1.18784e-11;3.77408e-11;4.62878e-12;2.40112e-11;2.98888e-11;1.63183e-10;5.75626e-11;1.68359e-11;2.92352e-11;1.62748e-11;9.24644e-12;3.11879e-11;4.19137e-10;1.25347e-10;1.01118e-11;5.39178e-13;4.77689e-11;0;8.56042e-09;1.08246e-08;9.68145e-09;8.92548e-09;0;3.25657e-09;1.4792e-08;4.053e-09;5.56981e-09;9.23856e-09;1.30435e-08;1.37866e-08;1.09928e-08;2.05349e-09;4.86904e-09;1.42451e-08;1.143e-08;1.43515e-08;1.46066e-08;8.41807e-09;1.13831e-08;1.64924e-08;1.00854e-08;1.55103e-08;9.38759e-09;8.18942e-09;1.28175e-09;6.64576e-09;4.56741647041379e-09;5.61353577165212e-09;0.745461601943235;0.731627035561987;0.501362604618668;1.9154233754648e-11;6.8666204413567e-11;2.7813576108926e-08;2.47806328454887e-10;0.555712999971771;0.555712999971771;1.03801258e-10;2.09101563229466e-10;3.35010192e-11;4.1060526242561e-11;3.13800836e-10;6.18146344779785e-10;5.82963e-11;6.06283288962346e-11;1.01016268e-10;1.78067501638371e-10;3.67533756e-11;5.32499397614502e-11;7.59839e-09;4.33502508956984e-09;7.381988e-09;4.73656946834626e-09;8.949086e-09;5.20909191161761e-09;1.2610254e-08;2.67663326878749e-09;1.2571758e-08;3.23033560854287e-09;5.37231e-09;3.62563544555985e-09
"10";"irrigation_water_withdrawal_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"irrigation_water_withdrawal_km3";"Kyrgyz Republic";"ECA";"KGZ";0.595035;0.673375;0.571737;0.627856;0.55312;0.534511;0.867458;0.985498;0.952374;0.737324;0.826033;0.749267;0.941014;1.15229;0.853914;1.1116;1.16701;1.5167;1.21356;1.36999;1.31299;1.7548;1.79038;1.20275;2.11576;1.77957;2.37346;2.02709;2.11212;1.45294;1.89046;2.1753;2.19545;2.03525;1.70288;1.72067;2.36352;2.34012;2.12032;2.39779;1.80431;1.79635;2.27426;2.26098;1.67338;1.60296;2.07466;2.01637;2.20792;2.20106;2.53257;2.04523;1.76841;2.51672;2.83237;2.55208;2.67806;2.34382;1.65594475862069;0.649122279912242;0.882681230536598;0.857762465778708;0.68421052631579;0;0;3.28626015289046e-14;0.033929778768956;0.779126154741604;0.779126154741604;0.6042246;0.0476754494713998;0.815433;0.183983510331769;0.9045036;0.154552947242361;1.275772;0.165510788077394;1.635336;0.374217550403505;1.949036;0.349161322356873;1.999868;0.206429512110066;2.188484;0.283256221873413;1.961856;0.283946653141043;2.020594;0.24749653528888;2.33906;0.425541256284276;2.52465333333333;0.168799469588424
"101";"irrigation_water_withdrawal_km3";"Cambodia";"EAP";"KHM";3.32554;3.27811;3.10364;3.09761;3.44837;3.37401;3.48896;5.22759;4.90751;5.29002;5.48455;4.47396;4.44991;4.76216;4.53944;4.65901;4.65377;4.61335;4.96396;5.34937;5.78013;5.9864;6.18479;6.59099;6.76992;6.89908;8.27505;9.29234;10.4284;11.0747;11.1629;12.0288;12.6672;13.0258;14.0047;14.2871;13.9067;14.3969;13.9397;14.3633;14.5295;14.0068;13.6987;14.6623;15.3385;15.2745;15.5105;14.9819;14.2357;14.4996;14.5825;14.8557;15.413;15.0658;15.2031;15.0809;15.2628;15.7845;9.75072482758621;4.77397015753733;0.954178424753269;0.966163216340091;0.864488808227465;0;0;0;0.269749043034234;0.910456466264628;0.910456466264628;3.250654;0.150406901204699;4.457618;0.948769914241593;4.742004;0.433006781505786;4.847892;0.31357681502305;6.262446;0.4124110791795;9.193914;1.67194299226379;12.57788;1.06631174475385;14.17874;0.236930344194238;14.44716;0.632783808263138;14.90044;0.529452970527128;15.02402;0.319527850116387;15.3760666666667;0.365219445447984
"102";"irrigation_water_withdrawal_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"irrigation_water_withdrawal_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"irrigation_water_withdrawal_km3";"Korea, Republic of";"EAP";"KOR";5.42734;5.74825;5.36214;5.3757;5.5792;6.06808;6.09911;5.40378;7.03297;7.23517;6.16406;8.33208;9.06491;10.6501;11.1787;10.5282;10.7505;11.5117;10.8143;9.51654;8.6435;10.7082;11.6489;11.4911;13.9848;12.9875;13.2993;14.465;15.6015;13.6975;14.3392;12.8137;13.7818;13.5098;13.0634;12.4448;13.9197;11.2176;11.9333;12.4553;12.4725;13.9105;13.5992;13.4779;12.3306;11.9933;14.2745;12.8034;11.8855;11.6046;11.7668;10.6622;10.7057;11.7522;11.2566;12.4917;10.3927;11.6901;10.9123918965517;2.82514790858347;0.681780550895053;0.587437325048448;0.399879007864489;3.81863718423858e-09;2.0590438370296e-06;9.2509771094651e-06;0.114060801316558;0.464824719578767;0.464824719578767;5.498526;0.164031387484225;6.367822;0.755999801302884;9.07797;1.99574880769099;10.624248;0.720394443010216;11.2953;1.92181623080876;14.01016;1.04739607026187;13.50158;0.601119515570739;12.39414;0.991244189390284;13.15814;0.710237743998445;12.51226;1.08123153995802;11.2287;0.538245650237882;11.5248333333333;1.05921435664993
"105";"irrigation_water_withdrawal_km3";"Kuwait";"MENA";"KWT";0.00280713;0.00309614;0.00296983;0.00265106;0.00311456;0.00441489;0.00341172;0.00340465;0.00378489;0.00388381;0.00398391;0.004558;0.00324584;0.00346827;0.00384211;0.00360708;0.00322915;0.00299068;0.003337;0.00372676;0.00357566;0.00420584;0.00420456;0.00473091;0.00470023;0.00458254;0.00557049;0.0061867;0.00572026;0.00702051;0.00971121;0.00875862;0.0106117;0.00991522;0.0109308;0.0104834;0.0135896;0.01315;0.0134404;0.015094;0.0171767;0.016141;0.0164866;0.0182187;0.0185107;0.0211115;0.0204912;0.0193763;0.0204741;0.0208124;0.0216883;0.0244063;0.026155;0.0279038;0.0275358;0.0282799;0.0257324;0.0285331;0.010943860862069;0.00848182305736819;0.932917853161463;0.962841059398936;0.868118572292801;0;0;0;0.000468579444153921;0.870335720747387;0.870335720747387;0.002927744;0.000197566719692361;0.003779992;0.000415452620908811;0.003819626;0.000506303352576299;0.003378134;0.00029494287545218;0.00428344;0.000470940454781706;0.0058161;0.000891505420538765;0.00998551;0.000847220063855903;0.01315148;0.00167088755815584;0.01730674;0.00104039421518961;0.0204531;0.000656501694590349;0.02553784;0.00255293156645453;0.0275151333333333;0.00154907429238669
"106";"irrigation_water_withdrawal_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.735988;0.739726;0.729288;0.707571;0.763085;0.791598;0.780988;0.813419;0.854536;0.884866;0.936857;0.917005;0.938262;1.07232;1.24756;1.53047;1.59618;1.71349;2.11579;2.7179;2.89487;3.4289;3.87301;4.11253;4.22072;4.35604;4.30189;4.57192;4.4608;4.63037;4.7343;4.90153;4.93863;5.46171;5.41989;5.76644;5.45172;6.05653;5.806;6.14604;7.04686;7.96585;10.0803;10.296;10.1308;10.4702;10.3593;10.0061;10.166;10.3571;10.5156;10.9734;10.6773;10.0362;10.7191;10.7238;10.697;10.4893;5.16949912068965;3.75339289098488;0.970454206305782;0.990587222000062;0.94313369630974;0;0;0;0.215699776092772;0.94178136653658;0.94178136653658;0.7351316;0.0199810462513854;0.8250814;0.0437125537780624;1.0224008;0.140262206166522;1.934766;0.49323608792342;3.706006;0.546079652184551;4.464204;0.13898808305031;5.091212;0.328612499488379;5.845346;0.272823778252556;9.103962;1.4962916096871;10.27174;0.184448510430418;10.58432;0.34761765921771;10.6367;0.128353535206476
