"FID";"livestockNettoDemand_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"livestockNettoDemand_km3";"Aruba (Neth.)";"Other";"ABW";3.42777e-06;3.42777e-06;3.43716e-06;3.43852e-06;3.44877e-06;3.55667e-06;3.6775e-06;3.78325e-06;3.90166e-06;4.02388e-06;4.161e-06;4.28127e-06;4.38125e-06;4.48473e-06;4.53171e-06;4.61406e-06;4.67579e-06;4.80612e-06;4.98668e-06;5.04827e-06;5.24578e-06;5.42092e-06;5.58964e-06;5.70824e-06;5.8472e-06;5.9857e-06;6.14039e-06;6.26793e-06;6.52569e-06;6.69054e-06;6.82329e-06;6.9179e-06;7.02127e-06;7.19017e-06;7.24306e-06;7.05688e-06;7.30707e-06;7.38339e-06;7.43842e-06;7.54141e-06;7.69656e-06;7.86685e-06;8.04914e-06;8.19607e-06;8.36374e-06;8.46148e-06;8.61238e-06;8.79362e-06;8.80172e-06;8.9177e-06;9.01471e-06;8.94482e-06;8.94482e-06;8.94482e-06;8.96933e-06;8.94482e-06;8.94482e-06;8.94482e-06;6.35949896551724e-06;1.94258159950148e-06;0.993744936617773;0.996891599842973;0.980558708091829;0;1.69111128652578e-63;0;1.14315420960348e-07;0.987528999053459;0.987528999053459;3.435998e-06;8.74978114011997e-09;3.788592e-06;1.83236595062231e-07;4.367992e-06;1.50809078042405e-07;4.826184e-06;1.89141922983774e-07;5.562356e-06;2.36319258800462e-07;6.32205e-06;2.8561984446113e-07;7.039138e-06;1.77484593894794e-07;7.345434e-06;1.82502639789128e-07;8.034472e-06;2.63167310982956e-07;8.71738e-06;1.79974779899851e-07;8.9637e-06;3.04264695618799e-08;8.94482e-06;0
"1";"livestockNettoDemand_km3";"Andorra";"Other";"AND";2.97355e-05;2.97355e-05;2.9817e-05;3.04773e-05;3.12225e-05;3.0632e-05;3.02793e-05;3.05367e-05;3.05839e-05;3.12405e-05;3.20435e-05;3.20761e-05;3.23216e-05;3.23959e-05;3.23502e-05;3.30774e-05;3.40266e-05;3.44453e-05;3.4575e-05;3.43507e-05;3.4424e-05;3.44627e-05;3.46985e-05;3.48148e-05;3.56237e-05;3.56099e-05;3.59997e-05;3.53631e-05;3.52962e-05;3.36596e-05;3.44551e-05;3.42368e-05;3.41991e-05;3.45396e-05;3.41384e-05;3.33158e-05;3.3405e-05;3.3261e-05;3.31977e-05;3.38408e-05;3.33803e-05;3.35231e-05;3.34053e-05;3.35307e-05;3.30114e-05;3.23965e-05;3.20577e-05;3.18367e-05;3.18864e-05;3.19269e-05;3.14277e-05;3.1018e-05;3.04667e-05;3.04667e-05;3.05501e-05;3.04667e-05;3.04667e-05;3.04667e-05;3.27025568965517e-05;1.77126233300435e-06;0.0337616644002139;-0.0014154500177218;-0.0388469539535243;0.801353610216156;0.991586395937547;0.66757260599424;3.54125626749604e-09;0.00113984998307322;0.00113984998307322;3.019756e-05;6.5203168481294e-07;3.065448e-05;3.54802229418024e-07;3.223746e-05;1.64735099477919e-07;3.4095e-05;6.03879313273769e-07;3.480474e-05;4.85808072184892e-07;3.51857e-05;8.96549477162304e-07;3.43138e-05;1.73782608450903e-07;3.340406e-05;2.55726001806622e-07;3.337016e-05;2.11666076639597e-07;3.202084e-05;2.25435950992738e-07;3.078584e-05;4.25780621916967e-07;3.04667e-05;0
"10";"livestockNettoDemand_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;5.41745e-10;5.55743e-10;5.33172e-10;5.88006e-10;6.12501e-10;6.52066e-10;6.82775e-10;7.02347e-10;7.05965e-10;7.34985e-10;7.56651e-10;7.16498e-10;7.27115e-10;7.36552e-10;7.40019e-10;8.50969e-10;8.55197e-10;8.62635e-10;8.82456e-10;9.05009e-10;9.22098e-10;9.34996e-10;9.07863e-10;9.18421e-10;9.32795e-10;9.42705e-10;9.48604e-10;9.74829e-10;9.8156e-10;9.93357e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.10338517241379e-10;4.1291349353104e-10;-0.568157258050418;-0.480057890797587;-0.172894907775414;3.28802939955271e-06;0.000137066691046166;0.0734469371326017;-1.38924312036663e-11;0.322802669875358;0.322802669875358;2.194976e-10;3.00600210015396e-10;6.13704e-10;5.78569000249754e-11;7.232892e-10;2.25534114980417e-11;7.819704e-10;6.51053140672864e-11;9.014388e-10;2.92904256319364e-11;9.300776e-10;1.68777054660875e-11;5.899492e-10;5.38588305059347e-10;0;0;0;0;0;0;0;0;0;0
"100";"livestockNettoDemand_km3";"Kyrgyz Republic";"ECA";"KGZ";0.021042;0.021042;0.0210996;0.0222934;0.023549;0.0244238;0.0237483;0.0231618;0.024428;0.025436;0.0257878;0.025706;0.0247558;0.0259817;0.0266701;0.0267366;0.0273745;0.028008;0.0279981;0.027684;0.0281231;0.0284664;0.0287947;0.0285424;0.0287391;0.028903;0.0295792;0.0294841;0.0292895;0.0295877;0.0290382;0.0291451;0.0287945;0.0279256;0.00150489;0.00144135;0.00134117;0.00109486;0.000988127;0.000855444;0.000835549;0.000833978;0.000846106;0.000842391;0.000843196;0.000863996;0.000881489;0.000920305;0.000944871;0.000957302;0.000985838;0.00101712;0.00106983;0.00106983;0.00107276;0.00106983;0.00106983;0.00106983;0.0159613619310345;0.0128293227835039;-0.776378575722138;-0.535717061055141;-0.183309063968193;8.02411900034449e-13;1.46762167560568e-05;0.0427015517975524;-0.00058983140840997;0.602763692840329;0.602763692840329;0.0218052;0.00111153019752052;0.02423958;0.000852030763529111;0.02578028;0.000686928487544372;0.02756024;0.000529246901738689;0.02853314;0.000266226375477712;0.0293687;0.00028667819065984;0.023281658;0.0121830104718341;0.0011441902;0.000243551096992397;0.000840244;5.21997935819675e-06;0.0009135926;4.00760843059798e-05;0.0010430756;3.95682810695638e-05;0.00106983;0
"101";"livestockNettoDemand_km3";"Cambodia";"EAP";"KHM";0.000461515;0.000461515;0.00046278;0.000487281;0.000512932;0.000531565;0.000532352;0.000550649;0.000589043;0.000684113;0.000742921;0.000781172;0.000755501;0.000722817;0.000692978;0.000660223;0.000619473;0.000502568;0.000358191;0.000320961;0.000305182;0.000271313;0.000283398;0.000327621;0.000402872;0.000446753;0.00050349;0.000540337;0.000584838;0.000629424;0.000650986;0.000709892;0.000731046;0.000755166;0.000825126;0.000848413;0.000869235;0.00091098;0.000908263;0.000927837;0.000883536;0.000919852;0.000973256;0.000930752;0.000949643;0.000975087;0.00099529;0.00104035;0.0010979;0.00111118;0.00113307;0.00116242;0.00113263;0.00113263;0.00113573;0.00113263;0.00113263;0.00113263;0.000738516172413793;0.00026753981056816;0.81443313682013;0.811729814510892;0.676179792253533;7.54951656745106e-15;1.07944104490839e-14;7.68274333040608e-14;1.29031121227966e-05;0.663301334350673;0.663301334350673;0.0004772046;2.27946108170331e-05;0.0005775444;6.39705109624739e-05;0.0007390778;3.33392356496066e-05;0.0004922832;0.000151508096378378;0.0003180772;5.20506141241388e-05;0.0005409684;7.07645845483459e-05;0.0007344432;6.37028478107533e-05;0.0008929456;3.28733065541025e-05;0.0009314078;3.35762944084067e-05;0.0010439614;6.03186188485777e-05;0.001139296;1.2991053844858e-05;0.00113263;0
"102";"livestockNettoDemand_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"livestockNettoDemand_km3";"Saint Kitts and Nevis";"LCR";"KNA";4.04246e-11;4.04246e-11;4.05353e-11;2.56025e-10;2.63158e-10;2.50269e-10;2.70788e-10;2.80665e-10;3.10586e-10;3.47493e-10;3.41753e-10;3.47096e-10;3.72109e-10;3.85819e-10;3.77259e-10;3.70724e-10;3.65119e-10;3.5812e-10;3.73319e-10;3.92365e-10;3.94809e-10;4.04323e-10;4.1508e-10;4.41771e-10;4.46066e-10;4.36816e-10;4.40943e-10;4.5012e-10;4.59098e-10;4.65329e-10;4.80811e-10;4.85663e-10;4.9352e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.99972422413793e-10;1.97487311841513e-10;-0.588929622612818;-0.578935036814658;-0.230109034387081;1.15688233324396e-06;1.92956879291693e-06;0.0159914045549157;-6.88736688609292e-12;0.346838100390865;0.346838100390865;1.281135e-10;1.2004894449157e-10;2.919602e-10;3.78972692116464e-11;3.648072e-10;1.93328870632402e-11;3.719294e-10;1.28265233130416e-11;4.204098e-10;2.26778213614095e-11;4.504612e-10;1.19640066741874e-11;2.919988e-10;2.66595790328167e-10;0;0;0;0;0;0;0;0;0;0
"104";"livestockNettoDemand_km3";"Korea, Republic of";"EAP";"KOR";0.000327275;0.000327275;0.000328172;0.000389805;0.000452391;0.000472258;0.000462615;0.00047424;0.000476457;0.000512563;0.000494325;0.00050329;0.000543964;0.000535935;0.00056079;0.000589705;0.000672939;0.000647551;0.000633951;0.000669411;0.000748649;0.000776303;0.000720741;0.000704011;0.000789723;0.000939254;0.00102811;0.00111152;0.00111522;0.00105477;0.000987889;0.00100005;0.00106395;0.00111156;0.00118106;0.00125418;0.00131439;0.00139235;0.00144025;0.0014442;0.00136031;0.00130101;0.00126375;0.00122864;0.0012309;0.00123564;0.00130067;0.00133726;0.00143369;0.00148082;0.0015247;0.00165901;0.00177269;0.00177269;0.00177755;0.00177269;0.00177269;0.00177269;0.00100431882758621;0.000451754101807227;0.977757396146772;0.978568292686709;0.900763744797345;0;4.0031700391159e-40;0;2.6156753206804e-05;0.956009525719714;0.956009525719714;0.0003649836;5.58012687920266e-05;0.0004796266;1.91543667945458e-05;0.0005276608;2.80045177730308e-05;0.0006427114;3.36764799942036e-05;0.0007478854;3.6125853883334e-05;0.0010497748;7.21191838916664e-05;0.0010689018;8.01987348790491e-05;0.001369074;8.2829164730788e-05;0.001276922;5.51281867106111e-05;0.001357616;9.93753456849333e-05;0.001701328;0.000110660660218526;0.00177269;0
"105";"livestockNettoDemand_km3";"Kuwait";"MENA";"KWT";4.12533e-06;4.12533e-06;4.13663e-06;4.16932e-06;4.21398e-06;4.50914e-06;4.80584e-06;5.08964e-06;5.44682e-06;6.00249e-06;6.63787e-06;6.98302e-06;7.20267e-06;7.35556e-06;8.17097e-06;8.01883e-06;8.10674e-06;8.33179e-06;8.09342e-06;8.13497e-06;9.49598e-06;1.15297e-05;1.35376e-05;1.60592e-05;1.46936e-05;1.70656e-05;1.94125e-05;2.30946e-05;2.39018e-05;3.13221e-05;2.92689e-05;3.10138e-05;2.5458e-05;1.1613e-05;1.0621e-05;1.88383e-05;2.23762e-05;2.3673e-05;2.96285e-05;2.96564e-05;3.22638e-05;3.53197e-05;3.27905e-05;3.84486e-05;3.77541e-05;3.98752e-05;4.01873e-05;3.81478e-05;4.14632e-05;4.16492e-05;4.23409e-05;4.26739e-05;4.29607e-05;4.29607e-05;4.30784e-05;4.29607e-05;4.29607e-05;4.29607e-05;2.16675213793103e-05;1.46232544358966e-05;0.951491940517534;0.978014420940645;0.915331352529917;0;8.11910994295679e-40;0;8.23947937494224e-07;0.905336912869819;0.905336912869819;4.154118e-06;3.80062096242181e-08;5.170786e-06;5.79972412774952e-07;7.270018e-06;5.71302599127643e-07;8.13715e-06;1.16968142457679e-07;1.3063216e-05;2.59499307788672e-06;2.295932e-05;5.43503739885937e-06;2.159494e-05;9.7800089932474e-06;2.483448e-05;4.73233270142749e-06;3.531534e-05;2.80408634727963e-06;4.026454e-05;1.41352476030666e-06;4.280292e-05;2.98239387070184e-07;4.29607e-05;0
"106";"livestockNettoDemand_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.000178037;0.000178037;0.000178524;0.000185473;0.00019292;0.000205218;0.00022237;0.000235091;0.00025208;0.000273573;0.000271245;0.00026816;0.000263433;0.000255427;0.000248679;0.000242857;0.000241325;0.00023131;0.000226165;0.000237552;0.000249877;0.000255635;0.000276454;0.000287181;0.000296895;0.000307225;0.000321538;0.000330476;0.000342104;0.000358822;0.000368019;0.000374507;0.000384967;0.000400945;0.000425409;0.000434102;0.000448874;0.000456332;0.000464087;0.000468394;0.000434684;0.000408965;0.000432566;0.000442194;0.000456876;0.00047187;0.00048468;0.000484368;0.000502411;0.000513955;0.000536351;0.000535115;0.00053712;0.00053712;0.000538592;0.00053712;0.00053712;0.00053712;0.000358061137931034;0.00012033763197791;0.974781271399772;0.969090931698485;0.876484398576393;0;1.00208844459347e-35;0;6.94639152234759e-06;0.950198527071755;0.950198527071755;0.0001825982;6.57670561147448e-06;0.0002376664;2.64128140738544e-05;0.0002613888;9.27705040408855e-06;0.0002358418;7.006799676029e-06;0.0002732084;2.0124618649803e-05;0.000332033;1.966647973075e-05;0.0003907694;2.30171616582063e-05;0.0004543578;1.35640997194801e-05;0.000435057;1.74222716945868e-05;0.0004914568;1.66281563830751e-05;0.0005368596;1.2687719653271e-06;0.00053712;0
