"FID";"livestock_water_withdrawal_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"livestock_water_withdrawal_km3";"Aruba (Neth.)";"Other";"ABW";3.42619e-06;3.42619e-06;3.43531e-06;3.43616e-06;3.44639e-06;3.55422e-06;3.67552e-06;3.78066e-06;3.89897e-06;4.02111e-06;4.15876e-06;4.27833e-06;4.37824e-06;4.48165e-06;4.52928e-06;4.61089e-06;4.67258e-06;4.80281e-06;4.984e-06;5.04479e-06;5.24219e-06;5.4172e-06;5.58663e-06;5.70433e-06;5.84318e-06;5.98157e-06;6.13708e-06;6.26363e-06;6.52119e-06;6.68593e-06;6.81961e-06;6.91316e-06;7.01644e-06;7.18522e-06;7.23917e-06;7.05203e-06;7.30207e-06;7.37832e-06;7.43441e-06;7.53623e-06;7.69126e-06;7.86143e-06;8.04478e-06;8.19043e-06;8.35798e-06;7.50997e-06;8.60774e-06;8.78757e-06;8.79568e-06;8.91157e-06;8.6636e-06;8.93867e-06;8.49691e-06;8.93867e-06;7.77277e-06;4.45897e-06;1.76706e-06;1.7333e-06;5.9798275862069e-06;1.96877331424552e-06;0.671103152671771;0.736311062240835;0.776634524854054;8.16893663824203e-09;4.4964984103923e-11;0;7.82412199698539e-08;0.450379441525992;0.450379441525992;3.434048e-06;8.39455895208311e-09;3.786096e-06;1.83026774899193e-07;4.365252e-06;1.50679085708668e-07;4.823014e-06;1.89166770152688e-07;5.558706e-06;2.36176778134515e-07;6.31788e-06;2.85277004506147e-07;7.03472e-06;1.77364988512389e-07;7.340612e-06;1.82518092582626e-07;8.029176e-06;2.63003969228604e-07;8.522506e-06;5.76356604134975e-07;8.562124e-06;4.79896801906409e-07;2.65311e-06;1.56401172920794e-06
"1";"livestock_water_withdrawal_km3";"Andorra";"Other";"AND";2.44763e-07;5.85779e-07;5.4387e-07;2.70544e-07;4.52209e-07;6.06756e-07;3.69375e-07;4.41355e-07;3.94013e-07;2.61403e-07;3.97501e-07;4.43641e-07;3.52945e-07;3.58495e-07;6.56321e-07;1.51977e-07;4.28851e-07;3.62719e-07;3.53795e-07;6.27478e-07;3.4624e-07;5.59064e-07;3.21078e-07;4.10711e-07;6.56699e-07;2.99668e-07;5.84384e-07;2.79153e-07;3.59356e-07;4.13814e-07;6.32111e-07;3.88749e-07;3.96026e-07;7.30581e-07;7.46914e-07;8.40851e-07;6.90345e-07;3.61571e-07;8.40243e-07;3.53724e-07;3.2729e-07;5.10754e-07;5.75734e-07;4.1616e-07;7.83904e-07;4.04448e-07;6.3072e-07;3.26716e-07;3.74574e-07;3.59215e-07;3.92852e-07;3.72467e-07;4.36372e-07;2.99142e-07;2.37053e-07;5.94117e-07;4.75012e-07;1.70552e-07;4.51761275862069e-07;1.62745254459371e-07;0.0602972218961673;0.0365129656402842;0.0211736237144586;0.652982281512576;0.785050786525775;0.814379873926153;5.81107201082829e-10;0.00363575496839632;0.00363575496839632;4.19433e-07;1.55649741472641e-07;4.145804e-07;1.26073592043695e-07;4.417806e-07;1.25319573781592e-07;3.84964e-07;1.70651983375524e-07;4.587584e-07;1.44193039056329e-07;3.87275e-07;1.22169043026456e-07;5.788762e-07;1.75831979687143e-07;6.173468e-07;2.44889679825835e-07;5.227684e-07;1.73722953287123e-07;4.191346e-07;1.2155377500843e-07;3.475772e-07;7.92391846733672e-08;4.13227e-07;2.18437329627974e-07
"10";"livestock_water_withdrawal_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;3.26117e-10;3.34506e-10;3.2095e-10;3.53887e-10;3.68743e-10;3.92573e-10;4.11077e-10;4.22687e-10;4.2491e-10;4.42341e-10;4.55329e-10;4.30992e-10;4.3748e-10;4.43125e-10;4.45197e-10;5.12033e-10;5.14718e-10;5.1919e-10;5.31139e-10;5.44576e-10;5.55038e-10;5.62784e-10;5.46483e-10;5.52674e-10;5.61498e-10;5.67473e-10;5.71025e-10;5.8668e-10;5.90887e-10;5.97988e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4696724137931e-10;2.48518994356661e-10;-0.568140919606334;-0.480057890797587;-0.172894907775414;3.29064022722334e-06;0.000137066691046166;0.0734469371326017;-8.36115506475109e-12;0.32278410453112;0.32278410453112;1.321246e-10;1.80943369662444e-10;3.69446e-10;3.48655883214381e-11;4.352518e-10;1.35676420095756e-11;4.705106e-10;3.92433876124373e-11;5.425454e-10;1.76449000507229e-11;5.598306e-10;1.01965244225667e-11;3.55111e-10;3.24195699272831e-10;0;0;0;0;0;0;0;0;0;0
"100";"livestock_water_withdrawal_km3";"Kyrgyz Republic";"ECA";"KGZ";0.012728;0.0122611;0.0122678;0.0128053;0.0141445;0.0149108;0.0141694;0.0141356;0.0161587;0.0159363;0.0155957;0.0164382;0.015733;0.0154887;0.0162382;0.0155003;0.0156866;0.0157436;0.0163095;0.0163602;0.0167657;0.0182107;0.0184023;0.0187062;0.0184198;0.0185278;0.0185926;0.0187884;0.018828;0.0195572;0.0190494;0.0187757;0.0182195;0.0175393;0.000826027;0.00079338;0.000709639;0.000551488;0.000468202;0.000391134;0.000381924;0.000389559;0.00038959;0.000386034;0.000391502;0.000399202;0.000401585;0.000413046;0.000426604;0.00043209;0.000451659;0.000488089;0.000514876;0.000502811;0.000486247;0.000493867;0.000486598;0.000501;0.00980465953448276;0.00805918380811536;-0.754363460658199;-0.540619520748101;-0.206291591046582;8.06075004508054e-12;1.63309104693594e-05;0.0221711333657034;-0.000360016433756801;0.569064230776207;0.569064230776207;0.01284134;0.000771037841483802;0.01506216;0.000954589494494885;0.01589876;0.000416439062769093;0.01592004;0.00038962382242363;0.01810094;0.000767095550110936;0.0188588;0.00041051516415353;0.0148819854;0.00787874750461111;0.0005827686;0.000166794081051457;0.0003877218;3.79534388428769e-06;0.0004145054;1.4653113280119e-05;0.0004887364;2.37840434072931e-05;0.000493821666666667;7.2011070213776e-06
"101";"livestock_water_withdrawal_km3";"Cambodia";"EAP";"KHM";0.000336699;0.000336704;0.000337634;0.000355469;0.00037423;0.000387829;0.000385353;0.00039839;0.000428102;0.000500087;0.000543314;0.00057112;0.000552869;0.00052875;0.000506912;0.00048254;0.000452538;0.000367579;0.000262859;0.000234773;0.000223299;0.000198577;0.000207557;0.000239578;0.000294374;0.00032647;0.000367839;0.000394183;0.000426201;0.000458479;0.000474568;0.000517044;0.000532339;0.000550044;0.000600979;0.000617648;0.000632328;0.000661567;0.000659296;0.000673296;0.000640342;0.000665685;0.000704384;0.000672871;0.000686149;0.000704472;0.000719044;0.000750871;0.000792342;0.000802232;0.000817958;0.000838569;0.00081666;0.000816653;0.000818986;0.00081665;0.000816659;0.000816603;0.000536147362068965;0.000191826000335254;0.811407413612198;0.810637054354179;0.668481548699335;1.13242748511766e-14;0;1.24122934153093e-13;9.21715866375456e-06;0.658381990864835;0.658381990864835;0.0003481472;1.66317219102533e-05;0.0004199522;4.79112160636734e-05;0.000540593;2.4313926852732e-05;0.0003600578;0.000110402596199999;0.000232677;3.78679115280999e-05;0.0003946344;5.10812241317688e-05;0.0005349948;4.62630406555816e-05;0.000648827;2.29944915360179e-05;0.0006738862;2.38432156744848e-05;0.0007537922;4.32462548806252e-05;0.0008217652;9.44436438835349e-06;0.000816637333333333;3.00721354967481e-08
"102";"livestock_water_withdrawal_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"livestock_water_withdrawal_km3";"Saint Kitts and Nevis";"LCR";"KNA";3.94228e-11;3.98009e-11;3.97724e-11;2.47649e-10;2.56347e-10;2.44662e-10;2.64444e-10;2.73379e-10;3.03635e-10;3.39737e-10;3.30547e-10;3.38239e-10;3.59461e-10;3.79829e-10;3.69454e-10;3.64147e-10;3.54126e-10;3.50597e-10;3.67609e-10;3.78535e-10;3.87797e-10;3.95572e-10;4.04069e-10;4.34107e-10;4.38867e-10;4.26517e-10;4.28697e-10;4.35129e-10;4.5138e-10;4.54771e-10;4.72506e-10;4.75672e-10;4.83553e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.95345346551724e-10;1.93026113896015e-10;-0.587798492323726;-0.579342266816012;-0.232030005170049;1.22689375545032e-06;1.8903907678911e-06;0.0150962500108171;-6.71885324986911e-12;0.345507067578036;0.345507067578036;1.2459842e-10;1.16340118703661e-10;2.851714e-10;3.71752825315424e-11;3.55506e-10;2.07539034159842e-11;3.630028e-10;1.11408814821808e-11;4.120824e-10;2.30710118070274e-11;4.392988e-10;1.30240563266595e-11;2.863462e-10;2.61428070488232e-10;0;0;0;0;0;0;0;0;0;0
"104";"livestock_water_withdrawal_km3";"Korea, Republic of";"EAP";"KOR";0.000285103;0.000284194;0.000284073;0.000339362;0.000393167;0.0004136;0.000403659;0.000411372;0.000415502;0.000445182;0.00042267;0.00043223;0.00046634;0.000459511;0.000481274;0.000503421;0.000624617;0.000599643;0.000584693;0.000616276;0.000692258;0.000720829;0.000667331;0.000648074;0.000732502;0.000877229;0.00096489;0.00104909;0.00105295;0.000991572;0.000921654;0.000933443;0.000999112;0.0010451;0.00110931;0.00118571;0.00124309;0.00131966;0.00136924;0.00137673;0.00129755;0.00124011;0.00120112;0.00116655;0.00116812;0.00117786;0.00124178;0.00127623;0.00137118;0.00141402;0.00145778;0.0015902;0.00170343;0.0017058;0.00170759;0.00170374;0.00170087;0.00170015;0.000941202465517241;0.000448195876082479;0.977964503662691;0.977913808483805;0.891107078039928;0;0;0;2.59562272909038e-05;0.956414570424212;0.956414570424212;0.0003171798;4.86804603172567e-05;0.000417863;1.59213845817504e-05;0.000452405;2.43377252018343e-05;0.00058573;4.8514624867147e-05;0.0006921988;3.53887172655354e-05;0.0009871462;7.20484063890382e-05;0.0010017238;7.83207302966463e-05;0.001298886;8.27087258395389e-05;0.00121469;5.51867860089714e-05;0.001296214;9.60055268200743e-05;0.00163296;0.000109952004756621;0.00170158666666667;1.89927179027471e-06
"105";"livestock_water_withdrawal_km3";"Kuwait";"MENA";"KWT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";"livestock_water_withdrawal_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.000176699;0.00017671;0.000177146;0.000184045;0.000191419;0.000203591;0.000220574;0.000233185;0.000249993;0.000271273;0.000268949;0.000265914;0.000261229;0.000253293;0.000246577;0.000240829;0.0002393;0.000229332;0.000224231;0.000235469;0.000247638;0.000253275;0.000273704;0.000284375;0.000293984;0.000304178;0.000318285;0.000327112;0.000338611;0.000355098;0.000364135;0.000370541;0.00038086;0.000396618;0.000420723;0.000429292;0.00044387;0.00045122;0.000458834;0.000463043;0.000429604;0.000404004;0.000427118;0.000436439;0.000450888;0.000465712;0.000478272;0.000477952;0.000495816;0.000507159;0.000529179;0.000528016;0.000529898;0.000529942;0.000531311;0.000529927;0.000529804;0.000528784;0.000354051362068965;0.00011829584652638;0.974540649192612;0.966901473438125;0.866908650937689;0;0;0;6.82684551970217e-06;0.949729476928757;0.949729476928757;0.0001812038;6.50722542255914e-06;0.0002357232;2.61526024938246e-05;0.0002591924;9.19877882112621e-06;0.0002338322;6.96358389767797e-06;0.0002705952;1.98343505741932e-05;0.0003286568;1.94125954395593e-05;0.0003865754;2.26949979797311e-05;0.0004492518;1.33533418364093e-05;0.0004296106;1.70386755588573e-05;0.0004849822;1.6393388795487e-05;0.0005296692;1.20370706569334e-06;0.000529505;6.2742569281151e-07
