"FID";"non_irrigation_consumption_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"non_irrigation_consumption_km3";"Aruba (Neth.)";"Other";"ABW";0.000374179;0.000374179;0.000375216;0.000389445;0.000411875;0.000432448;0.000423194;0.000363872;0.000378173;0.000391214;0.000411218;0.00042571;0.000446944;0.000441855;0.000465236;0.000507274;0.000613421;0.000503751;0.000540349;0.000581603;0.000614428;0.000665238;0.000721451;0.000763275;0.000780168;0.000800947;0.000736679;0.000620386;0.00063572;0.000599933;0.000659665;0.000608494;0.000640387;0.000671402;0.000709915;0.000718294;0.000724017;0.000900479;0.000888708;0.000965002;0.000997236;0.00103006;0.0011025;0.00113464;0.00105571;0.001027;0.00114669;0.00121353;0.00132137;0.00142542;0.00158607;0.00162732;0.00173496;0.00173839;0.00174217;0.00170768;0.0016539;0.0016526;0.000830568793103448;0.000429587739547505;0.922107104500542;0.962517495538121;0.865355561547995;0;2.03182351420475e-33;0;2.34576156756588e-05;0.85028151217037;0.85028151217037;0.0003849788;1.63702179337967e-05;0.0003977802;2.92619244445747e-05;0.0004381926;2.0644551382871e-05;0.0005492796;4.76340236784591e-05;0.000708912;6.89648902667147e-05;0.000678733;8.62524366177559e-05;0.0006579726;3.75453429375735e-05;0.0008393;0.00011171127453619;0.0010640292;5.51142783968002e-05;0.001226802;0.000154035007611906;0.001685782;7.36986639634668e-05;0.00167139333333333;3.1431896750488e-05
"1";"non_irrigation_consumption_km3";"Andorra";"Other";"AND";0.00354565;0.00348876;0.0034761;0.00349412;0.00353178;0.00375709;0.00384759;0.003966;0.00415364;0.00413445;0.00426745;0.00448884;0.00450957;0.00465491;0.00500712;0.00525397;0.00525627;0.00541521;0.00499011;0.00559286;0.00634329;0.00653148;0.00688246;0.0066324;0.00649994;0.00634707;0.00618557;0.00607639;0.00627761;0.00716524;0.00783303;0.00700739;0.00610445;0.00614474;0.00726805;0.00795333;0.00812963;0.00797283;0.00771544;0.00753844;0.00727503;0.00730046;0.00763867;0.00799984;0.00835083;0.00758081;0.00743046;0.00685558;0.00673409;0.00814742;0.00894138;0.00856269;0.00790262;0.00724589;0.00639213;0.00752282;0.00874979;0.00814041;0.00627950327586207;0.00161203531603101;0.906481772267531;0.889199913870005;0.736237144585602;0;0;2.22044604925031e-16;8.65334956473586e-05;0.821709203453285;0.821709203453285;0.003507282;2.98365349864893e-05;0.003971754;0.000173984874141403;0.004585578;0.000273333800087;0.005301684;0.000223096969006753;0.006577914;0.000199374943711591;0.006410376;0.000434032978217093;0.006871532;0.000744446729202298;0.007861934;0.000233677748256012;0.007712966;0.000462773219331024;0.007349672;0.000574330360219622;0.007808942;0.0010227061206769;0.00813767333333333;0.000613489577933752
"10";"non_irrigation_consumption_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;3.26117e-10;3.34506e-10;3.2095e-10;3.53887e-10;3.68743e-10;3.92573e-10;4.11077e-10;4.22687e-10;4.2491e-10;4.42341e-10;4.55329e-10;4.30992e-10;4.3748e-10;4.43125e-10;4.45197e-10;5.12033e-10;5.14718e-10;5.1919e-10;5.31139e-10;5.44576e-10;5.55038e-10;5.62784e-10;5.46483e-10;5.52674e-10;5.61498e-10;5.67473e-10;5.71025e-10;5.8668e-10;5.90887e-10;5.97988e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4696724137931e-10;2.48518994356661e-10;-0.568140919606334;-0.480057890797587;-0.172894907775414;3.29064022722334e-06;0.000137066691046166;0.0734469371326017;-8.36115506475109e-12;0.32278410453112;0.32278410453112;1.321246e-10;1.80943369662444e-10;3.69446e-10;3.48655883214381e-11;4.352518e-10;1.35676420095756e-11;4.705106e-10;3.92433876124373e-11;5.425454e-10;1.76449000507229e-11;5.598306e-10;1.01965244225667e-11;3.55111e-10;3.24195699272831e-10;0;0;0;0;0;0;0;0;0;0
"100";"non_irrigation_consumption_km3";"Kyrgyz Republic";"ECA";"KGZ";0.399691;0.395357;0.39723;0.390776;0.396572;0.409347;0.419662;0.431787;0.440489;0.439909;0.443906;0.459818;0.472549;0.473828;0.471264;0.502364;0.528129;0.540628;0.557815;0.576921;0.588553;0.617735;0.631209;0.639031;0.647528;0.66081;0.66342;0.680969;0.689293;0.682576;0.693685;0.705251;0.767093;0.76023;0.757368;0.728992;0.703448;0.702142;0.703817;0.707138;0.711306;0.704078;0.706995;0.69757;0.706277;0.722104;0.734887;0.768752;0.822611;0.866416;0.928935;0.915718;0.915343;0.918044;0.924059;0.918384;0.919505;0.918063;0.649609948275862;0.166241550130433;0.966938700846078;0.970777323202805;0.887477313974592;0;0;0;0.00951895213633139;0.934970451193899;0.934970451193899;0.3959252;0.00328402248774274;0.4282388;0.0135028913274158;0.464273;0.0126819359326563;0.5411714;0.0284229533001059;0.6248112;0.0230429882654138;0.6754136;0.012568927571595;0.7367254;0.0344379448181799;0.7091074;0.011267317684347;0.7052452;0.00502818950517977;0.782954;0.0607318674297111;0.9204198;0.00590079771725821;0.918650666666667;0.000757082778389111
"101";"non_irrigation_consumption_km3";"Cambodia";"EAP";"KHM";0.0369121;0.0369121;0.0370174;0.0373311;0.0379673;0.0392892;0.0407032;0.0416091;0.0406962;0.0417819;0.0427499;0.0431648;0.0423884;0.0421951;0.0394957;0.0419988;0.042698;0.0485997;0.0472843;0.0489383;0.0508449;0.0522687;0.0543837;0.0550872;0.0558847;0.0566666;0.0574174;0.0573382;0.0642183;0.0694324;0.065422;0.0524824;0.0535105;0.0575357;0.0576841;0.057807;0.0628203;0.0698083;0.0728559;0.0740938;0.0736311;0.0757277;0.0776748;0.0794447;0.0818061;0.0851053;0.0894194;0.0945804;0.0996116;0.105425;0.113459;0.115596;0.119195;0.119195;0.119543;0.119195;0.119195;0.119195;0.0661085137931035;0.026766473935251;0.934143547941914;0.984230092757597;0.926257058329346;0;8.02346435055357e-44;0;0.00148066019871419;0.872624168161503;0.872624168161503;0.037228;0.000447529909614989;0.04081592;0.000989970265715086;0.04199878;0.00144737164094092;0.04590382;0.00331315657447697;0.05369384;0.00208354923099984;0.06101458;0.00562325349170745;0.05732694;0.00509254166629984;0.06747706;0.00695239746440032;0.07765688;0.00317573960550924;0.09482834;0.00804711737816717;0.1173976;0.00273049295915591;0.119195;0
"102";"non_irrigation_consumption_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"non_irrigation_consumption_km3";"Saint Kitts and Nevis";"LCR";"KNA";3.94228e-11;3.98009e-11;3.97724e-11;2.47649e-10;2.56347e-10;2.44662e-10;2.64444e-10;2.73379e-10;3.03635e-10;3.39737e-10;3.30547e-10;3.38239e-10;3.59461e-10;3.79829e-10;3.69454e-10;3.64147e-10;3.54126e-10;3.50597e-10;3.67609e-10;3.78535e-10;3.87797e-10;3.95572e-10;4.04069e-10;4.34107e-10;4.38867e-10;4.26517e-10;4.28697e-10;4.35129e-10;4.5138e-10;4.54771e-10;4.72506e-10;4.75672e-10;4.83553e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.95345346551724e-10;1.93026113896015e-10;-0.587798492323726;-0.579342266816012;-0.232030005170049;1.22689375545032e-06;1.8903907678911e-06;0.0150962500108171;-6.71885324986911e-12;0.345507067578036;0.345507067578036;1.2459842e-10;1.16340118703661e-10;2.851714e-10;3.71752825315424e-11;3.55506e-10;2.07539034159842e-11;3.630028e-10;1.11408814821808e-11;4.120824e-10;2.30710118070274e-11;4.392988e-10;1.30240563266595e-11;2.863462e-10;2.61428070488232e-10;0;0;0;0;0;0;0;0;0;0
"104";"non_irrigation_consumption_km3";"Korea, Republic of";"EAP";"KOR";2.69745;2.69705;2.7034;2.43598;2.53626;2.73562;2.65363;2.66542;2.78405;2.95581;3.17094;2.84561;3.01559;3.28931;3.33081;3.57339;3.81988;4.00718;4.28648;4.4543;4.54768;5.00891;4.99268;4.93099;5.18163;5.17195;5.29877;5.23131;5.51395;5.9008;6.22894;6.41816;6.58765;6.77552;6.89366;7.12266;7.32011;7.58611;7.74695;7.57918;6.96651;7.34788;7.68736;7.56712;7.90951;8.13158;8.36585;8.75731;9.0518;9.31395;9.02536;8.74325;9.26078;9.26079;9.28718;9.26078;9.26078;9.26077;5.84748844827586;2.37400260440434;0.989873659792333;0.988802413659713;0.927641920622946;0;5.84355393991527e-48;0;0.139159089790518;0.979849862350664;0.979849862350664;2.614028;0.122053460704726;2.758906;0.122237792969278;3.130452;0.200839932832094;4.028246;0.353185842270043;4.932378;0.234315233969113;5.423356;0.296550316270275;6.580786;0.267442240829679;7.471002;0.247593504902693;7.495676;0.358805620677826;8.724098;0.483693143811239;9.115472;0.233658277769053;9.26077666666667;5.77350269167769e-06
"105";"non_irrigation_consumption_km3";"Kuwait";"MENA";"KWT";2.39196e-11;3.22322e-11;3.82451e-11;4.67757e-11;4.37522e-11;7.11689e-11;3.76713e-11;4.17269e-11;5.37033e-11;6.29709e-11;5.07629e-11;6.73086e-11;5.04102e-11;4.18053e-11;8.07755e-11;6.79841e-11;5.39484e-11;5.22462e-11;5.90971e-11;4.50118e-11;2.94387e-11;3.34324e-11;4.14154e-11;4.71665e-11;4.07845e-11;4.30798e-11;7.20133e-11;6.71584e-11;6.41102e-11;6.04159e-11;8.30642e-11;7.94413e-11;1.24104e-10;1.2132e-10;9.74915e-11;1.92324e-10;2.20143e-10;2.19242e-10;2.7341e-10;2.22635e-10;1.79182e-10;1.65501e-10;1.96444e-10;1.23094e-10;2.39219e-10;1.95414e-10;2.37143e-10;2.09811e-10;2.9451e-10;2.31261e-10;3.10009e-10;2.81418e-10;3.05741e-10;4.19854e-10;3.1321e-10;3.98844e-10;2.38244e-10;3.75213e-10;1.35652039655172e-10;1.0883312983634e-10;0.874163226197548;0.881694300039989;0.708408953418028;0;0;3.99680288865056e-15;5.6338369282352e-12;0.764161346036102;0.764161346036102;3.698496e-11;9.17243750771844e-12;5.344826e-11;1.40629792991386e-11;5.82125e-11;1.56316717076262e-11;5.565752e-11;8.53909882112861e-12;3.84475e-11;7.01071797072169e-12;6.135552e-11;1.10649760504485e-11;1.010842e-10;2.0889242490933e-11;2.255508e-10;2.94621384610826e-11;1.80688e-10;4.24973862078599e-11;2.336278e-10;3.79214158583247e-11;3.260464e-10;5.39115955458564e-11;3.37433666666667e-10;8.67095641802756e-11
"106";"non_irrigation_consumption_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.0783587;0.0783588;0.0785785;0.0787565;0.0807111;0.0845816;0.0826591;0.0863723;0.088453;0.0884818;0.0899768;0.0930911;0.094698;0.0970308;0.099684;0.106048;0.112754;0.116881;0.11902;0.124625;0.130092;0.133986;0.13716;0.137689;0.139087;0.139415;0.151755;0.165039;0.157488;0.14314;0.124921;0.126284;0.133994;0.142572;0.147509;0.156154;0.165378;0.174606;0.179839;0.177356;0.164351;0.171019;0.165282;0.160129;0.1635;0.172032;0.181527;0.188523;0.202482;0.215832;0.233023;0.23898;0.254736;0.254736;0.255462;0.254736;0.254735;0.254734;0.148765570689655;0.0537055370295329;0.952507765465499;0.973236535511692;0.896155380236267;0;1.877041319321e-37;0;0.00302927157094955;0.907271043272075;0.907271043272075;0.07895272;0.000997000983951367;0.08610956;0.00252133902579562;0.09489614;0.00370734782533282;0.1158656;0.00696016682989711;0.1356028;0.00360207269499103;0.1513674;0.0104292209824128;0.135056;0.00990405873871919;0.1706666;0.00978499763924346;0.1648562;0.00395608186214593;0.1920792;0.0173082311834572;0.2473874;0.0106092338460419;0.254735;1.000000000001e-06
