"FID";"precipitation_at_irrigation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"precipitation_at_irrigation_km3";"Aruba (Neth.)";"Other";"ABW";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1";"precipitation_at_irrigation_km3";"Andorra";"Other";"AND";0.000362836;0.000536245;0.000524088;0.000340634;0.000477387;0.000602951;0.000522569;0.000528574;0.000557068;0.00046185;0.000604962;0.000681651;0.00061135;0.000722163;0.000850606;0.000609564;0.000794359;0.000811776;0.000896514;0.00116981;0.000799266;0.00124627;0.000925444;0.00113854;0.00119009;0.000991687;0.00112196;0.00087402;0.000876467;0.0012434;0.00138226;0.00111516;0.00130413;0.00167724;0.00192663;0.00218984;0.00167457;0.00154132;0.00233431;0.00148711;0.00140334;0.00144499;0.00173718;0.00169143;0.00223051;0.00155236;0.0020027;0.0014044;0.00149718;0.00155539;0.00184331;0.00147204;0.00176676;0.00161738;0.00151543;0.00230361;0.00218629;0.00133216;0.00121143329310345;0.000548738069540804;0.867864357290107;0.892768156510505;0.722928009679371;0;0;1.11022302462516e-15;2.82011984065949e-05;0.753188542654571;0.753188542654571;0.000448238;9.1132103522853e-05;0.0005346024;5.16001219310575e-05;0.0006941464;0.000100286804198259;0.0008564046;0.000204085373644953;0.001059922;0.000189654922208732;0.0010215068;0.000160472394687373;0.001481084;0.00032092354592644;0.00184543;0.00038977274038855;0.00170149;0.000330122254854168;0.001602406;0.000231964048895513;0.001642984;0.000159372553565537;0.00194068666666667;0.000530254206615406
"10";"precipitation_at_irrigation_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";"precipitation_at_irrigation_km3";"Kyrgyz Republic";"ECA";"KGZ";2.79804;2.28158;2.2133;1.60626;2.03946;2.31797;2.07375;2.07293;2.76908;2.21228;2.32472;3.60915;2.61277;2.0264;2.9768;2.3792;2.74288;2.51251;3.32667;3.73159;3.75558;3.943;3.85953;4.81149;3.38334;3.95251;4.07536;4.33154;4.23252;6.82621;5.15598;4.08748;4.60547;4.48387;4.63823;6.6079;4.82169;3.27579;4.58585;3.94261;6.53799;5.56342;4.53825;4.3218;6.43442;7.39026;5.55077;4.8678;4.81398;4.64186;4.03953;5.02903;5.63161;5.34579;3.88288;4.55954;4.40205;5.07373;4.0108275862069;1.36997528221947;0.760128978167313;0.800916669230059;0.606775559588627;4.51150228286679e-12;0;1.71880287780368e-11;0.0616666904549503;0.57779606344968;0.57779606344968;2.187728;0.430706192572152;2.289202;0.287324132766463;2.709968;0.613362916363551;2.93857;0.572760601604196;3.950588;0.526616512340811;4.683628;1.20650792619444;4.594206;0.382949177215463;4.646768;1.25057652661482;5.479176;1.03265872636123;5.452934;1.13702341210724;4.785768;0.784271576572809;4.67844;0.351271139008032
"101";"precipitation_at_irrigation_km3";"Cambodia";"EAP";"KHM";0.746149;0.822821;1.02662;1.00303;0.825168;0.900714;0.989368;1.24356;1.56802;1.21627;1.04408;1.32072;1.42794;1.03468;1.3174;1.25053;1.26479;1.28659;1.31746;1.26768;1.437;1.5759;1.65537;1.61706;1.77971;2.44207;2.31369;2.49104;2.76091;2.76014;3.38441;3.22974;3.24802;3.45616;3.07398;3.47409;3.94655;3.47626;3.69398;3.88306;3.6343;4.29661;4.6492;4.02751;3.69312;3.88651;3.77897;4.2322;5.13181;4.74318;4.48175;4.35911;3.81856;4.44105;4.23887;4.39339;4.24605;3.64207;2.65977568965517;1.36446759503226;0.948115068121431;0.952813067150635;0.828191167574108;0;0;0;0.0766081359623482;0.898922182398904;0.898922182398904;0.8847576;0.123199744294783;1.1835864;0.259899896496324;1.228964;0.178717587494908;1.27741;0.025810591818089;1.613008;0.124455146820049;2.55357;0.199715864292249;3.278462;0.148252314383284;3.694788;0.220959949696772;4.060148;0.424269326925716;4.354534;0.574562808516179;4.267868;0.267759771287623;4.09383666666667;0.398116954842837
"102";"precipitation_at_irrigation_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"precipitation_at_irrigation_km3";"Saint Kitts and Nevis";"LCR";"KNA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";"precipitation_at_irrigation_km3";"Korea, Republic of";"EAP";"KOR";12.2481;10.6113;10.1182;12.7807;10.1423;13.4216;10.719;9.85263;11.5787;9.16725;9.10649;15.8096;15.0487;11.7452;17.3199;9.97054;14.7016;13.3298;11.2958;10.2725;12.0366;13.8527;15.9838;13.7351;10.3625;12.6356;13.1878;19.2513;13.9335;16.9484;9.24684;15.9982;16.9195;14.9988;11.6987;15.3501;9.44279;10.3216;11.5156;13.1934;16.8474;17.0362;12.8624;11.1598;13.8949;19.8267;14.5651;11.8268;14.6074;13.2926;10.2292;11.6603;14.4141;12.3412;15.1017;10.7677;11.6199;9.65589;12.9579660344828;2.62568362949734;0.172571874624819;0.180780706881171;0.115547489413188;0.195181614360688;0.174030532858443;0.200114537860347;0.0268326171214123;0.0297810519115241;0.0297810519115241;11.18012;1.24807233844838;10.947836;1.65377041294431;13.805978;3.32560146205465;11.914048;2.0389294770835;13.19414;2.11344658390034;15.19132;2.81507886159518;13.772408;3.20715629543058;11.964698;2.35754826663634;14.36014;2.55194087470694;14.82372;3.01949273339083;12.7493;2.00054463959193;10.6811633333333;0.984860531259799
"105";"precipitation_at_irrigation_km3";"Kuwait";"MENA";"KWT";0.000613423;0.000525897;0.000309997;0.000870028;0.00047855;0.000405441;0.000182434;0.000527442;0.000460776;0.000896584;0.000615226;0.000773215;0.000591975;0.000728265;0.00141656;0.000319159;0.00116756;0.000999532;0.00121061;0.000777878;0.000818081;0.000841948;0.00106867;0.00068299;0.00108003;0.000586664;0.000967519;0.000691626;0.00117758;0.000693568;0.000954096;0.00106466;0.00151634;0.0025832;0.00205306;0.00236525;0.00263841;0.00294932;0.00262795;0.0031469;0.00191026;0.00341234;0.00203405;0.00324866;0.00182933;0.00222464;0.00308149;0.00438816;0.00316936;0.00296119;0.00191962;0.00349864;0.00193631;0.00207223;0.00267728;0.00231861;0.00270794;0.00333049;0.0016051554137931;0.00105998550447091;0.833312214851658;0.85659355870682;0.651542649727768;4.44089209850063e-16;0;5.02931030155196e-13;5.23068171890855e-05;0.694409247420972;0.694409247420972;0.000559579;0.000205711635928792;0.0004945354;0.000259427597880025;0.0008250482;0.000339222769774819;0.0008949478;0.000364052184193695;0.0008983438;0.000171770742686873;0.0008233914;0.000243145238071405;0.0016342712;0.000684991408024363;0.002745566;0.000305180628366218;0.002486928;0.000775677543229144;0.003164968;0.000779251043611749;0.002420816;0.000677298688194507;0.00278568;0.00051039975930637
"106";"precipitation_at_irrigation_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.192728;0.216023;0.245066;0.283525;0.256492;0.273838;0.297009;0.264382;0.295743;0.272737;0.30499;0.317501;0.391432;0.413313;0.469287;0.456934;0.655082;0.771762;0.733845;0.883579;1.37476;1.26066;1.81604;1.86409;1.82367;1.68178;1.95693;1.7124;2.15152;1.70959;1.76109;1.92543;2.22827;1.89567;2.07003;1.89596;2.80758;2.31155;2.64508;2.56077;2.49621;4.30533;4.64057;4.76783;5.37154;4.31556;4.70285;5.0134;4.84513;4.70854;5.12491;4.28926;4.58462;5.91875;4.90235;5.01417;3.85814;3.8886;2.24475686206897;1.78574678259396;0.938109548592568;0.9627795379741;0.85480943738657;0;0;0;0.0992028280783772;0.880049525160548;0.880049525160548;0.2387668;0.0353341571528175;0.2807418;0.0147397433050918;0.3793046;0.0684522135456554;0.7002404;0.15897714932436;1.627844;0.28655424011869;1.842444;0.205553865276234;1.976098;0.178660493450567;2.444188;0.355017423192158;4.316296;1.08804983575202;4.717096;0.257728577441463;4.963978;0.620573034114439;4.25363666666667;0.658817247978021
