"FID";"precipitation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"precipitation_km3";"Aruba (Neth.)";"Other";"ABW";0.206443;0.135813;0.157045;0.184997;0.143052;0.180114;0.199627;0.149791;0.258985;0.244127;0.259079;0.307949;0.360387;0.222575;0.273995;0.369568;0.309402;0.282076;0.211427;0.225824;0.270772;0.201255;0.126397;0.249053;0.132995;0.115232;0.152722;0.190142;0.146795;0.152523;0.257565;0.133542;0.175217;0.106403;0.137919;0.138928;0.124815;0.186364;0.159015;0.102558;0.16642;0.242394;0.156257;0.108179;0.112516;0.161731;0.231616;0.236986;0.141784;0.195467;0.241667;0.118967;0.301567;0.155383;0.117643;0.0881765;0.0592106;0.071584;0.187069587931034;0.0702414793418829;-0.400905443741098;-0.411363007167246;-0.276467029643073;0.0018165769552832;0.00145928260894409;0.00217270359804863;-0.00166757825525237;0.160725174821245;0.160725174821245;0.16547;0.0296360230800288;0.2065288;0.045082790543621;0.284797;0.052200429155324;0.2796594;0.0642804971729373;0.1960944;0.065664394642759;0.1514828;0.0266141285166357;0.1621292;0.0587112714578725;0.142336;0.03208404203806;0.1571532;0.054183998170124;0.1935168;0.0419271491601802;0.1870454;0.0814748201888166;0.0729903666666667;0.014534071731739
"1";"precipitation_km3";"Andorra";"Other";"AND";0.431224;0.624029;0.615804;0.408126;0.524851;0.603546;0.529695;0.532614;0.479264;0.379355;0.507233;0.553333;0.435661;0.531379;0.56415;0.383431;0.492944;0.42916;0.449597;0.58252;0.400513;0.551172;0.406704;0.499251;0.525006;0.402828;0.442745;0.34905;0.335556;0.471831;0.497417;0.377962;0.406964;0.496223;0.549924;0.565035;0.43865;0.397382;0.604948;0.416878;0.368436;0.396379;0.439939;0.415419;0.54806;0.402069;0.493859;0.348708;0.369972;0.376811;0.466821;0.380836;0.440223;0.39292;0.376554;0.573088;0.54253;0.335104;0.463132465517241;0.0800086150225844;-0.367253052820954;-0.373896459442001;-0.26799758015729;0.00457025588993781;0.00405309754711013;0.00296215944226612;-0.00174001418068839;0.134874804806307;0.134874804806307;0.5208068;0.100520752681722;0.5048948;0.0829648156190322;0.5183512;0.0511181561013306;0.4675304;0.0753907532214661;0.4765292;0.069086628848859;0.400402;0.0586151618312191;0.465698;0.0710267170049412;0.4845786;0.0938856742895315;0.4336466;0.0691078182284754;0.3982838;0.0567215693074513;0.4114708;0.0399754290746203;0.483574;0.129483410196056
"10";"precipitation_km3";"Antigua and Barbuda";"LCR";"ATG";1.67417;1.30975;1.51464;1.31045;1.36233;1.29021;1.13656;1.37216;1.33897;1.10621;1.09898;1.50185;1.35352;1.32127;1.20109;1.18699;1.18841;1.46414;1.20569;1.25367;1.17867;1.8335;1.22349;1.39876;1.31848;1.28258;1.44828;1.26412;1.52931;1.71603;1.5406;1.50127;1.34364;1.16872;1.59344;1.28929;0.902469;1.17425;1.36231;1.22822;1.53455;1.32929;1.00966;1.11147;1.32814;1.31282;1.46284;1.60387;1.58424;1.20186;1.56376;0.921841;1.38333;1.24745;0.971238;1.13537;1.16545;0.838824;1.31369813793103;0.202319814123662;-0.197214619031487;-0.15555692269833;-0.0998185117967332;0.137845304528963;0.242903308590051;0.268372763571023;-0.00236280642283681;0.0388936059597372;0.0388936059597372;1.434268;0.158132328510017;1.248822;0.120408502482175;1.295342;0.153414446418843;1.25978;0.11738625430603;1.39058;0.261853186442327;1.448064;0.186833539360576;1.429534;0.173023559609667;1.1913078;0.176013916606614;1.262622;0.205863284900441;1.433126;0.173802598311993;1.2175238;0.272191014313845;1.046548;0.180521873278559
"100";"precipitation_km3";"Kyrgyz Republic";"ECA";"KGZ";95.1556;86.7832;81.0996;54.4695;72.1901;83.7855;75.0315;76.03;97.1658;75.0342;79.0018;120.57;82.2389;61.4156;87.2655;65.6419;72.4961;60.8484;77.0707;81.5102;74.5403;77.3664;80.5469;97.2371;62.182;67.8156;75.2285;72.7879;77.0993;114.389;87.8717;67.9462;77.3268;79.1374;77.2254;104.073;75.7604;55.3896;77.7715;61.2993;105.763;87.9551;78.2155;72.5313;105.303;126.21;96.1472;86.5352;79.3785;78.5853;72.2079;83.2542;98.9192;90.043;71.9188;77.085;74.6343;85.3485;81.3419551724138;14.7046249391275;0.134790865604891;0.128918145744255;0.0901391409558379;0.313068995064421;0.333870041570515;0.317557427881337;0.117372143098828;0.0181685774505142;0.0181685774505142;77.9396;15.5602688056794;81.4094;9.5416025904981;86.09836;21.5879099070058;71.51346;8.36663059498864;78.37454;12.6336001600098;81.46406;18.731932795977;77.9015;7.08568497465136;74.85876;18.8790623070374;89.95358;15.2549560788289;93.37124;19.6675007914834;83.26862;11.6403503771149;79.0226;5.61375460186852
"101";"precipitation_km3";"Cambodia";"EAP";"KHM";306.673;330.736;409.974;428.552;344.035;353.405;381.671;317.659;390.649;310.487;288.304;375.036;381.365;299.222;364.329;326.737;374.331;354.434;339.361;326.218;355.352;367.895;345.113;336.332;345.738;411.839;378.807;345.474;356.253;327.482;373.183;335.462;343.63;347.801;289.786;312.214;394.943;324.021;345.411;359.812;334.712;397.333;431.037;353.032;337.382;342.365;333.234;360.615;453.28;408.368;374.194;374.986;309.634;393.946;357.964;378.993;360.645;305.633;355.294465517241;35.4621807525547;0.116925605413855;0.110769325417577;0.073200241984271;0.382064944822286;0.40676990634532;0.416983138265501;0.245541942231393;0.0136715972013979;0.0136715972013979;363.994;52.6119022893109;350.7742;36.3015426283787;341.6512;44.3062471746367;344.2162;20.3981323826472;350.086;12.0176909803839;363.971;32.5753203130836;337.9724;30.3999482779165;347.2802;32.4149317090134;370.6992;42.0334799499161;379.5724;50.3810922400458;362.1448;32.0010123464868;348.423666666667;38.17647366289
"102";"precipitation_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"precipitation_km3";"Saint Kitts and Nevis";"LCR";"KNA";0.684164;0.502795;0.606357;0.50234;0.529004;0.50143;0.424261;0.538477;0.517663;0.414129;0.414441;0.599962;0.538554;0.511066;0.454982;0.444047;0.463139;0.571274;0.453176;0.485282;0.450645;0.759246;0.461718;0.555757;0.472697;0.520984;0.566147;0.473294;0.597355;0.67811;0.600465;0.62461;0.530559;0.461388;0.662679;0.545855;0.358909;0.483444;0.558362;0.492637;0.649638;0.549402;0.398972;0.484773;0.542947;0.555274;0.641828;0.688851;0.699493;0.500069;0.666529;0.390252;0.594575;0.493747;0.368075;0.463713;0.471459;0.311084;0.525553189655172;0.0934450679641416;-0.0213400924844651;-0.00132271063397828;0.0187537810042347;0.873667719240121;0.992295515000911;0.835269910350826;-0.000118087329662597;0.000455399547245867;0.000455399547245867;0.564932;0.0790599248450187;0.479192;0.0564355084144725;0.503801;0.0722426354654923;0.4833836;0.0514733847760179;0.5400126;0.129382352089843;0.567178;0.0777266267214781;0.5759402;0.0801178733348558;0.4878414;0.079064264186167;0.5251464;0.0921321667567848;0.617103;0.0866991863081771;0.5026356;0.128578318222008;0.415418666666667;0.090439439020448
"104";"precipitation_km3";"Korea, Republic of";"EAP";"KOR";158.589;142.56;128.411;163.315;124.524;161.418;150.584;124.585;146.471;112.589;110.401;165.429;162.224;128.526;171.55;106.985;145.327;143.126;117.836;107.774;137.606;147.614;160.101;141.767;106.128;133.776;139.414;184.477;135.727;165.256;100.041;157.559;173.937;147.305;122.165;158.513;98.1408;116.123;125.56;139.525;187.054;183.548;138.459;124.307;145.985;220.929;162.601;137.548;168.535;149.455;123.616;137.813;163.51;154.413;170.854;129.053;131.821;109.613;143.139186206897;24.4789249793443;0.107907100194251;0.0689962779537974;0.0369026013309135;0.420090252064208;0.605909593378356;0.68240233002408;0.156420252853049;0.0116439422723314;0.0116439422723314;143.4798;17.3850525078298;139.1294;19.9863768927737;147.626;26.7063513700393;124.2096;18.783059795997;138.6432;20.0560749824087;151.73;22.279164403092;140.2014;29.2745946649992;127.57236;22.9212945085569;155.8706;27.9981814284428;167.8136;32.0233589399988;150.0412;19.2452196843788;123.495666666667;12.1021395353604
"105";"precipitation_km3";"Kuwait";"MENA";"KWT";1.86958;2.05165;0.906216;3.91616;1.51589;1.43288;0.697961;1.56823;1.18509;2.4738;1.66275;2.11497;1.40272;2.20937;4.05203;0.709445;3.03668;2.65318;3.32161;1.7096;1.88488;2.20655;2.42035;1.55305;2.62348;1.25177;1.75217;1.56262;2.27279;1.46188;1.38211;1.38885;1.56504;2.51664;2.05241;2.65023;2.31852;2.81979;2.48705;2.73056;1.96131;2.92653;1.60581;2.48656;1.58453;1.73244;2.4726;3.63291;2.38945;2.35792;1.45938;2.68576;1.45402;1.50511;1.87496;1.51859;2.40493;2.57559;2.06929227586207;0.720194995060019;0.130979157383672;0.185210249469378;0.126436781609195;0.327074611329511;0.163584798368921;0.160924486513234;0.00558602546986985;0.0171555396689367;0.0171555396689367;2.0518992;1.13011111626831;1.4715922;0.651123397947117;2.288368;1.03954093984797;2.286103;1.07104998271323;2.137662;0.426130003954192;1.660246;0.38710228690877;1.78101;0.493549180274874;2.60123;0.199911067102349;2.112948;0.583290282380909;2.517064;0.689988461881791;1.795846;0.527443778406761;2.16637;0.567446389714482
"106";"precipitation_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";324.732;351.579;413.917;481.705;390.147;438.759;480.741;398.036;410.835;351.826;369.342;369.185;440.403;434.543;447.752;370.293;461.761;447.233;378.048;377.114;475.999;375.84;425.836;440.798;401.03;391.201;429.642;386.672;459.204;353.444;373.659;383.551;423.403;355.141;370.713;340.543;477.831;404.965;455.483;404.172;377.253;484.728;440.687;443.898;462.471;383.068;418.548;458.838;421.993;428.13;455.965;385.089;396.502;522.443;463.051;466.429;339.099;366.386;413.476827586207;44.8317717520275;0.166059396011811;0.155864529822511;0.114337568058076;0.212833653984748;0.241964032591129;0.204866045897892;0.440859269740706;0.0275757230038102;0.0275757230038102;392.416;60.5985794140424;416.0394;47.8984503851638;412.245;39.5147182262508;406.8898;43.8639824879137;423.9006;38.1981570209873;404.0326;41.0029620491008;381.2934;25.653908684643;416.5988;53.2344312940413;441.8074;40.1312183131786;422.1154;27.0285290720749;444.61;55.6419614589565;390.638;67.0399273045549
