"FID";"surface_water_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"surface_water_abstraction_km3";"Aruba (Neth.)";"Other";"ABW";0.000370507;0.000370519;0.000368598;0.000381736;0.000403739;0.000423916;0.000414923;0.000357099;0.000370789;0.000383642;0.000403873;0.000417404;0.000438755;0.000435085;0.000456048;0.000497261;0.000601274;0.000494282;0.000527301;0.000564334;0.000596223;0.000645534;0.000694611;0.000733052;0.000749372;0.000768832;0.000700322;0.000592576;0.000612482;0.000576644;0.000633733;0.00058525;0.000616801;0.000646518;0.000682802;0.000697327;0.000703117;0.000873753;0.000865241;0.000947517;0.000977785;0.00101295;0.00109417;0.00112369;0.00104562;0.000919807;0.00114669;0.00120857;0.00132137;0.00142542;0.00153026;0.00162732;0.00165542;0.00173839;0.00152211;0.000874228;0.000344562;0.000353755;0.000750429465517241;0.000377034671438462;0.764348417144627;0.755206250576763;0.715668481548699;2.91988655476416e-12;0;1.99840144432528e-15;1.70656675074593e-05;0.584228502791494;0.584228502791494;0.0003790198;1.47628069045152e-05;0.0003900738;2.85630278454508e-05;0.000430233;2.01371140807217e-05;0.0005368904;4.57611210996846e-05;0.0006837584;6.31987607497172e-05;0.0006501712;8.17609628685964e-05;0.0006330208;3.60762413327664e-05;0.000817391;0.000111661301031288;0.001050843;5.91281339127154e-05;0.0012043714;0.000191619953201122;0.0016147;9.05809314922296e-05;0.000524181666666667;0.000303183862404207
"1";"surface_water_abstraction_km3";"Andorra";"Other";"AND";3.60696e-08;4.18625e-08;4.30627e-08;3.37745e-08;2.90829e-08;3.80691e-08;3.17728e-08;3.87674e-08;4.39634e-08;3.15614e-08;3.40648e-08;3.69578e-08;3.185e-08;4.1245e-08;4.49404e-08;3.16545e-08;4.33307e-08;2.8749e-08;3.30308e-08;4.25126e-08;3.6639e-08;3.78169e-08;3.34251e-08;3.87108e-08;4.64908e-08;3.56107e-08;3.63052e-08;3.23225e-08;3.30985e-08;4.39871e-08;4.28817e-08;3.8183e-08;3.64693e-08;4.35683e-08;4.88306e-08;4.02698e-08;3.28657e-08;3.80568e-08;4.71034e-08;4.54537e-08;3.42759e-08;3.77592e-08;4.71224e-08;3.77284e-08;4.67186e-08;3.90918e-08;3.78496e-08;2.43916e-08;2.91892e-08;3.3184e-08;4.5037e-08;3.70552e-08;3.77604e-08;3.46692e-08;3.83478e-08;4.57006e-08;4.88028e-08;3.15816e-08;3.81151051724138e-08;5.69638355971984e-09;0.140357744134312;0.161524500907441;0.117967332123412;0.29331537674455;0.225126981821928;0.1908538900165;4.73463194807591e-11;0.019700296338473;0.019700296338473;3.677044e-08;5.78979091574126e-09;3.682682e-08;5.2322951552832e-09;3.78116e-08;5.31310135984624e-09;3.585552e-08;6.6393762656593e-09;3.861652e-08;4.83513167731759e-09;3.62648e-08;4.62683966763492e-09;4.198658e-08;4.87471248249576e-09;4.074988e-08;5.74753403530592e-09;4.07209e-08;5.83558813831134e-09;3.274124e-08;6.10234518263266e-09;3.857392e-08;3.87419981570388e-09;4.20283333333333e-08;9.17913880564693e-09
"10";"surface_water_abstraction_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;3.26117e-10;3.34506e-10;3.2095e-10;3.53887e-10;3.68743e-10;3.92573e-10;4.11077e-10;4.22687e-10;4.2491e-10;4.42341e-10;4.55329e-10;4.30992e-10;4.3748e-10;4.43125e-10;4.45197e-10;5.12033e-10;5.14718e-10;5.1919e-10;5.31139e-10;5.44576e-10;5.55038e-10;5.62784e-10;5.46483e-10;5.52674e-10;5.61498e-10;5.67473e-10;5.71025e-10;5.8668e-10;5.90887e-10;5.97988e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4696724137931e-10;2.48518994356661e-10;-0.568140919606334;-0.480057890797587;-0.172894907775414;3.29064022722334e-06;0.000137066691046166;0.0734469371326017;-8.36115506475109e-12;0.32278410453112;0.32278410453112;1.321246e-10;1.80943369662444e-10;3.69446e-10;3.48655883214381e-11;4.352518e-10;1.35676420095756e-11;4.705106e-10;3.92433876124373e-11;5.425454e-10;1.76449000507229e-11;5.598306e-10;1.01965244225667e-11;3.55111e-10;3.24195699272831e-10;0;0;0;0;0;0;0;0;0;0
"100";"surface_water_abstraction_km3";"Kyrgyz Republic";"ECA";"KGZ";0.910374;0.913766;0.855714;0.921899;0.877015;0.859099;0.975376;1.10311;1.19106;0.989257;0.972974;1.00292;1.15395;1.24903;1.04639;1.24637;1.2941;1.54673;1.33484;1.55179;1.55683;1.80305;1.74466;1.83427;2.10339;1.97214;2.23302;2.14289;2.13747;2.12009;2.30191;2.18203;2.27472;2.17918;2.07526;2.08067;2.28418;2.21612;2.19246;2.11439;2.03385;2.10498;2.16987;2.04386;2.07972;2.03986;2.34629;2.24155;2.34027;2.31659;2.55666;2.47664;2.39612;2.66516;2.79134;2.63156;2.60147;2.57689;1.82684782758621;0.585141587290531;0.938607123286191;0.922175397582208;0.777374470659407;0;0;0;0.0325233618997813;0.880983331883579;0.880983331883579;0.8957536;0.0281784016988189;1.0235804;0.127407088308697;1.0850528;0.114496301945521;1.394766;0.144478143433531;1.80844;0.196892879505583;2.121122;0.0941527571024874;2.20262;0.0897926297086792;2.177564;0.0813247024587241;2.086456;0.0546081910522588;2.256912;0.128302385480551;2.577184;0.155657533964791;2.60330666666667;0.0273812387107181
"101";"surface_water_abstraction_km3";"Cambodia";"EAP";"KHM";2.90301;2.84053;2.67616;2.70153;3.07463;2.97532;3.07743;4.74611;4.4712;4.82659;4.98669;4.00847;3.97027;4.29047;4.08721;4.17189;4.2047;4.13526;4.47781;4.80725;5.29241;5.43951;5.62022;5.99041;6.17722;6.30394;7.55735;8.58994;9.72284;10.298;10.3809;11.2387;11.9032;12.3226;13.3267;13.4635;13.082;13.677;13.2406;13.6572;13.7854;13.3062;12.904;13.8211;14.426;14.4407;14.6169;14.076;13.3245;13.5486;13.6325;13.9659;14.3314;14.0398;14.2158;14.1561;14.2413;14.6971;9.07320810344828;4.58215630860852;0.95092697411574;0.95970346673229;0.85480943738657;0;0;0;0.258028505644588;0.904262110100914;0.904262110100914;2.839172;0.162046163546071;4.01933;0.916678360031478;4.268622;0.420030439515995;4.359382;0.284570456425118;5.703954;0.371600666885839;8.494414;1.61611752344314;11.83442;1.11103023226193;13.42406;0.260072601401993;13.64854;0.575432044641242;14.00134;0.556913667456635;14.03708;0.268013091098178;14.3648333333333;0.290887630079612
"102";"surface_water_abstraction_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"surface_water_abstraction_km3";"Saint Kitts and Nevis";"LCR";"KNA";3.84159e-11;3.91669e-11;3.90212e-11;2.39356e-10;2.49584e-10;2.39091e-10;2.58219e-10;2.6616e-10;2.96735e-10;3.32049e-10;3.19588e-10;3.29492e-10;3.47e-10;3.73857e-10;3.61812e-10;3.57617e-10;3.43296e-10;3.43148e-10;3.6201e-10;3.64909e-10;3.80822e-10;3.86897e-10;3.93291e-10;4.26482e-10;4.31704e-10;4.16342e-10;4.16737e-10;4.20409e-10;4.43732e-10;4.44359e-10;4.644e-10;4.658e-10;4.73701e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.90779362068966e-10;1.88640977895553e-10;-0.586557141308998;-0.579342266816012;-0.232030005170049;1.30827850846656e-06;1.8903907678911e-06;0.0150962500108171;-6.5523484696544e-12;0.344049280020574;0.344049280020574;1.211088e-10;1.12671249751944e-10;2.784508e-10;3.6457723340878e-11;3.463498e-10;2.23412611595675e-11;3.54196e-10;1.03488949893213e-11;4.038392e-10;2.35437764111877e-11;4.283158e-10;1.44481960015775e-11;2.807802e-10;2.56340610243871e-10;0;0;0;0;0;0;0;0;0;0
"104";"surface_water_abstraction_km3";"Korea, Republic of";"EAP";"KOR";7.52547;7.90631;7.32846;7.07224;7.27522;8.67289;8.23573;6.99609;8.78157;7.86906;7.38718;9.90407;10.6912;12.102;12.2576;11.3995;12.9688;13.1371;13.0019;12.8868;12.8247;15.1612;15.7648;14.5181;14.2662;14.5947;15.3796;15.8262;17.0953;17.3598;17.7138;18.3125;19.7654;19.7125;19.3279;20.7553;20.6824;20.7348;21.1396;21.7132;20.4452;21.8128;22.0723;21.5567;21.8705;23.3084;23.994;24.0334;24.6965;24.46;24.4073;23.2867;24.8352;25.2859;24.4918;25.1184;24.3511;24.4605;16.7333429310345;6.12822302127352;0.985307253644066;0.984312036666769;0.899576527525711;0;0;0;0.357566532037279;0.970830384083611;0.970830384083611;7.42154;0.315391548951458;8.111068;0.721543712896177;10.46841;1.98317362305977;12.67882;0.720833716608761;14.507;1.10660286688586;16.05112;1.16465043553849;18.96642;0.91136442052562;21.00506;0.43562979466515;21.5515;0.645212767232639;24.09846;0.530966691987361;24.46138;0.742175475881547;24.6433333333333;0.415040170746561
"105";"surface_water_abstraction_km3";"Kuwait";"MENA";"KWT";1.05649e-07;2.28389e-06;7.21922e-10;6.76833e-06;9.26234e-08;3.13786e-08;3.85944e-08;1.58404e-08;1.16192e-07;9.57727e-08;4.82693e-06;9.73932e-06;3.05304e-06;7.26013e-06;2.42438e-05;1.45652e-06;1.35747e-05;2.1891e-05;3.49795e-05;6.73301e-06;1.84414e-05;2.0264e-06;2.68394e-05;6.53739e-06;6.50369e-06;1.60707e-05;9.06263e-07;2.12796e-06;3.45101e-05;1.19047e-05;2.54861e-05;3.9147e-06;1.10839e-05;6.29404e-05;9.5533e-06;6.45029e-05;7.88466e-06;5.53895e-05;8.29352e-05;7.56189e-06;4.73309e-05;2.59173e-05;2.38584e-05;3.73897e-05;3.52084e-05;1.20068e-05;3.66819e-05;5.73333e-05;3.28365e-05;3.34984e-05;9.43598e-06;1.14871e-05;4.19451e-05;1.3602e-05;1.17504e-05;1.84804e-05;5.58833e-05;1.4912e-05;1.92066444038276e-05;1.97601623799554e-05;0.52041840371818;0.659663477806146;0.461584996975197;2.82089121368401e-05;4.9686806939253e-08;3.08476423960258e-07;6.08967023803681e-07;0.270835314928579;0.270835314928579;1.8502428644e-06;2.91243852129467e-06;5.955562e-08;4.37712636407952e-08;9.824644e-06;8.445824973798e-06;1.5726946e-05;1.32081840450904e-05;1.2069656e-05;1.02615470948162e-05;1.31039446e-05;1.35804914176312e-05;2.259568e-05;2.39147168509686e-05;4.365483e-05;3.42691455603404e-05;3.394094e-05;9.47137583580126e-06;3.447138e-05;1.60921616169799e-05;1.7644116e-05;1.36646876659615e-05;2.97585666666667e-05;2.26949253896842e-05
"106";"surface_water_abstraction_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";1.64987;1.65071;1.60912;1.49528;1.68023;1.67542;1.6962;1.82651;2.05795;2.18237;2.28776;2.17102;2.2201;2.7032;3.21014;2.37101;1.94864;2.16311;2.83549;3.8487;4.04123;4.81192;5.5584;5.93673;5.93867;6.17459;6.20206;6.68021;6.35144;6.6389;6.90609;7.11652;6.95975;7.98363;7.79887;8.36766;7.84506;9.1642;8.68804;8.98349;10.2662;11.4737;14.4584;13.3191;12.7988;13.1596;13.1115;12.395;13.0324;13.2424;13.9737;14.7663;13.641;13.2237;13.9908;14.0071;13.5179;12.8786;7.2187325862069;4.61455784438068;0.970592290299054;0.976683379987081;0.894736842105263;0;0;0;0.265226889476757;0.942049393987959;0.942049393987959;1.617042;0.072616592249981;1.88769;0.224329409240073;2.518444;0.440314041883745;2.63339;0.754438849642567;5.25739;0.820631001211872;6.40944;0.238481273583483;7.352972;0.5016949149832;8.60969;0.523589548310506;12.46324;1.6303323627408;12.98818;0.340234613171559;13.9191;0.567183978088239;13.4678666666667;0.565911268074186
