"FID";"total_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"total_abstraction_km3";"Aruba (Neth.)";"Other";"ABW";0.000374179;0.000374179;0.000375216;0.000389445;0.000411875;0.000432448;0.000423194;0.000363872;0.000378173;0.000391214;0.000411218;0.00042571;0.000446944;0.000441855;0.000465236;0.000507274;0.000613421;0.000503751;0.000540349;0.000581603;0.000614428;0.000665238;0.000721451;0.000763275;0.000780168;0.000800947;0.000736679;0.000620386;0.00063572;0.000599933;0.000659665;0.000608494;0.000640387;0.000671402;0.000709915;0.000718294;0.000724017;0.000900479;0.000888708;0.000965002;0.000997235;0.00103006;0.0011025;0.00113464;0.00105572;0.001027;0.00114669;0.00121353;0.00132137;0.00142542;0.00158607;0.00162732;0.00173496;0.00173839;0.00174217;0.00170768;0.0016539;0.0016526;0.000830568948275862;0.000429587824688067;0.922107268783891;0.962517495538121;0.865355561547995;0;2.03182351420475e-33;0;2.34576245039832e-05;0.850281815144082;0.850281815144082;0.0003849788;1.63702179337967e-05;0.0003977802;2.92619244445747e-05;0.0004381926;2.0644551382871e-05;0.0005492796;4.76340236784591e-05;0.000708912;6.89648902667147e-05;0.000678733;8.62524366177559e-05;0.0006579726;3.75453429375735e-05;0.0008393;0.00011171127453619;0.001064031;5.51142042036352e-05;0.001226802;0.000154035007611906;0.001685782;7.36986639634668e-05;0.00167139333333333;3.1431896750488e-05
"1";"total_abstraction_km3";"Andorra";"Other";"AND";0.00354563;0.00348865;0.00347604;0.00349412;0.00353168;0.003757;0.00384754;0.00396594;0.00415358;0.00413438;0.0042674;0.00448874;0.00450945;0.00465487;0.00500693;0.0052539;0.0052562;0.00541516;0.00499009;0.00559263;0.00634319;0.00653103;0.00688246;0.00663232;0.00649969;0.00634704;0.00618525;0.00607637;0.00627728;0.00716495;0.00783283;0.00700737;0.00610445;0.00614334;0.00726745;0.00795098;0.0081289;0.00797281;0.00771379;0.00753827;0.00727496;0.00730012;0.00763802;0.0079997;0.00834967;0.00758053;0.00742927;0.0068554;0.00673368;0.00814728;0.00894097;0.0085623;0.00790195;0.00724531;0.00639214;0.00752075;0.00874817;0.00813811;0.00627910396551724;0.00161174119358585;0.906453992181569;0.889199913870005;0.736237144585602;0;0;2.22044604925031e-16;8.65150558306924e-05;0.821658839941905;0.821658839941905;0.003507224;2.98423646851252e-05;0.003971688;0.000173990006379677;0.004585478;0.000273289749844373;0.005301596;0.000223029854795272;0.006577738;0.000199449607595503;0.006410178;0.000433978525816658;0.006871088;0.000744643248085954;0.00786095;0.000233556048412367;0.007712494;0.000462470332864715;0.007349232;0.000574360462923764;0.007808534;0.00102258181375868;0.00813567666666667;0.000613713618011963
"10";"total_abstraction_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;3.26117e-10;3.34506e-10;3.2095e-10;3.53887e-10;3.68743e-10;3.92573e-10;4.11077e-10;4.22687e-10;4.2491e-10;4.42341e-10;4.55329e-10;4.30992e-10;4.3748e-10;4.43125e-10;4.45197e-10;5.12033e-10;5.14718e-10;5.1919e-10;5.31139e-10;5.44576e-10;5.55038e-10;5.62784e-10;5.46483e-10;5.52674e-10;5.61498e-10;5.67473e-10;5.71025e-10;5.8668e-10;5.90887e-10;5.97988e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4696724137931e-10;2.48518994356661e-10;-0.568140919606334;-0.480057890797587;-0.172894907775414;3.29064022722334e-06;0.000137066691046166;0.0734469371326017;-8.36115506475109e-12;0.32278410453112;0.32278410453112;1.321246e-10;1.80943369662444e-10;3.69446e-10;3.48655883214381e-11;4.352518e-10;1.35676420095756e-11;4.705106e-10;3.92433876124373e-11;5.425454e-10;1.76449000507229e-11;5.598306e-10;1.01965244225667e-11;3.55111e-10;3.24195699272831e-10;0;0;0;0;0;0;0;0;0;0
"100";"total_abstraction_km3";"Kyrgyz Republic";"ECA";"KGZ";1.02121;1.04331;0.989621;1.05097;0.974745;0.95804;1.09971;1.21141;1.24058;1.07997;1.08781;1.08267;1.24482;1.38673;1.17144;1.41176;1.48814;1.76;1.51137;1.72125;1.70015;1.90909;1.86652;1.90819;2.23995;2.08604;2.36671;2.26509;2.24807;2.17585;2.39006;2.30858;2.42468;2.34677;2.22553;2.20915;2.43042;2.36245;2.3458;2.2755;2.17142;2.18453;2.27615;2.15762;2.16283;2.12959;2.43671;2.37987;2.44724;2.49065;2.73;2.5912;2.50638;2.81617;3.01382;2.80711;2.77018;2.71849;1.95534682758621;0.594989299853401;0.93738406233949;0.921375619059338;0.771324863883848;0;0;0;0.0330276247193082;0.878688880328086;0.878688880328086;1.0159712;0.0331425090284366;1.117942;0.113047859643604;1.194694;0.126396949844528;1.578504;0.153128546097715;1.92478;0.196027037420862;2.228352;0.104750395798775;2.339124;0.0771513112655903;2.324664;0.084881427473859;2.19051;0.04894469480955;2.376812;0.143731548798446;2.731514;0.198266830760972;2.76526;0.0445143898082407
"101";"total_abstraction_km3";"Cambodia";"EAP";"KHM";2.9034;2.84092;2.67655;2.70192;3.07503;2.97574;3.07787;4.74656;4.47162;4.82703;4.98714;4.00894;3.97075;4.29091;4.08766;4.17236;4.2052;4.13577;4.47831;4.80778;5.29297;5.44009;5.62083;5.99103;6.17786;6.30459;7.558;8.59057;9.72361;10.2989;10.3817;11.2391;11.9037;12.3232;13.3273;13.4642;13.0828;13.6778;13.2414;13.6581;13.7863;13.307;12.905;13.822;14.427;14.4417;14.6179;14.0772;13.3257;13.5498;13.6339;13.9673;14.3328;14.0412;14.2172;14.1575;14.2427;14.6986;9.07396568965517;4.58243840523151;0.950937478302401;0.95970346673229;0.85480943738657;0;0;0;0.258047241379308;0.904282087640127;0.904282087640127;2.839564;0.162049796143037;4.019764;0.916683572030174;4.26908;0.420021885560741;4.359884;0.284585233155201;5.704556;0.371631326962623;8.495134;1.61620978258703;11.835;1.1109900899648;13.42486;0.260091230148192;13.64946;0.575448353894596;14.00246;0.556818958908549;14.03848;0.268013091098178;14.3662666666667;0.290944742749089
"102";"total_abstraction_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"total_abstraction_km3";"Saint Kitts and Nevis";"LCR";"KNA";3.94228e-11;3.98009e-11;3.97724e-11;2.47649e-10;2.56347e-10;2.44662e-10;2.64444e-10;2.73379e-10;3.03635e-10;3.39737e-10;3.30547e-10;3.38239e-10;3.59461e-10;3.79829e-10;3.69454e-10;3.64147e-10;3.54126e-10;3.50597e-10;3.67609e-10;3.78535e-10;3.87797e-10;3.95572e-10;4.04069e-10;4.34107e-10;4.38867e-10;4.26517e-10;4.28697e-10;4.35129e-10;4.5138e-10;4.54771e-10;4.72506e-10;4.75672e-10;4.83553e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.95345346551724e-10;1.93026113896015e-10;-0.587798492323726;-0.579342266816012;-0.232030005170049;1.22689375545032e-06;1.8903907678911e-06;0.0150962500108171;-6.71885324986911e-12;0.345507067578036;0.345507067578036;1.2459842e-10;1.16340118703661e-10;2.851714e-10;3.71752825315424e-11;3.55506e-10;2.07539034159842e-11;3.630028e-10;1.11408814821808e-11;4.120824e-10;2.30710118070274e-11;4.392988e-10;1.30240563266595e-11;2.863462e-10;2.61428070488232e-10;0;0;0;0;0;0;0;0;0;0
"104";"total_abstraction_km3";"Korea, Republic of";"EAP";"KOR";8.55421;8.96116;8.3644;8.11038;8.32634;9.73559;9.31115;8.16644;9.99371;9.07843;8.64215;11.1305;11.9568;13.412;13.6176;12.7578;14.2871;14.4917;14.3504;14.2623;14.2798;16.6407;17.0904;16.0784;15.7146;16.0705;16.7522;17.082;18.3292;18.5674;19.2593;19.7409;21.1093;21.0666;20.9152;22.0256;22.2866;22.268;22.6103;23.0579;21.5992;22.954;23.3924;22.9209;23.1946;24.2282;25.1088;25.3868;25.8564;25.836;25.7775;24.6021;26.1411;26.4942;25.7682;26.5286;25.7202;25.9911;18.0337131034483;6.18333543439427;0.985249883679804;0.985973115137347;0.904416212946159;0;0;0;0.360761197206924;0.970717333291067;0.970717333291067;8.463298;0.319851913266124;9.257064;0.706387034974454;11.75181;2.02085597532333;14.02986;0.716655337662394;15.96078;1.07685483794242;17.36026;1.06144690776317;20.41826;0.858317431373732;22.44968;0.398489933373479;22.81222;0.70465483181484;25.28324;0.668640297918095;25.75662;0.71157143492414;26.0799666666667;0.411461545388308
"105";"total_abstraction_km3";"Kuwait";"MENA";"KWT";0.00215683;0.00240675;0.00235218;0.00188733;0.00239255;0.00368478;0.00288601;0.00269871;0.00313859;0.00332415;0.00325241;0.00384879;0.0025618;0.0025994;0.00285915;0.00276038;0.00222522;0.0017223;0.00207;0.00286875;0.0024233;0.00308939;0.00281989;0.00353788;0.00356061;0.00322525;0.00367244;0.00415757;0.00364966;0.00492765;0.00754437;0.00536249;0.00699337;0.00599112;0.00754661;0.00637456;0.00791129;0.00695789;0.00734673;0.00896368;0.0100127;0.00826235;0.00869437;0.00979349;0.0101322;0.0130202;0.0119436;0.0102698;0.0106969;0.0106875;0.0103884;0.0128098;0.0137477;0.0152393;0.014884;0.0154427;0.0127553;0.0161505;0.00646004551724138;0.00426391805602245;0.921289708035072;0.923528868928605;0.790683605565638;0;0;0;0.000232624627026359;0.848774726131344;0.848774726131344;0.002239128;0.000220766275323021;0.003146448;0.000383972121279657;0.00302431;0.000537014598079047;0.00232933;0.000480456657982799;0.003086214;0.00048462544086129;0.003926514;0.000649737081079724;0.006687592;0.000975506177335643;0.00751083;0.000986777875283997;0.009379022;0.00084503155962958;0.0113236;0.00113696109212233;0.01341384;0.00194443363553504;0.0147828333333333;0.00179120455932128
"106";"total_abstraction_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";1.65613;1.65695;1.61536;1.50153;1.68661;1.6821;1.70258;1.83329;2.06492;2.18929;2.2948;2.17827;2.22743;2.71077;3.21795;2.37928;1.95742;2.17216;2.84476;3.85858;4.05151;4.82264;5.5698;5.94779;5.94978;6.18582;6.21409;6.6934;6.36378;6.64998;6.91605;7.12761;6.97125;7.99584;7.81157;8.38101;7.85884;9.17843;8.70256;8.99752;10.2793;11.4879;14.4716;13.3323;12.8124;13.1739;13.1268;12.4107;13.0489;13.2599;13.9917;14.7848;13.661;13.2433;14.0105;14.0269;13.5384;12.8997;7.23068017241379;4.6185583529767;0.970653564855642;0.976683379987081;0.894736842105263;0;0;0;0.265473581777351;0.942168342966963;0.942168342966963;1.623316;0.0726451352810358;1.894436;0.224520494899686;2.525844;0.44058151105102;2.64244;0.754917006431833;5.268304;0.82100771009169;6.421414;0.238761519261375;7.364464;0.502576265635376;8.623672;0.523830821134076;12.4767;1.6302349569924;13.00404;0.340386380456093;13.93826;0.566689273764733;13.4883333333333;0.565265391947299
