"FID";"total_evaporation_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"total_evaporation_km3";"Aruba (Neth.)";"Other";"ABW";0.152813;0.117497;0.118494;0.121913;0.111814;0.135052;0.142096;0.112137;0.156805;0.159159;0.177481;0.184528;0.194618;0.164922;0.178057;0.188675;0.183189;0.178059;0.167139;0.183762;0.18972;0.162513;0.126619;0.181956;0.128086;0.121282;0.125055;0.13865;0.137207;0.131263;0.155416;0.133423;0.14066;0.103285;0.122723;0.128994;0.107391;0.146827;0.119985;0.103059;0.126127;0.149734;0.133827;0.106916;0.107176;0.113798;0.153704;0.161603;0.132986;0.141161;0.15076;0.122854;0.17151;0.123192;0.102971;0.0803616;0.0501733;0.0545228;0.138201736206897;0.0315721768899354;-0.449531901779686;-0.384293580239318;-0.259528130671506;0.000400146164921548;0.00308627648384688;0.0040055292826653;-0.000840457322587581;0.20207893071766;0.20207893071766;0.1245062;0.0162355088217154;0.1410498;0.0190340983159171;0.1799212;0.0108584570128541;0.1801648;0.00819473911726298;0.1577788;0.0294948530035327;0.1306914;0.00752371080651031;0.1311014;0.0195697862098695;0.1212512;0.0175978481980042;0.124756;0.0182714611211036;0.1406504;0.0186377509721533;0.1342574;0.02688592311601;0.0616859;0.0163191870333666
"1";"total_evaporation_km3";"Andorra";"Other";"AND";0.0949838;0.0977125;0.100441;0.0981539;0.0971792;0.0964671;0.0995369;0.0959265;0.101108;0.101942;0.0969506;0.102571;0.106449;0.114294;0.106896;0.109672;0.107641;0.10374;0.113038;0.0987671;0.101179;0.104051;0.0999659;0.103855;0.10905;0.108069;0.104352;0.106525;0.101816;0.104079;0.101039;0.108314;0.114297;0.110305;0.111262;0.107307;0.0973236;0.111482;0.112499;0.112362;0.110384;0.106753;0.108771;0.106539;0.107651;0.11146;0.109536;0.102955;0.113402;0.106336;0.109851;0.110615;0.109901;0.119152;0.121203;0.120541;0.120889;0.118335;0.106670277586207;0.00664072079405365;0.734727434643753;0.714109938786182;0.536600120992136;5.19362330919648e-11;0;2.68169486616898e-09;0.000288929641022485;0.539824403218194;0.539824403218194;0.09769408;0.00196010601167386;0.0989961;0.0027041263940504;0.10543212;0.00636066222747286;0.10657162;0.00551132026578024;0.10362018;0.00350131452628866;0.1049682;0.00240547972346474;0.1090434;0.00496781081564103;0.10819472;0.00643561488064661;0.1080196;0.00158802607031497;0.1087378;0.00415366334697457;0.1141444;0.00556318890565474;0.119921666666667;0.00138506654473109
"10";"total_evaporation_km3";"Antigua and Barbuda";"LCR";"ATG";0.492685;0.522285;0.523713;0.502379;0.52265;0.515052;0.518875;0.489544;0.52048;0.504884;0.500493;0.531683;0.492065;0.520469;0.521221;0.513422;0.481027;0.48718;0.504118;0.475544;0.507461;0.499275;0.517682;0.527846;0.517475;0.512084;0.505357;0.491605;0.507056;0.507761;0.511397;0.486346;0.516714;0.506628;0.494011;0.503763;0.448497;0.472618;0.509112;0.507443;0.520491;0.50839;0.469947;0.468934;0.504951;0.496521;0.519606;0.512857;0.518652;0.506491;0.497481;0.48495;0.495416;0.626005;0.571018;0.613719;0.571417;0.500715;0.509956224137931;0.0292751046532314;0.204259652318925;-0.0373127441631548;-0.0465819721718088;0.124049317007443;0.780455681095083;0.605494823639761;0.00035410467870436;0.0417220055654485;0.0417220055654485;0.5127424;0.0143114916343475;0.509767;0.0128303222484862;0.5131862;0.0163321095759244;0.4922582;0.0159675744620152;0.5139478;0.0109191916688004;0.5047726;0.007767371389344;0.5030192;0.0125489220931521;0.4882866;0.0267810623258302;0.4945426;0.0236333909606726;0.5108254;0.00956405882980652;0.534974;0.0613570979716284;0.561950333333333;0.0570936891200186
"100";"total_evaporation_km3";"Kyrgyz Republic";"ECA";"KGZ";37.2067;35.4083;33.1281;32.0614;34.1179;37.3489;37.1956;36.1638;39.8041;37.3782;34.5098;40.9983;38.7622;33.8028;38.3272;33.8533;36.8058;33.6138;34.3808;35.4623;35.5841;35.6683;36.6533;41.3688;35.4181;37.3908;31.5589;36.0689;36.3672;40.361;40.2994;35.4311;37.506;37.5942;37.4605;38.9142;34.835;35.1937;35.6946;33.6865;39.9358;41.322;38.6446;37.7487;43.7791;43.1948;41.0679;40.8507;36.9693;39.615;34.5314;40.6288;41.4095;43.6545;39.2055;42.8474;37.3955;44.3917;37.5961396551724;3.0854727135309;0.537736961961518;0.528561321480206;0.369630973986691;1.34309922374953e-05;2.67136073344254e-05;4.15693637711989e-05;0.098252185548616;0.289161040259599;0.289161040259599;34.38448;2.00370839994247;37.57812;1.34109278090667;37.28006;3.03661931397401;34.8232;1.31702540787944;36.93852;2.52330738753724;36.34936;3.17038388259214;37.65824;1.73221375499677;35.6648;1.96110061827536;40.28604;2.37327668488105;40.33954;2.28187304489097;39.88594;3.39886811056269;41.5448666666667;3.67547934606268
"101";"total_evaporation_km3";"Cambodia";"EAP";"KHM";154.175;160.276;159.803;158.72;164.222;161.45;160.587;160.739;162.429;159.288;158.037;156.602;163.79;159.352;166.134;160.452;162.553;161.978;162.434;160.265;154.629;159.55;155.445;159.479;159.381;154.002;162.524;161.849;156.669;162.802;167.21;167.044;163.788;161.163;164.436;167.338;165.193;169.574;164.74;178.665;172.666;168.221;167.711;173.341;170.883;173.473;174.91;164.039;178.75;166.036;173.035;174.928;175.676;181.44;189.654;183.021;188.177;185.749;166.042706896552;8.56499449925289;0.798810675487721;0.808852933033929;0.62129461584997;5.75095526755831e-14;0;5.61461988013434e-12;0.405155341597709;0.63809849527315;0.63809849527315;159.4392;3.60335991818747;160.8986;1.15788224789915;160.783;4.02319176773864;161.5364;1.09847089173997;157.6968;2.44586982482716;159.5692;3.99325064327296;164.7282;2.51009306600373;169.102;5.68095005258803;170.5644;2.54269302118836;171.4416;6.19653316782861;178.9466;6.75755952988947;185.649;2.57945420583503
"102";"total_evaporation_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"total_evaporation_km3";"Saint Kitts and Nevis";"LCR";"KNA";0.241294;0.264549;0.264151;0.241827;0.265586;0.258791;0.260221;0.241349;0.26382;0.239093;0.23987;0.268036;0.236723;0.261285;0.257669;0.253212;0.224397;0.230064;0.247278;0.216256;0.261336;0.246726;0.249117;0.265581;0.252068;0.254045;0.249211;0.234088;0.253693;0.254495;0.25747;0.242406;0.260473;0.249684;0.245109;0.256278;0.208442;0.219007;0.255839;0.250839;0.260004;0.249143;0.218017;0.229137;0.257172;0.240883;0.260955;0.257379;0.25881;0.248937;0.24936;0.243931;0.236871;0.307866;0.239608;0.281393;0.251758;0.199665;0.248832189655172;0.0173304988027718;-0.0618444402114555;-0.130087052816143;-0.0913490623109498;0.644667905519866;0.329476862882581;0.311105121978826;-6.34691008643716e-05;0.00382473478506799;0.00382473478506799;0.2554814;0.0127201732810524;0.2526548;0.0115250331539653;0.2527166;0.0137245959248351;0.2342414;0.0155537302535437;0.2549656;0.00812037451722518;0.2491064;0.00866064315163719;0.2510284;0.00777636112201587;0.238081;0.0226469188522412;0.2426946;0.0183274709193604;0.2533928;0.0083482328189863;0.2555272;0.0296366788068434;0.244272;0.0413750727250116
"104";"total_evaporation_km3";"Korea, Republic of";"EAP";"KOR";53.0892;55.898;56.3555;57.8893;53.6942;51.5915;56.5571;52.4885;55.3873;57.2349;52.8973;54.9666;52.983;53.2486;53.7083;58.3738;53.3637;58.273;54.7393;55.4293;56.5369;58.1743;54.4508;57.0707;57.8479;57.599;57.0425;56.455;55.9448;56.2432;57.8608;58.8605;57.9709;57.9358;59.3904;56.7821;64.2455;59.6911;58.5353;61.1639;58.8404;60.3294;58.7886;60.2348;59.0419;56.6527;61.7676;62.3443;59.3918;59.8189;62.1928;61.6805;59.6589;60.9104;62.2695;66.6127;64.7912;65.124;57.9037965517241;3.34535675972122;0.819221330389844;0.843551016641546;0.655172413793104;3.77475828372553e-15;0;3.73701070088828e-13;0.162290953274477;0.671123588165706;0.671123588165706;55.38524;1.97522528664454;54.65186;2.49443565320896;53.56076;0.846992298075962;56.03582;2.21699011883229;56.81612;1.47026667377044;56.6569;0.662426878983634;58.40368;0.686154098581361;60.08358;2.82575879579274;59.44702;0.768898356091362;59.99506;2.24873030686207;61.34242;1.08602514105337;65.5093;0.969952385429307
"105";"total_evaporation_km3";"Kuwait";"MENA";"KWT";1.71601;1.91611;1.32785;2.78732;1.68415;1.57946;0.63849;1.45203;1.15706;1.71835;1.81289;2.0901;1.07093;1.99877;2.98052;0.665047;2.15504;2.50359;2.65656;1.08538;1.82611;1.57929;2.05702;1.69272;1.96232;1.62652;1.06318;1.52929;1.92595;1.54365;1.38739;0.930387;1.31126;2.32124;1.47224;2.7569;1.21011;2.31238;2.47668;1.85888;2.23566;1.77464;1.51501;1.64263;1.92428;1.51768;1.87274;2.48325;2.21361;2.33076;1.36319;1.5717;2.15748;1.35403;1.27369;1.60129;2.04035;1.62393;1.76439817241379;0.5130596286638;0.073128077017396;0.0637669568427205;0.0332728372655777;0.585385935881679;0.633547891510631;0.712173024550977;0.00222178799717;0.00534771564826218;0.00534771564826218;1.886288;0.546455712953941;1.309078;0.428323186472551;1.990642;0.68324270019518;1.8131234;0.887795903033349;1.823492;0.194004720999258;1.537718;0.30979929562541;1.4845034;0.511558354836279;2.12299;0.605374070885102;1.818444;0.278465435431402;2.083608;0.388084454043189;1.544018;0.360199025498404;1.75519;0.247215111997628
"106";"total_evaporation_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";217.637;219.337;214.072;211.933;218.884;211.037;209.497;212.073;216.074;212.908;213.744;213.121;205.188;204.912;221.684;214.072;213.36;211.52;214.24;212.566;211.121;215.91;207.781;205.641;215.383;219.777;212.532;211.172;209.831;222.314;214.791;216.647;212.179;211.663;222.321;220.718;213.238;215.148;213.956;219.191;233.569;208.217;207.648;208.742;207.709;228.954;220.655;212.277;224.271;217.03;213.906;226.876;233.343;220.609;238.129;242.23;238.131;239.458;216.912534482759;8.74558663277779;0.532177186523755;0.408816155822999;0.281996987189766;1.71199394418675e-05;0.00144179125961875;0.00177206509287164;0.27561053862007;0.283212557856334;0.283212557856334;216.3726;3.22863412296903;212.3178;2.45533413204802;211.7298;6.97058248642106;213.1516;1.12696796760156;211.1672;4.53526440243565;215.1252;5.56100527782522;215.5202;4.30389070493199;216.4502;3.31515794495526;213.177;11.4080383283017;220.6374;6.42804047124783;226.5726;9.68875674686901;239.939666666667;2.09151914486416
