"FID";"total_groundwater_abstraction_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"total_groundwater_abstraction_km3";"Aruba (Neth.)";"Other";"ABW";3.67224e-06;3.66009e-06;6.61806e-06;7.70829e-06;8.13563e-06;8.53196e-06;8.27222e-06;6.77273e-06;7.38291e-06;7.5722e-06;7.34527e-06;8.30661e-06;8.18832e-06;6.77099e-06;9.18775e-06;1.00133e-05;1.21493e-05;9.46815e-06;1.30475e-05;1.72699e-05;1.82058e-05;1.97056e-05;2.68404e-05;3.02224e-05;3.07948e-05;3.21141e-05;3.63579e-05;2.78093e-05;2.32375e-05;2.32896e-05;2.59305e-05;2.32441e-05;2.35857e-05;2.48863e-05;2.71125e-05;2.09675e-05;2.08988e-05;2.67234e-05;2.34683e-05;1.74855e-05;1.94517e-05;1.71144e-05;8.31989e-06;1.09459e-05;1.00914e-05;0.000107195;3.5384e-11;4.95733e-06;0;9.15103e-12;5.58091e-05;0;7.9533e-05;0;0.00022006;0.000833447;0.00130934;0.00129884;8.01389342161212e-05;0.000258489093259159;0.417578372748818;0.391700249918462;0.322131528571415;0.00110886382930375;0.00236051245165079;0.000358424465736862;6.39191279256912e-06;0.174371697387549;0.174371697387549;5.958862e-06;2.16485288963708e-06;7.706404e-06;7.06416427279264e-07;7.959788e-06;9.31568047069027e-07;1.238963e-05;3.10199840336838e-06;2.51538e-05;5.88034424502512e-06;2.856168e-05;5.70325630688294e-06;2.495182e-05;1.61347737263341e-06;2.19087e-05;3.43089426899169e-06;1.3184658e-05;4.82091634824957e-06;2.2430474907006e-05;4.74334062738517e-05;7.108042e-05;9.02834796556491e-05;0.001147209;0.000271776575486189
"1";"total_groundwater_abstraction_km3";"Andorra";"Other";"AND";0.00354559;0.0034886;0.003476;0.00349408;0.00353165;0.00375696;0.00384751;0.0039659;0.00415354;0.00413434;0.00426737;0.0044887;0.00450942;0.00465483;0.00500688;0.00525387;0.00525615;0.00541513;0.00499006;0.00559258;0.00634316;0.006531;0.00688242;0.00663228;0.00649965;0.006347;0.00618521;0.00607634;0.00627725;0.0071649;0.00781797;0.00699251;0.0060896;0.00612848;0.00725259;0.00793613;0.00811405;0.00795796;0.00769893;0.0075234;0.0072601;0.00728527;0.00762316;0.00798486;0.00833482;0.00756567;0.00741441;0.00684056;0.00671883;0.00813243;0.0089261;0.00854744;0.0078871;0.00723046;0.00637724;0.00750588;0.00873332;0.00812326;0.00627191206896552;0.00160584396066887;0.905756127590299;0.889199913870005;0.736237144585602;0;0;2.22044604925031e-16;8.61321412531908e-05;0.820394162667375;0.820394162667375;0.003507184;2.98459700797276e-05;0.00397165;0.000173988222589921;0.00458544;0.000273282289309058;0.005301558;0.000223024348155084;0.006577702;0.000199446082237782;0.00641014;0.000433971489328504;0.00685623;0.000744640674251682;0.007846094;0.000233564531618137;0.007697642;0.00046247465327302;0.00733438;0.000574356958345592;0.007793668;0.00102259174792289;0.00812082;0.000613723637804508
"10";"total_groundwater_abstraction_km3";"Antigua and Barbuda";"LCR";"ATG";0;0;0;3.83958e-18;3.11717e-18;2.16275e-18;2.28385e-18;0;9.65531e-19;1.35274e-18;0;2.75813e-19;1.1746e-18;8.27809e-19;6.8082e-19;4.13905e-19;1.31269e-18;3.73849e-19;2.20049e-18;4.32999e-18;4.40097e-18;0;4.32999e-18;4.32999e-18;4.25901e-18;0;0;0;2.1295e-18;0;3.75842e-18;3.30374e-18;2.1295e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.30219086206897e-19;1.47655321477234e-18;-0.385825020957045;-0.52999947515795;-0.392439783563617;0.00277937544769834;1.88052728495677e-05;8.05473147388826e-05;-3.37357300132263e-20;0.148860946796499;0.148860946796499;1.39135e-18;1.92222847710671e-18;1.3529742e-18;9.35804209655097e-19;5.918084e-19;4.61886260971573e-19;1.7261848e-18;1.63757711889935e-18;3.463992e-18;1.93708073146681e-18;4.259e-19;9.5234135161716e-19;1.838332e-18;1.78029958313762e-18;0;0;0;0;0;0;0;0;0;0
"100";"total_groundwater_abstraction_km3";"Kyrgyz Republic";"ECA";"KGZ";0.110832;0.129542;0.133907;0.129069;0.0977306;0.0989412;0.124339;0.108299;0.0495244;0.0907112;0.114835;0.0797432;0.0908639;0.137704;0.125048;0.165394;0.194039;0.213273;0.176526;0.16946;0.143317;0.106038;0.121857;0.073914;0.136559;0.113896;0.133688;0.122195;0.1106;0.0557624;0.0881511;0.12655;0.149952;0.16759;0.150279;0.128477;0.146242;0.146328;0.15334;0.16111;0.137572;0.0795444;0.106276;0.113766;0.0831133;0.0897327;0.090427;0.13832;0.106962;0.17406;0.17334;0.114558;0.110254;0.151009;0.222485;0.175547;0.168713;0.141607;0.128498506896552;0.0360282225173391;0.236369291252777;0.235165646436372;0.161524500907441;0.074041696293186;0.0756988794242692;0.0732881211311622;0.000504294822972097;0.0558704418473404;0.0558704418473404;0.12021612;0.0153821815348799;0.09436296;0.0280070003768344;0.10963882;0.0239705191823623;0.1837384;0.01981668103644;0.116337;0.0277177759479364;0.10722828;0.030119276551604;0.13650442;0.0307165418729388;0.1470994;0.0120764851591844;0.10405434;0.0237799808666449;0.11990034;0.0361203459345007;0.1543292;0.0462115216228594;0.161955666666667;0.0179506842580815
"101";"total_groundwater_abstraction_km3";"Cambodia";"EAP";"KHM";0.000390832;0.000389134;0.000389714;0.000392954;0.000403084;0.000420162;0.000440561;0.000449194;0.000421451;0.000441069;0.000449226;0.000463951;0.000475786;0.000438758;0.000446986;0.000470963;0.000497816;0.000508342;0.000503289;0.000531534;0.000554382;0.000575593;0.000611479;0.000624071;0.000633967;0.000649312;0.000653253;0.000626264;0.000771635;0.000853761;0.000754216;0.00039984;0.000506178;0.000587199;0.000596671;0.00065466;0.000738164;0.000789022;0.000842943;0.000870979;0.000870115;0.000898392;0.000926914;0.00094844;0.000965361;0.00101848;0.0010669;0.00112115;0.00119789;0.00125396;0.00136362;0.00140686;0.00142517;0.00143267;0.00143448;0.00142513;0.0014227;0.00142067;0.000755470637931034;0.000344948264760765;0.920347613815906;0.952874588575471;0.877797943133696;0;0;0;1.87999405395427e-05;0.847039730256627;0.847039730256627;0.0003931436;5.74521634057413e-06;0.0004344874;1.29581535065765e-05;0.0004549414;1.47777439347148e-05;0.0005023888;2.17611180709999e-05;0.0005998984;3.3695658218827e-05;0.000710845;9.7950882168054e-05;0.0005688208;0.000130348957819769;0.0007791536;8.62803290229007e-05;0.0009218444;3.82513632083878e-05;0.001131676;9.54695392782431e-05;0.00141256;2.94598209431082e-05;0.00142283333333333;2.23298753541824e-06
"102";"total_groundwater_abstraction_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"total_groundwater_abstraction_km3";"Saint Kitts and Nevis";"LCR";"KNA";1.00694e-12;6.3391e-13;7.51204e-13;8.29317e-12;6.76231e-12;5.57137e-12;6.22528e-12;7.21874e-12;6.8996e-12;7.6876e-12;1.09592e-11;8.74723e-12;1.24607e-11;5.97221e-12;7.64201e-12;6.53012e-12;1.083e-11;7.44911e-12;5.59937e-12;1.3626e-11;6.97547e-12;8.67537e-12;1.0778e-11;7.62521e-12;7.16288e-12;1.0175e-11;1.19595e-11;1.47195e-11;7.64832e-12;1.04113e-11;8.10654e-12;9.87169e-12;9.85128e-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.56596782758621e-12;4.69072878190339e-12;-0.599426463773393;-0.658618994386961;-0.408560037921903;6.63424204004399e-07;1.91243599811738e-08;1.87844899340131e-05;-1.66504837491152e-13;0.359312085471865;0.359312085471865;3.4895068e-12;3.72834729304034e-12;6.720518e-12;8.33868233187954e-13;9.15627e-12;2.58690690606562e-12;8.80692e-12;3.34036779305064e-12;8.243386e-12;1.56269991291674e-12;1.0982724e-11;2.59878720327002e-12;5.565902e-12;5.13121931167632e-12;0;0;0;0;0;0;0;0;0;0
"104";"total_groundwater_abstraction_km3";"Korea, Republic of";"EAP";"KOR";1.02874;1.05485;1.03594;1.03814;1.05112;1.0627;1.07542;1.17034;1.21214;1.20937;1.25498;1.22645;1.26559;1.31006;1.36001;1.35828;1.3183;1.35459;1.34848;1.37554;1.45514;1.47948;1.32556;1.56031;1.44839;1.47588;1.37261;1.25582;1.2339;1.20756;1.54553;1.4284;1.34391;1.3541;1.5873;1.26853;1.6025;1.53146;1.46891;1.34298;1.15232;1.13944;1.31843;1.36238;1.32237;0.918053;1.11304;1.35172;1.15819;1.37423;1.36845;1.31364;1.30408;1.20654;1.27465;1.40853;1.36735;1.52894;1.29968384482759;0.155785965291993;0.341625812526179;0.335261004644868;0.258318209316394;0.00867543532718473;0.0104084761624973;0.00417918801379402;0.00315158937524996;0.116708195784175;0.116708195784175;1.041758;0.0109024639416969;1.145994;0.0722895537404956;1.283418;0.0523164435909017;1.351038;0.0208790042866033;1.453776;0.0843806863565354;1.309154;0.112531377757495;1.451848;0.110542586228114;1.442876;0.136363901124895;1.258988;0.104773948909068;1.1830466;0.187578111030578;1.293472;0.0592714490290224;1.43494;0.0839699237822686
"105";"total_groundwater_abstraction_km3";"Kuwait";"MENA";"KWT";0.00215532;0.00240285;0.00235047;0.00187928;0.00239105;0.00368327;0.00288406;0.00269714;0.00313682;0.00332257;0.00324388;0.00383589;0.00255526;0.00258881;0.00283247;0.00275463;0.00220872;0.00169722;0.00203218;0.00285832;0.00239809;0.00308091;0.00278584;0.00352457;0.00354782;0.00320193;0.00364835;0.0041372;0.00360104;0.00489468;0.00746294;0.00521388;0.0068432;0.00579691;0.00742084;0.00621661;0.00774578;0.0067647;0.00713725;0.00880282;0.00970365;0.0079144;0.00838269;0.00945539;0.0097869;0.0127028;0.0115817;0.00990298;0.0102788;0.0102523;0.00994652;0.0122981;0.0131913;0.0147181;0.0143869;0.0149096;0.0122248;0.0156628;0.00629371206896552;0.0040829529561902;0.91973657146671;0.922113876157372;0.788263762855415;0;0;0;0.000222376275492938;0.845915360893333;0.845915360893333;0.002235794;0.00022290189238766;0.003144772;0.000384057487064111;0.003011262;0.000536771033095118;0.002310214;0.000490227332346943;0.003067446;0.000491742362553807;0.00389664;0.000649153722819179;0.006547554;0.00100375784892573;0.007333432;0.000992265943721742;0.009048606;0.000846980115545813;0.010943716;0.00117310495024103;0.012908184;0.00191612941506569;0.0142657333333333;0.0018071757560717
"106";"total_groundwater_abstraction_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";0.00626607;0.00623241;0.00623976;0.00624841;0.00638203;0.00668126;0.00638092;0.00678254;0.00697595;0.00691823;0.00703865;0.00725601;0.00732893;0.00757455;0.00781147;0.00827545;0.00878418;0.00904776;0.00927063;0.00988366;0.0102794;0.0107166;0.0113984;0.0110596;0.0111122;0.0112259;0.0120271;0.0131876;0.0123448;0.011077;0.00995701;0.0110871;0.0115006;0.0122061;0.0126993;0.0133472;0.0137832;0.0142336;0.0145176;0.0140318;0.0130903;0.0142129;0.013196;0.0131897;0.0135232;0.0143594;0.0153437;0.0156958;0.0164968;0.0175166;0.0180432;0.018511;0.0199628;0.019631;0.0196419;0.0198501;0.0204532;0.0210725;0.0119476048275862;0.00430299185479626;0.967899628225023;0.98154357254914;0.915305505142166;0;0;0;0.000246633160047984;0.936829690318135;0.936829690318135;0.006273736;6.18263113892461e-05;0.00674778;0.000235230832906743;0.007401922;0.000298376725164682;0.009052336;0.000594607496698452;0.01091324;0.000429187311089226;0.01197248;0.000862755508240892;0.011490022;0.00105921017834989;0.01398268;0.000445853150712205;0.01344242;0.000460636393481888;0.01588246;0.00119296303714742;0.01915798;0.000831711982599746;0.0204586;0.000611217890772187
"107";"total_groundwater_abstraction_km3";"Lebanon";"MENA";"LBN";0.13905;0.152841;0.129075;0.162555;0.178669;0.159078;0.1794;0.188679;0.182402;0.162536;0.168474;0.177262;0.165993;0.178849;0.189224;0.212593;0.234548;0.227156;0.210962;0.205049;0.212749;0.239602;0.214338;0.217955;0.264337;0.240812;0.237404;0.285162;0.258304;0.279399;0.23285;0.312032;0.289593;0.268642;0.272427;0.336312;0.389885;0.396599;0.38013;0.37957;0.413478;0.349045;0.431336;0.391328;0.459026;0.338851;0.368556;0.460865;0.411973;0.416845;0.417048;0.448505;0.520784;0.498784;0.500391;0.51649;0.397977;0.46443;0.295141534482759;0.114439425267941;0.951465208088631;0.966778430588452;0.845130066545675;0;0;0;0.00644791347011591;0.90528604220314;0.90528604220314;0.152438;0.0194656734535438;0.174419;0.0129270860985761;0.1759604;0.00923791785523123;0.2180616;0.0122897026123499;0.2297962;0.022130282255317;0.2602162;0.0217419451107761;0.2751088;0.0291887498824461;0.3764992;0.0235627097698885;0.4088426;0.0416182886217105;0.399418;0.0470581732964636;0.4771024;0.0428511233610042;0.459632333333333;0.0594019864679064
"108";"total_groundwater_abstraction_km3";"Liberia";"AFR";"LBR";0.000363693;0.000362688;0.000363469;0.000370765;0.000385233;0.00039959;0.000431187;0.000448655;0.000466364;0.000486717;0.000507486;0.000533695;0.000552988;0.000571866;0.000597286;0.000616907;0.000675765;0.00079615;0.000823336;0.000875523;0.000914896;0.000972601;0.00100882;0.00102545;0.00105995;0.00106668;0.00109693;0.00120033;0.00120332;0.00122633;0.00125055;0.001113;0.000818115;0.000830188;0.000675794;0.000597453;0.000568224;0.000661523;0.00072626;0.000935246;0.00106218;0.00120009;0.00135468;0.00138163;0.00143019;0.0013081;0.00140844;0.0015215;0.00163479;0.00178104;0.0019135;0.00198389;0.00210679;0.00209496;0.0020983;0.00208964;0.0020893;0.00208921;0.00103671125862069;0.000542529811748806;0.88700206214063;0.899781598941832;0.795523290986086;0;0;0;2.84969812974866e-05;0.786772658241729;0.786772658241729;0.0003691696;9.55352352799741e-06;0.0004465026;3.33604018456013e-05;0.0005526642;3.44993453155274e-05;0.0007575362;0.000107476305815282;0.0009963434;5.53309131480766e-05;0.001158718;7.17304500892055e-05;0.0009375294;0.000236145729467632;0.0006977412;0.000146087335302209;0.001285754;0.000151763313518123;0.001530774;0.000185800783044636;0.002039488;8.66453505388488e-05;0.00208938333333333;2.26789182575455e-07
"109";"total_groundwater_abstraction_km3";"Libya";"MENA";"LBY";0.243698;0.214799;0.233789;0.237384;0.206347;0.213785;0.229719;0.235625;0.238017;0.242464;0.252237;0.301992;0.3393;0.296672;0.284993;0.28432;0.314162;0.322964;0.317559;0.335011;0.329808;0.368903;0.361334;0.510943;0.342781;0.424369;0.393399;0.46542;0.411237;0.688487;0.481992;0.49489;0.551982;0.632868;0.738258;0.540813;0.602438;0.58402;0.600207;0.579552;0.660381;0.605789;0.652078;0.701465;0.774929;0.673981;0.672929;0.706702;0.687079;0.764656;0.720538;0.836405;0.959056;0.854717;0.714759;1.07191;0.755835;0.727811;0.499819965517241;0.219961953843057;0.945246671689465;0.961303023778031;0.849969751966122;0;0;0;0.0123124178535174;0.893491270340006;0.893491270340006;0.2272034;0.0158740758250677;0.231922;0.0111332719359585;0.2950388;0.0313965775953367;0.3148032;0.0187895242808326;0.3827538;0.0732874579426794;0.4765824;0.121391821338177;0.579998;0.106624233239916;0.581406;0.0247683496927026;0.6789284;0.0635183741117481;0.7010694;0.0380669696101489;0.817095;0.102148332891438;0.851852;0.191090236974577
"11";"total_groundwater_abstraction_km3";"Australia";"Other";"AUS";0.590591;0.490945;0.659527;0.649074;0.596233;0.572956;0.613328;1.0382;0.835622;0.955242;0.847847;0.842768;0.833238;0.609853;0.823793;0.579681;0.55132;0.623141;0.596968;0.887261;0.654271;1.0234;1.37296;1.02541;1.49032;0.86273;0.679337;0.94804;1.30379;1.12992;1.01284;0.947988;1.05254;1.23995;0.871921;1.07218;1.83947;1.31468;1.1816;1.65956;1.45011;0.995571;1.34919;1.57278;2.40415;1.54135;1.71965;1.88172;2.56818;2.00073;1.80877;2.1863;1.20291;1.4083;1.98825;2.07167;2.38606;2.13295;1.19912303448276;0.549455648165447;0.837669936780232;0.867298286628318;0.673321234119782;2.22044604925031e-16;0;8.26005930321116e-14;0.0272556279184223;0.701690922985396;0.701690922985396;0.597274;0.0669146441745004;0.8030696;0.205217291393294;0.7914998;0.10196068278361;0.6476742;0.136456988149013;1.1132722;0.330182403027781;0.9847634;0.241026168014595;1.0250478;0.138269516398952;1.413498;0.324822378108406;1.5543602;0.521461954130117;1.942326;0.390238291726991;1.718906;0.406757556573938;2.19689333333333;0.166663824609101
"110";"total_groundwater_abstraction_km3";"Saint Lucia";"LCR";"LCA";1.81872e-09;1.81335e-09;1.81667e-09;2.28012e-09;2.42527e-09;2.09811e-09;2.02787e-09;2.05519e-09;2.75842e-09;3.88767e-09;3.29153e-09;3.67965e-09;4.44234e-09;4.78099e-09;5.16508e-09;4.63352e-09;4.25744e-09;3.9034e-09;1.74973e-09;3.24255e-09;3.19272e-09;3.23625e-09;3.29565e-09;4.24651e-09;4.19619e-09;4.14831e-09;4.16266e-09;4.31785e-09;4.54606e-09;4.72155e-09;4.89215e-09;5.01738e-09;5.16423e-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0218125862069e-09;1.96677233448618e-09;-0.63637273883617;-0.63187271979385;-0.352391391137222;7.92279438987113e-08;1.04184003152935e-07;0.000223714688432351;-7.41167347503755e-11;0.404970262733841;0.404970262733841;2.030826e-09;2.98278865208382e-10;2.565452e-09;7.9894733069208e-10;4.271918e-09;7.74254210818385e-10;3.557328e-09;1.13298362537594e-09;3.633464e-09;5.38200353753135e-10;4.379286e-09;2.49504173973102e-10;3.014752e-09;2.75376365508553e-09;0;0;0;0;0;0;0;0;0;0
"111";"total_groundwater_abstraction_km3";"Liechtenstein";"Other";"LIE";0.00216301;0.00216237;0.002169;0.00224154;0.00223032;0.0023487;0.00242662;0.00265161;0.0027271;0.00278576;0.00285896;0.00294806;0.00306437;0.0032161;0.00342197;0.00375991;0.00396778;0.00428358;0.00409102;0.00463779;0.00490609;0.00518468;0.00534801;0.00511318;0.00511484;0.00514441;0.00506206;0.00501361;0.00568372;0.00626169;0.00644086;0.00644521;0.00649659;0.00607993;0.00554358;0.0071043;0.00709369;0.00789995;0.00608279;0.00621692;0.0059736;0.00767295;0.00745965;0.00746649;0.00760032;0.00595223;0.00558833;0.00650307;0.00747302;0.00690002;0.00754654;0.0076128;0.00732613;0.00595601;0.00809113;0.00816916;0.00597269;0.00652378;0.00524447586206897;0.00187408922802146;0.916060304694164;0.9048263557784;0.778584392014519;0;0;0;0.000101663474730074;0.839166481836365;0.839166481836365;0.002193248;3.92498518468543e-05;0.002587958;0.000190926717145611;0.003101892;0.000223372746032277;0.004148016;0.000333397659004979;0.00513336;0.000158989182493653;0.005433098;0.000535340132597959;0.006201234;0.000403547865599609;0.00687953;0.000743553911058236;0.007234602;0.000710711494820507;0.006483334;0.00074776311919618;0.007306522;0.000804874478269749;0.00688854333333333;0.00114276390047697
"112";"total_groundwater_abstraction_km3";"Sri Lanka";"SOA";"LKA";0.0330784;0.0343761;0.0328871;0.0320653;0.0360194;0.0327959;0.0367737;0.0371272;0.0406182;0.0381;0.0417622;0.0369929;0.044416;0.042434;0.0455288;0.0445158;0.0518665;0.0484981;0.0454162;0.0491317;0.0489973;0.0525899;0.0598379;0.0589809;0.0549011;0.0566789;0.058013;0.0631375;0.0588809;0.0667846;0.0639455;0.0692155;0.0642176;0.0679461;0.069103;0.0634351;0.0694616;0.0723198;0.0722004;0.0649374;0.0756789;0.0719149;0.0744201;0.0751447;0.0665738;0.0802886;0.0731477;0.0781052;0.070357;0.0822676;0.0777034;0.0786231;0.0771254;0.0811958;0.0803908;0.0833662;0.0782717;0.0821183;0.0594255293103448;0.0162435223204001;0.974325505172297;0.97588360146421;0.875378100423473;0;0;0;0.000937205656895006;0.949310190029252;0.949310190029252;0.03368526;0.00154556448361109;0.037083;0.00282881488348036;0.04222678;0.00329197109829354;0.04788566;0.00296770006284328;0.05506142;0.00450235354142697;0.06069898;0.00417319114192005;0.06688554;0.00260923211941751;0.06847086;0.00410942793561342;0.07274648;0.0037398213128437;0.07683322;0.00496524302547217;0.0790077;0.00173874352335242;0.0812520666666667;0.00265541949667719
"113";"total_groundwater_abstraction_km3";"Lesotho";"AFR";"LSO";5.16712e-05;1.46166e-05;2.43774e-08;2.43466e-05;3.848e-06;3.90802e-05;4.17785e-08;1.08764e-08;0.00013011;0.000105387;7.77646e-05;3.38707e-05;1.06476e-07;6.42082e-05;5.00544e-05;3.08205e-05;2.58734e-07;8.82074e-08;3.20163e-05;0.000779494;0.000134764;3.97478e-08;0.00253812;5.6717e-05;0.000432805;0.000630457;0.000112436;0.00290343;0.000197885;3.99296e-05;9.53252e-06;0.00019288;0.000597017;0.000497874;0.00432415;0.00151415;0.00115614;0.00210636;0.000149844;5.398e-05;0.000555427;0.0011768;0.000156905;0.000138398;0.000195255;0.000867522;0.000300981;0.00251768;9.45626e-05;0.000952798;0.000305513;0.00011163;0.000135189;7.7588e-05;0.000286833;0.00201904;0.00273152;0.00169688;0.000575980193405172;0.000926046316992115;0.375021378979869;0.644283121597096;0.426497277676951;0.00372475079122503;1.18460445475579e-07;2.25483889249034e-06;2.05655039249098e-05;0.140641034691962;0.140641034691962;1.890135548e-05;2.06447108233017e-05;5.492597098e-05;6.01622479722544e-05;4.52008752e-05;3.00296061460965e-05;0.00016853554828;0.000341893536892542;0.00063248914956;0.00107825540066283;0.00077682752;0.00121073030800416;0.001124290704;0.00180414291759955;0.0009960948;0.000884647554608727;0.000444557;0.000443593412241999;0.00094670872;0.000950969988583705;0.0001833506;0.000105215696097588;0.00214914666666667;0.000529448572510431
"114";"total_groundwater_abstraction_km3";"Lithuania";"ECA";"LTU";0.00139342;0.0015053;0.00136835;0.00152947;0.00147705;0.00159164;0.00175069;0.00147184;0.00161116;0.0015954;0.00159039;0.00176144;0.00170709;0.00199157;0.00180264;0.00199442;0.00209867;0.00229478;0.203537;0.102508;0.00221742;0.00255256;0.00240677;0.00277893;0.00271679;0.00282449;0.002743;0.00230017;0.00256005;0.00242033;0.00257724;0.00268202;0.00297156;0.00326433;0.00484004;0.00232019;0.00283628;0.00307722;0.0797572;0.00292323;0.00270842;0.00322866;0.00317191;0.00292337;0.00707412;0.376165;0.003313;0.00351263;0.0370781;0.0251328;0.0804406;0.036215;0.00389647;0.0411014;0.0969791;0.0106333;0.208229;0.526357;0.0334053451724138;0.0914610337327487;0.36428359793457;0.873081300562921;0.749546279491833;0.00493561173696921;0;0;0.00197299662985632;0.132702539724154;0.132702539724154;0.001454718;7.04662945669772e-05;0.001604146;9.90733444474345e-05;0.001770626;0.000147009667131111;0.062486574;0.0900360884921518;0.002534494;0.000229214152987986;0.002569608;0.00021794594059078;0.003267038;0.000919200361031261;0.018182824;0.0344222959402802;0.003821296;0.00183020133273091;0.089040306;0.161159070824526;0.051726514;0.0371265016451521;0.248406433333333;0.26019877651012
