"FID";"total_groundwater_recharge_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"total_groundwater_recharge_km3";"Aruba (Neth.)";"Other";"ABW";0.00406714;-0.00385545;0.00242659;0.0133314;-0.00264018;0.00907237;0.00110367;0.00940507;0.0133711;0.0254609;0.0190859;0.0262343;0.0416142;0.00933325;0.0245137;0.0477174;0.045451;0.0265046;0.0101999;-0.00965668;0.0124063;-0.0135845;-0.0154502;-0.00274236;-0.0132087;-0.019337;-0.00766792;-0.000740813;-0.012034;-0.0140925;0.0178341;-0.0141872;-0.00797989;-0.0146339;-0.0134774;-0.0152918;-0.00973114;-0.00722815;-0.00287216;-0.0126674;-0.0048153;0.0167177;-0.00105658;-0.0142755;-0.011364;0.00188358;0.0118039;0.0118644;-0.0112315;0.00178113;0.0179652;-0.0148815;0.0265283;-0.00710838;-0.0159932;-0.0147228;-0.00765878;-0.00161212;0.00223927753448276;0.0165386771368295;-0.372325815793444;-0.378018394906026;-0.213551119177254;0.00400098761743698;0.00364160028387355;0.0178884502373191;-0.000364648590574912;0.138626513106252;0.138626513106252;0.0026659;0.00682744688468171;0.011682622;0.00889672392845085;0.02415627;0.011775566426164;0.024043244;0.0242494278454911;-0.006515892;0.0116926221531066;-0.0107744466;0.00700424129717329;-0.006488858;0.0138588902902729;-0.00955813;0.00481413194935494;-0.002958736;0.012175228656353;0.003220302;0.00950146314597494;0.001302084;0.0196582842138443;-0.0079979;0.0065619154441672
"1";"total_groundwater_recharge_km3";"Andorra";"Other";"AND";0.000153517;0.000324857;0.000281881;0.000160951;0.00026191;0.000364603;0.000251499;0.000308744;0.000294283;0.000201174;0.00029925;0.000330006;0.000270386;0.000291602;0.000530986;0.000159892;0.000406355;0.000339685;0.000366815;0.000644692;0.00040025;0.000689091;0.000402813;0.000498421;0.000735433;0.00034381;0.000622779;0.000332899;0.000444741;0.000580641;0.000751717;0.000459405;0.000495451;0.000963452;0.00099231;0.00113268;0.000943875;0.000536771;0.00132945;0.000488979;0.000471841;0.000736268;0.000834693;0.000596715;0.00118548;0.000665645;0.00113964;0.000549517;0.00066046;0.000631696;0.000781609;0.000732315;0.000849605;0.000577343;0.000442219;0.00118514;0.00098157;0.000298244;0.000563932;0.000292287370952665;0.655156843442245;0.720569688393983;0.537810042347247;2.40438531307063e-08;0;2.47043430157134e-09;1.13398145744255e-05;0.429230489509208;0.429230489509208;0.0002366232;7.60029876202245e-05;0.0002840606;6.15046586633891e-05;0.000344446;0.0001064492080196;0.0003834878;0.000173883791840125;0.0005452016;0.000158403006021982;0.000464974;0.000133055597142698;0.000732467;0.000250989271421111;0.000886351;0.000367571215345408;0.0007649994;0.000272372957990143;0.0007293916;0.000233996926356523;0.0006766182;0.000164960741454444;0.000821651333333333;0.000464571430100187
"10";"total_groundwater_recharge_km3";"Antigua and Barbuda";"LCR";"ATG";0.692207;0.374647;0.527202;0.442538;0.487966;0.453204;0.305119;0.442296;0.467956;0.3109;0.266465;0.544952;0.471714;0.425055;0.368638;0.372324;0.389562;0.566236;0.368348;0.415241;0.364157;0.720066;0.341338;0.457005;0.385546;0.433341;0.436953;0.378873;0.466318;0.642646;0.523527;0.5387;0.365519;0.280822;0.491835;0.390753;0.152996;0.262276;0.410146;0.338699;0.459978;0.421505;0.177732;0.255691;0.386629;0.350216;0.473107;0.585074;0.565352;0.318512;0.529475;0.149654;0.414524;0.257153;0.0883484;0.153497;0.228971;0.0527599;0.395556281034483;0.138253296202854;-0.417960306589788;-0.359254360330985;-0.252268602540835;0.00109606993288845;0.00586828151045444;0.00515428060766404;-0.00342185146574797;0.174690817884636;0.174690817884636;0.504912;0.119082864155595;0.395895;0.0807691064145197;0.4153648;0.105376134630665;0.4223422;0.0825342174446453;0.4536224;0.155120819428921;0.4716262;0.100681543028998;0.4400806;0.112127538451979;0.310974;0.105234255043213;0.340307;0.119006816201846;0.4584522;0.121422552687711;0.28783088;0.183214539338918;0.145075966666667;0.088406862248376
"100";"total_groundwater_recharge_km3";"Kyrgyz Republic";"ECA";"KGZ";2.0916;1.41238;1.30767;0.109009;0.0145441;0.445237;1.2919;0.120465;1.51215;0.418279;0.380384;4.56609;0.720991;0.462847;0.610402;0.832919;0.0976286;0.182526;0.543302;0.659569;1.3009;1.99048;0.850379;1.12133;0.187323;0.697107;0.842938;1.4848;0.467381;3.76341;2.97218;0.319329;1.46884;1.08743;1.0683;2.30707;2.76682;0.462111;1.17739;0.184719;2.50838;1.23033;0.540204;0.532087;3.18025;4.7264;2.99348;1.94825;1.14118;0.865025;0.549866;1.84973;2.90169;0.56596;1.20604;0.539327;0.457692;1.21682;1.26298001206897;1.09630370205447;0.202924877337359;0.23356608939063;0.166364186327889;0.126579237312521;0.0777551558756432;0.0650817541888036;0.0131739737334272;0.04117850584238;0.04117850584238;0.98704062;0.897281619472934;0.7576062;0.606933395304378;1.3481428;1.80368170686313;0.46318892;0.313882778950251;1.0900824;0.657375190686643;1.4511272;1.3466609405911;1.3832158;0.98115430186755;1.379622;1.12860483344061;1.5982502;1.19609684223151;2.334867;1.57225936453564;1.4146572;0.988967489682649;0.737946333333333;0.416720601574164
"101";"total_groundwater_recharge_km3";"Cambodia";"EAP";"KHM";80.0557;84.8744;112.198;132.584;96.8196;93.6705;112.663;94.0799;128.368;93.7756;71.9498;110.607;106.542;90.6419;99.9835;97.8222;107.641;109.971;98.5446;87.8444;109.209;115.576;109.974;111.117;114.084;130.688;124.865;118.023;125.641;109.346;115.484;111.856;110.378;117.189;77.5136;93.5284;127.621;99.4332;113.792;116.742;93.44;143.937;160.308;125.5;102.004;114.887;100.15;115.584;146.752;140.848;125.971;130.768;88.0646;118.44;96.3181;116.395;109.43;79.4963;109.844643103448;17.8046338467316;0.297138816855559;0.301793349533975;0.231699939503932;0.0235062012090603;0.0216764106171192;0.0101945784883823;0.313287492694335;0.0882914764823248;0.0882914764823248;101.30634;21.4397379941547;104.5114;15.6299764300846;95.94484;15.3905216592226;100.36464;8.82837079692511;111.992;2.72967754505912;121.7126;8.25338871615774;106.48412;16.4233273203696;110.22332;13.7209236085622;125.0378;27.9747980546777;123.6442;19.516492799681;111.91234;18.7595789157966;101.773766666667;19.6046409572666
"102";"total_groundwater_recharge_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"total_groundwater_recharge_km3";"Saint Kitts and Nevis";"LCR";"KNA";0.22784;0.0681387;0.151666;0.117294;0.11798;0.104332;0.0359235;0.106191;0.117269;0.0596182;0.0306076;0.158037;0.140801;0.0921606;0.0672408;0.059137;0.102197;0.176061;0.0716877;0.123999;0.0658369;0.253407;0.0622796;0.118388;0.0553606;0.118289;0.105757;0.0842559;0.118339;0.194667;0.138101;0.172517;0.079318;0.0598402;0.151707;0.118904;0.0289928;0.0789358;0.118503;0.0831074;0.139935;0.127962;0.0345818;0.083116;0.110594;0.108378;0.163469;0.210898;0.214184;0.0889024;0.172533;0.0130407;0.150486;0.0239792;-0.00229654;0.0155317;0.0529288;-0.00203054;0.104153100344828;0.0577066234503138;-0.167389952573918;-0.138823095142884;-0.0828796128251664;0.2091390661579;0.297812279386039;0.358098672906202;-0.000572012698637326;0.0280193962227015;0.0280193962227015;0.13658374;0.0590721936865223;0.08466674;0.0350580104197029;0.0977694;0.0523403850839865;0.10661634;0.0464180618302617;0.11105442;0.0834317793101765;0.12426158;0.0417448971262596;0.12029664;0.048385953598622;0.0856886;0.036900963007217;0.09923776;0.0419839725465326;0.15716628;0.0574849893136634;0.071548472;0.0830182043928133;0.02214332;0.028069866451004
"104";"total_groundwater_recharge_km3";"Korea, Republic of";"EAP";"KOR";50.9642;43.6021;32.1012;48.9656;36.4508;53.9504;45.1136;31.9192;42.7262;26.3668;24.8136;57.0215;57.0739;43.6076;60.7022;30.1249;51.3498;48.1321;36.6763;26.6622;41.5344;49.6729;58.2316;45.7497;26.6603;47.8638;45.7743;70.2947;52.5188;61.2777;27.972;52.3758;66.5526;49.78;36.1975;56.4997;20.8621;30.4987;33.3923;40.8765;72.6231;64.8567;45.2022;36.5477;46.5323;80.8936;53.7579;41.9119;52.154;47.9017;33.2919;35.5448;54.7453;49.8483;51.2599;36.6262;32.0112;23.2094;45.203925862069;13.1003887369208;0.0556150450501114;0.0403272939801286;0.0308529945553539;0.678396262389333;0.7632043283091;0.732270157312013;0.0431446645544288;0.00309303323592562;0.00309303323592562;42.41678;8.05224384330231;40.01524;10.9471119610608;48.64376;14.831547427123;38.58906;10.856527328893;44.36978;11.6602141518499;55.54586;10.1740207643291;46.57558;14.9732254455077;36.42586;13.316639835484;53.1524;14.9903824427531;55.32382;15.0106710118835;44.93804;9.79954655114205;30.6156;6.81640705063892
"105";"total_groundwater_recharge_km3";"Kuwait";"MENA";"KWT";0.029477;0.0400427;0.0174462;0.0506789;0.0332865;0.0192305;0.0116303;0.0306354;0.0186736;0.0216707;0.0263004;0.0392529;0.0286455;0.054146;0.144992;0.0403891;0.125114;0.153873;0.226962;0.073613;0.152296;0.0863331;0.172609;0.119756;0.0885748;0.0950171;0.0536324;0.0711361;0.0908112;0.0872299;0.0773299;0.0483261;0.0664644;0.191624;0.076479;0.157788;0.0605558;0.1514;0.308836;0.0935191;0.173382;0.109857;0.12005;0.134413;0.130918;0.0874781;0.18507;0.168095;0.145675;0.146323;0.0749953;0.0820117;0.0998275;0.0631373;0.0585294;0.0764208;0.141631;0.0677761;0.0948511689655172;0.0596665953333442;0.431697887933535;0.518410286382233;0.340592861464005;0.000715473764261843;3.99136526148492e-05;0.000158986249008564;0.00152532293826324;0.186363066446276;0.186363066446276;0.03418626;0.0123442432964925;0.0203681;0.00684888364808455;0.05866736;0.0494930288070249;0.12399022;0.0724990387152961;0.12391378;0.0382596818276368;0.07956534;0.0170846509933039;0.09204468;0.0568782055757475;0.15441978;0.0953731782816951;0.133724;0.0241749730403159;0.14652822;0.0368723527075775;0.07570024;0.0163945215742333;0.0952759666666667;0.0403766584306247
"106";"total_groundwater_recharge_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";54.8109;65.6623;78.9517;112.338;88.8615;103.03;129.206;99.3624;90.1601;76.5317;76.5304;79.2894;101.181;102.21;99.2214;82.6598;102.321;113.246;91.3251;75.029;127.86;89.9486;98.8025;127.033;99.193;87.9315;110.67;94.9112;121.86;77.8899;84.3133;95.9336;116.241;81.3977;75.0201;77.3984;125.511;92.3547;115.041;103.941;69.5743;137.158;140.568;126.175;136.464;102.903;108.401;117.04;108.633;102.419;134.209;101.018;85.8867;140.406;105.003;100.305;75.0607;71.6701;99.7943620689655;20.6495814245061;0.296364793600935;0.272878279860962;0.174833635813672;0.0238880752262067;0.0385477340941014;0.0525490968766946;0.362400246085707;0.0878320908861294;0.0878320908861294;80.12488;22.1661554186106;99.65804;19.4266435820241;91.68644;12.659578943551;92.91618;15.2432632258319;108.56742;17.6286355039748;98.65252;17.6283230055215;90.58114;16.2237834493992;102.84922;18.8498471121651;121.98786;29.789372234876;107.8792;5.90205677709051;113.30454;23.1468041197484;82.3452666666667;15.6457041434169
