"FID";"total_runoff_km3";"WB_NAMES";"WB_REGIONS";"ISO_CODES";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"average";"std_dev";"cor_pearson";"cor_spearman";"cor_kendall";"cor_pearson__p_value";"cor_spearman_p_value";"cor_kendall__p_value";"lm_slope";"lm_r_squared";"lm_adj_r_squared";"avg_1958_1962_1960";"std_1958_1962_1960";"avg_1963_1967_1965";"std_1963_1967_1965";"avg_1968_1972_1970";"std_1968_1972_1970";"avg_1973_1977_1975";"std_1973_1977_1975";"avg_1978_1982_1980";"std_1978_1982_1980";"avg_1983_1987_1985";"std_1983_1987_1985";"avg_1988_1992_1990";"std_1988_1992_1990";"avg_1993_1997_1995";"std_1993_1997_1995";"avg_1998_2002_2000";"std_1998_2002_2000";"avg_2003_2007_2005";"std_2003_2007_2005";"avg_2008_2012_2010";"std_2008_2012_2010";"avg_2013_2015_2015";"std_2013_2015_2015"
"0";"total_runoff_km3";"Aruba (Neth.)";"Other";"ABW";0.0512605;0.024472;0.0354062;0.0508647;0.0314818;0.0445972;0.0481135;0.039435;0.0809854;0.0692144;0.0677367;0.0975427;0.120873;0.0588183;0.0844104;0.134022;0.0948864;0.0854672;0.0530539;0.0624277;0.0784321;0.0548106;0.0301004;0.0730508;0.0291788;0.0216614;0.0375654;0.0515227;0.0338416;0.036361;0.0781102;0.0276551;0.0458087;0.0215951;0.0308929;0.0285261;0.0256234;0.047332;0.0390356;0.0171185;0.0336984;0.071228;0.0318395;0.0181696;0.0180196;0.0393803;0.0649991;0.0624538;0.0251681;0.048909;0.0693009;0.0174626;0.0879787;0.0487081;0.0328541;0.0257099;0.018063;0.013931;0.0495028465517241;0.0267018767050165;-0.358427312797626;-0.378202959180535;-0.265577737447066;0.00573215626329135;0.00362407680612978;0.00323157403790476;-0.000566752576209656;0.128470138559325;0.128470138559325;0.03869704;0.0119492003520319;0.0564691;0.0177792734775637;0.08587622;0.0246180991081156;0.08597144;0.0317271934581835;0.05311454;0.023151027061191;0.03619042;0.0106490358141946;0.0408124;0.0226765547502261;0.03152712;0.011807199762306;0.03459102;0.0217652873397527;0.04818206;0.0165388721859442;0.05126088;0.0281126777175708;0.0192346333333333;0.00597621659608597
"1";"total_runoff_km3";"Andorra";"Other";"AND";0.336088;0.518464;0.525482;0.331872;0.390538;0.529675;0.434839;0.43889;0.367361;0.288102;0.41393;0.433682;0.334367;0.387608;0.492949;0.249782;0.41736;0.316879;0.341421;0.480535;0.297463;0.434513;0.303676;0.370612;0.44807;0.279733;0.359983;0.227047;0.247895;0.367742;0.396421;0.272975;0.270336;0.390584;0.45094;0.442099;0.352228;0.291487;0.473199;0.318042;0.230517;0.292323;0.351039;0.301005;0.449288;0.27192;0.394837;0.240949;0.269061;0.263419;0.334743;0.296102;0.324109;0.279199;0.256805;0.430576;0.426449;0.232294;0.35637075862069;0.0828703562412685;-0.414989708846419;-0.400166107847058;-0.278886872353297;0.00119917708932206;0.00200339022013382;0.00198557482682676;-0.00203651284259739;0.172216458448432;0.172216458448432;0.4204888;0.0955198861033659;0.4117734;0.090048869555925;0.4125072;0.0584104886103515;0.3611954;0.0896720668954385;0.3708668;0.070558414180734;0.29648;0.0643677119680356;0.3562512;0.0807382652631328;0.375411;0.0788696293163598;0.3248344;0.0816945270370054;0.2880372;0.0609290815883516;0.2981916;0.0319595541552131;0.363106333333333;0.11330559538846
"10";"total_runoff_km3";"Antigua and Barbuda";"LCR";"ATG";1.1816;0.804095;0.968265;0.802566;0.897122;0.76246;0.644798;0.777846;0.867035;0.629705;0.569861;1.00399;0.826736;0.810842;0.693533;0.695198;0.692978;0.92385;0.754101;0.737546;0.728963;1.25076;0.756217;0.864471;0.765982;0.831598;0.920117;0.777891;0.995613;1.19995;1.03493;1.06647;0.798393;0.681902;0.998001;0.881554;0.477358;0.655247;0.850455;0.785334;0.904824;0.890584;0.543808;0.603551;0.864402;0.746819;0.990167;1.09787;1.06708;0.704277;1.08473;0.46003;0.840001;0.642524;0.440209;0.493436;0.582474;0.354645;0.804771793103448;0.194819405028544;-0.231683102117237;-0.184779599495524;-0.114337568058076;0.0801299797534411;0.164579558443177;0.204866045897892;-0.00267286603709748;0.0536770598066696;0.0536770598066696;0.9307296;0.156474091233341;0.7363688;0.0990418375016336;0.7809924;0.161969919955219;0.7607346;0.094966247055467;0.8732786;0.217147848327585;0.9450338;0.165049816518226;0.9159392;0.167438788345771;0.7299896;0.165797967515588;0.7614338;0.173299553655513;0.9212426;0.183517044443561;0.6934988;0.271931324074113;0.476851666666667;0.114816346372515
"100";"total_runoff_km3";"Kyrgyz Republic";"ECA";"KGZ";57.2129;50.5946;50.8228;27.3843;31.3277;44.3887;47.4307;32.3259;53.3499;41.1157;39.6014;81.5597;39.6327;36.2073;44.1389;41.0914;28.407;26.4895;39.5534;38.2678;45.0897;48.5944;41.0191;51.0361;25.0361;37.966;33.2942;41.293;34.535;66.3453;57.503;30.5145;42.8944;38.5038;41.294;51.8536;48.1964;30.1081;41.261;27.1528;58.4674;44.4705;35.8397;29.878;65.0822;77.0246;56.7557;55.587;40.1164;38.0441;30.2268;48.0946;61.8394;32.3492;41.2755;35.785;32.6722;45.6111;43.3364172413793;12.1532501735586;0.0270807498587034;0.0130733027776923;0.00181488203266788;0.840082310672313;0.922340758099355;0.983944488469393;0.0194896367159822;0.000733367012909352;0.000733367012909352;43.46846;13.2275855254464;43.72218;7.8031932202144;48.228;18.8448773002108;34.76182;6.78472057361245;42.15508;10.287119125975;42.6867;13.5888376184279;42.14194;9.8193786238234;39.71438;10.8601480934654;46.74756;14.8514489206609;53.50556;15.7032432625557;42.7571;12.846702092366;38.0227666666667;6.75347932871149
"101";"total_runoff_km3";"Cambodia";"EAP";"KHM";156.679;169.762;236.329;266.058;196.593;178.015;219.684;169.054;215.224;167.612;139.753;208.003;206.457;155.159;178.528;186.033;202.846;195.439;181.15;175.924;197.475;211.905;181.45;175.137;183.124;252.079;219.509;185.4;194.725;169.955;215.364;170.675;182.012;188.778;134.265;144.673;220.402;161.245;169.646;189.734;156.544;218.827;261.986;185.703;167.304;181.068;170.891;172.959;278.695;237.572;201.765;208.585;148.286;210.085;168.731;196.405;175.613;134.267;190.123120689655;31.4745574922993;-0.055412628863566;-0.0683810637054354;-0.0502117362371446;0.679503263095148;0.609133614444944;0.577689481529546;-0.103280660740091;0.00307055943757068;0.00307055943757068;205.0842;45.7079410245091;189.9178;25.4997741793923;177.58;30.3888216783738;188.2784;10.862507413116;189.8182;14.805658029956;204.3336;32.1815573240327;178.2188;29.5571328396379;177.14;29.125275234751;198.0728;42.8369180345645;208.237;47.9642772018927;187.4904;27.6050827348878;168.761666666667;31.6304969504643
"102";"total_runoff_km3";"Kiribati";"EAP";"KIR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";"total_runoff_km3";"Saint Kitts and Nevis";"LCR";"KNA";0.442977;0.243595;0.32165;0.26358;0.292099;0.240628;0.171274;0.246397;0.279951;0.189321;0.159415;0.347605;0.281609;0.258979;0.206772;0.199203;0.230017;0.315466;0.231285;0.25114;0.215755;0.4777;0.229799;0.292281;0.207585;0.290012;0.307541;0.242672;0.326793;0.421984;0.34731;0.40347;0.256688;0.220353;0.370923;0.330931;0.162888;0.241326;0.303374;0.273496;0.334353;0.331055;0.185835;0.234667;0.307943;0.280086;0.402933;0.438701;0.438234;0.254682;0.425379;0.157035;0.337395;0.201554;0.136248;0.179992;0.209056;0.1184;0.277058482758621;0.0845723961210606;-0.00538241132842055;-0.0194100095358209;0.00544464609800363;0.968014067012534;0.884825776831452;0.951859459608662;-2.69560429420007e-05;2.89703517084112e-05;2.89703517084112e-05;0.3127802;0.0785252247605825;0.2255142;0.044384204687028;0.250876;0.0718974142024593;0.2454222;0.0433365383216057;0.284624;0.112938809463355;0.3178004;0.066062122871582;0.3197488;0.0778521794409122;0.262403;0.0648946057619584;0.2787706;0.0656815116208511;0.3629272;0.0888720072165584;0.2515222;0.124812977937793;0.169149333333333;0.0462903893841187
"104";"total_runoff_km3";"Korea, Republic of";"EAP";"KOR";103.795;91.9691;80.6997;93.4886;77.2487;105.419;93.3908;76.0216;87.629;65.3476;58.7174;95.0133;99.8753;83.2102;103.082;68.6243;83.8401;81.444;70.5108;60.7408;73.3865;83.2219;93.3934;88.8361;61.4424;71.9316;81.7372;109.082;88.3358;108.147;65.6246;85.6059;106.476;92.753;71.1681;93.4117;54.9835;58.5285;63.3154;70.8005;108.825;114.651;89.0928;72.9336;83.2285;139.22;106.684;81.8993;105.59;85.7616;71.6126;74.0701;89.8491;87.1242;99.7132;73.4881;66.6754;51.6368;84.5569603448276;17.2827266639159;-0.0295241338393432;-0.0526931003722046;-0.0344827586206897;0.825869338394819;0.693719203160679;0.702197917259815;-0.0302162139715205;0.000871674478963758;0.000871674478963758;89.44022;10.6521614392104;85.5616;15.4879327716774;87.97964;18.0144846244071;73.032;9.54508559128728;80.05606;12.805737510702;91.84672;16.3851683180857;84.32552;16.4783772428295;68.20792;15.2845118107187;93.74618;17.534404296183;103.83098;22.7547670403808;84.47384;11.6383549281245;63.9334333333333;11.1807251027531
"105";"total_runoff_km3";"Kuwait";"MENA";"KWT";0.104353;0.181061;0.0291563;0.312896;0.149406;0.0501711;0.0245981;0.099766;0.0552624;0.125741;0.118173;0.150542;0.0878073;0.227161;0.682668;0.0916728;0.449959;0.477339;0.745265;0.217979;0.399572;0.263155;0.481538;0.287227;0.273575;0.206034;0.15363;0.17892;0.249936;0.191181;0.180537;0.100335;0.166716;0.546578;0.204711;0.434312;0.227362;0.47813;0.780206;0.321791;0.447096;0.356134;0.275099;0.420744;0.35304;0.205436;0.535029;0.728704;0.457987;0.406837;0.175834;0.321553;0.342708;0.139747;0.151451;0.161257;0.517282;0.275124;0.289266982758621;0.18529166056827;0.351409192754095;0.433879848657295;0.283726557773745;0.00683350665463323;0.000747626458496731;0.00165494314410886;0.00385584539665937;0.123488420752086;0.123488420752086;0.15537446;0.104931727459134;0.07110772;0.040800285757541;0.25327026;0.245584236448999;0.39644296;0.252892856196074;0.3410134;0.0957589655191617;0.1959402;0.0357768131364436;0.2397754;0.175817971656199;0.4483602;0.209800616470019;0.3704226;0.0670894200958691;0.4667986;0.190547416986691;0.2262586;0.0978066455681821;0.317887666666667;0.181824086815618
"106";"total_runoff_km3";"Lao, People's Democratic Republic of";"EAP";"LAO";107.082;129.883;176.775;254.836;192.4;202.454;266.654;196.55;192.009;156.942;158.308;153.314;216.043;231.466;211.318;177.626;231.583;235.173;168.31;158.375;268.713;183.121;192.309;216.271;190.415;174.066;212.44;177.377;236.022;152.898;156.653;164.238;195.796;151.698;146.45;127.864;237.086;196.397;225.223;203.898;144.288;236.246;244.499;226.196;235.587;191.868;192.855;222.438;208.798;199.324;227.117;174.439;167.183;280.477;219.403;217.952;128.704;122.439;194.238775862069;39.3051423014196;0.080483643212775;0.0886831339013812;0.0514216575922565;0.548121303972977;0.506957635786602;0.568556430873575;0.187330123965694;0.0064776168248029;0.0064776168248029;172.1952;57.6384451100132;202.9218;39.7990050152011;194.0898;35.7726755666948;194.2134;36.4166676166285;210.1658;35.0193828786288;190.5606;33.2031535068583;162.967;19.4873479981243;198.0936;42.5005230238405;217.3632;41.3612798242511;203.0566;12.7651092357253;213.7238;45.7628736116953;156.365;53.427815630063
